"Label (Grouping)","Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Apache County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Apache County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Apache County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Apache County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Cochise County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Cochise County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Cochise County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Cochise County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Coconino County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Coconino County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Coconino County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Coconino County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Maricopa County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Maricopa County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Maricopa County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Maricopa County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Mohave County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Mohave County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Mohave County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Mohave County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Navajo County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Navajo County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Navajo County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Navajo County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Pima County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Pima County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Pima County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Pima County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Pinal County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Pinal County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Pinal County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Pinal County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Yavapai County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Yavapai County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Yavapai County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Yavapai County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Yuma County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Yuma County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Yuma County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Yuma County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error"
"        $1,500 to $1,999","300,564","±10,406","24.5%","±0.7","N","N","N","N","3,803","±933","20.6%","±5.0","4,206","±1,218","22.4%","±6.1","187,867","±7,638","24.6%","±0.8","10,884","±2,212","24.7%","±4.6","2,312","±825","26.9%","±8.4","42,995","±3,874","24.6%","±2.0","22,055","±2,584","24.9%","±2.5","12,650","±2,131","26.3%","±4.1","8,681","±2,143","26.4%","±6.0"
"        $2,000 to $2,499","200,587","±9,423","16.4%","±0.7","N","N","N","N","2,796","±1,213","15.1%","±6.1","3,885","±1,144","20.7%","±6.0","128,113","±7,144","16.7%","±0.9","6,263","±1,487","14.2%","±3.2","1,390","±594","16.2%","±6.7","28,709","±2,972","16.4%","±1.6","17,562","±2,543","19.9%","±2.8","5,768","±1,416","12.0%","±2.8","3,465","±1,055","10.6%","±3.3"
"        $2,500 to $2,999","137,799","±6,603","11.3%","±0.5","N","N","N","N","1,060","±498","5.7%","±2.8","2,307","±696","12.3%","±3.4","95,965","±4,484","12.5%","±0.6","2,751","±1,182","6.3%","±2.6","211","±212","2.5%","±2.5","17,125","±2,420","9.8%","±1.3","11,090","±2,354","12.5%","±2.5","5,186","±1,452","10.8%","±2.9","1,024","±563","3.1%","±1.7"
"        $3,000 or more","213,127","±7,575","17.4%","±0.6","N","N","N","N","605","±416","3.3%","±2.1","3,294","±1,073","17.5%","±5.4","165,276","±6,750","21.6%","±0.8","1,769","±657","4.0%","±1.5","472","±318","5.5%","±3.9","22,369","±2,302","12.8%","±1.3","9,640","±2,030","10.9%","±2.2","6,504","±1,465","13.5%","±2.9","1,360","±592","4.1%","±1.8"
"        Median (dollars)","1,893","±18","1,893","±18","1,158","±88","1,158","±88","1,426","±81","1,426","±81","2,011","±143","2,011","±143","2,027","±29","2,027","±29","1,486","±88","1,486","±88","1,516","±128","1,516","±128","1,744","±44","1,744","±44","1,869","±68","1,869","±68","1,705","±75","1,705","±75","1,434","±66","1,434","±66"
"    MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $20,000","46,934","±3,802","3.8%","±0.3","N","N","N","N","787","±481","4.3%","±2.5","535","±363","2.8%","±2.0","22,554","±2,656","2.9%","±0.4","3,654","±949","8.3%","±2.1","550","±324","6.4%","±3.6","7,617","±1,522","4.4%","±0.9","4,262","±1,433","4.8%","±1.6","3,744","±1,189","7.8%","±2.5","1,391","±828","4.2%","±2.5"
"            Less than 20 percent","48","±81","0.0%","±0.1","N","N","N","N","0","±237","0.0%","±1.2","0","±237","0.0%","±1.2","48","±81","0.0%","±0.1","0","±237","0.0%","±0.5","0","±237","0.0%","±2.7","0","±237","0.0%","±0.1","0","±237","0.0%","±0.3","0","±237","0.0%","±0.5","0","±237","0.0%","±0.7"
"            20 to 29 percent","121","±198","0.0%","±0.1","N","N","N","N","0","±237","0.0%","±1.2","0","±237","0.0%","±1.2","0","±237","0.0%","±0.1","0","±237","0.0%","±0.5","0","±237","0.0%","±2.7","121","±198","0.1%","±0.1","0","±237","0.0%","±0.3","0","±237","0.0%","±0.5","0","±237","0.0%","±0.7"
"            30 percent or more","46,765","±3,815","3.8%","±0.3","N","N","N","N","787","±481","4.3%","±2.5","535","±363","2.8%","±2.0","22,506","±2,657","2.9%","±0.4","3,654","±949","8.3%","±2.1","550","±324","6.4%","±3.6","7,496","±1,498","4.3%","±0.8","4,262","±1,433","4.8%","±1.6","3,744","±1,189","7.8%","±2.5","1,391","±828","4.2%","±2.5"
"        $20,000 to $34,999","63,819","±5,560","5.2%","±0.4","N","N","N","N","1,260","±627","6.8%","±3.3","806","±496","4.3%","±2.6","29,744","±3,151","3.9%","±0.4","4,273","±1,113","9.7%","±2.4","587","±331","6.8%","±3.8","11,449","±1,765","6.6%","±1.0","6,357","±1,561","7.2%","±1.8","3,027","±1,172","6.3%","±2.4","3,546","±1,735","10.8%","±5.0"
"            Less than 20 percent","1,114","±758","0.1%","±0.1","N","N","N","N","0","±237","0.0%","±1.2","0","±237","0.0%","±1.2","350","±241","0.0%","±0.1","94","±156","0.2%","±0.4","0","±237","0.0%","±2.7","430","±648","0.2%","±0.4","57","±92","0.1%","±0.1","0","±237","0.0%","±0.5","0","±237","0.0%","±0.7"
"            20 to 29 percent","1,952","±714","0.2%","±0.1","N","N","N","N","14","±29","0.1%","±0.2","63","±106","0.3%","±0.6","592","±371","0.1%","±0.1","144","±143","0.3%","±0.3","74","±137","0.9%","±1.6","365","±292","0.2%","±0.2","201","±208","0.2%","±0.2","141","±121","0.3%","±0.3","299","±463","0.9%","±1.4"
"            30 percent or more","60,753","±5,509","5.0%","±0.4","N","N","N","N","1,246","±622","6.7%","±3.3","743","±489","4.0%","±2.5","28,802","±3,083","3.8%","±0.4","4,035","±1,131","9.2%","±2.4","513","±318","6.0%","±3.6","10,654","±1,780","6.1%","±1.0","6,099","±1,541","6.9%","±1.8","2,886","±1,165","6.0%","±2.4","3,247","±1,594","9.9%","±4.6"
"        $35,000 to $49,999","83,156","±5,842","6.8%","±0.5","N","N","N","N","2,149","±577","11.6%","±3.1","1,154","±670","6.1%","±3.4","43,566","±4,054","5.7%","±0.5","5,329","±1,330","12.1%","±2.8","1,135","±666","13.2%","±7.2","13,117","±1,838","7.5%","±1.0","6,080","±1,415","6.9%","±1.6","2,952","±1,020","6.1%","±2.2","4,704","±1,769","14.3%","±5.3"
"            Less than 20 percent","4,169","±1,166","0.3%","±0.1","N","N","N","N","123","±214","0.7%","±1.2","0","±237","0.0%","±1.2","1,558","±665","0.2%","±0.1","499","±368","1.1%","±0.8","54","±89","0.6%","±1.0","625","±309","0.4%","±0.2","556","±553","0.6%","±0.6","82","±134","0.2%","±0.3","48","±82","0.1%","±0.2"
"            20 to 29 percent","13,271","±2,349","1.1%","±0.2","N","N","N","N","834","±430","4.5%","±2.3","49","±82","0.3%","±0.4","5,098","±1,122","0.7%","±0.1","849","±399","1.9%","±0.9","115","±143","1.3%","±1.7","2,123","±661","1.2%","±0.4","721","±504","0.8%","±0.6","1,066","±819","2.2%","±1.7","1,483","±1,177","4.5%","±3.5"
"            30 percent or more","65,716","±4,931","5.4%","±0.4","N","N","N","N","1,192","±589","6.4%","±3.2","1,105","±667","5.9%","±3.4","36,910","±3,686","4.8%","±0.5","3,981","±1,253","9.1%","±2.7","966","±642","11.2%","±7.0","10,369","±1,864","5.9%","±1.0","4,803","±1,167","5.4%","±1.3","1,804","±690","3.8%","±1.5","3,173","±1,221","9.7%","±3.7"
"        $50,000 to $74,999","162,749","±8,806","13.3%","±0.7","N","N","N","N","3,697","±1,069","20.0%","±5.7","2,432","±836","12.9%","±4.3","93,346","±5,931","12.2%","±0.7","6,202","±1,187","14.1%","±2.7","1,484","±648","17.3%","±7.0","25,581","±2,850","14.6%","±1.6","12,497","±2,364","14.1%","±2.7","8,336","±2,033","17.3%","±4.0","4,864","±1,386","14.8%","±4.0"
"            Less than 20 percent","20,363","±2,829","1.7%","±0.2","N","N","N","N","714","±361","3.9%","±2.0","398","±319","2.1%","±1.7","9,139","±1,888","1.2%","±0.3","1,334","±527","3.0%","±1.2","313","±204","3.6%","±2.4","3,664","±1,139","2.1%","±0.7","1,897","±1,139","2.1%","±1.3","1,096","±673","2.3%","±1.4","563","±279","1.7%","±0.8"
"            20 to 29 percent","52,532","±4,095","4.3%","±0.3","N","N","N","N","1,269","±581","6.9%","±3.0","492","±279","2.6%","±1.5","27,564","±2,955","3.6%","±0.4","2,250","±715","5.1%","±1.6","717","±480","8.3%","±5.3","9,560","±1,552","5.5%","±0.9","3,009","±1,049","3.4%","±1.2","3,771","±1,318","7.8%","±2.7","2,098","±1,075","6.4%","±3.2"
"            30 percent or more","89,854","±6,613","7.3%","±0.5","N","N","N","N","1,714","±930","9.3%","±5.0","1,542","±745","8.2%","±3.8","56,643","±5,140","7.4%","±0.6","2,618","±910","6.0%","±2.1","454","±374","5.3%","±4.2","12,357","±2,052","7.1%","±1.1","7,591","±1,889","8.6%","±2.2","3,469","±1,129","7.2%","±2.3","2,203","±1,138","6.7%","±3.4"
"        $75,000 or more","859,085","±15,387","70.2%","±0.8","N","N","N","N","10,420","±1,690","56.3%","±5.8","13,797","±1,644","73.4%","±5.3","569,880","±12,310","74.5%","±0.8","24,203","±2,823","55.0%","±4.6","4,754","±984","55.3%","±8.7","115,492","±5,036","66.1%","±2.0","59,061","±4,268","66.8%","±3.6","29,703","±3,174","61.8%","±4.5","18,203","±2,552","55.4%","±6.9"
"            Less than 20 percent","529,312","±11,762","43.2%","±0.8","N","N","N","N","7,367","±1,443","39.8%","±6.2","9,407","±1,459","50.0%","±6.3","345,547","±10,181","45.2%","±1.1","16,069","±2,407","36.5%","±4.5","3,067","±806","35.7%","±8.0","74,120","±4,364","42.4%","±1.9","34,049","±3,542","38.5%","±3.8","16,836","±2,003","35.0%","±3.8","12,956","±2,005","39.5%","±5.7"
"            20 to 29 percent","226,630","±9,259","18.5%","±0.7","N","N","N","N","1,866","±726","10.1%","±3.8","3,100","±959","16.5%","±5.0","150,598","±7,084","19.7%","±0.8","6,312","±1,680","14.4%","±3.6","1,114","±545","13.0%","±6.1","30,502","±2,990","17.5%","±1.7","17,222","±3,109","19.5%","±3.2","8,884","±2,010","18.5%","±3.7","4,523","±1,810","13.8%","±5.3"
"            30 percent or more","103,143","±5,518","8.4%","±0.4","N","N","N","N","1,187","±935","6.4%","±4.9","1,290","±750","6.9%","±3.8","73,735","±4,767","9.6%","±0.6","1,822","±700","4.1%","±1.6","573","±441","6.7%","±5.1","10,870","±1,938","6.2%","±1.1","7,790","±1,579","8.8%","±1.7","3,983","±1,143","8.3%","±2.3","724","±373","2.2%","±1.2"
"        Zero or negative income","8,830","±1,764","0.7%","±0.1","N","N","N","N","193","±191","1.0%","±1.0","74","±120","0.4%","±0.6","5,842","±1,577","0.8%","±0.2","324","±369","0.7%","±0.8","84","±106","1.0%","±1.2","1,526","±776","0.9%","±0.4","173","±210","0.2%","±0.2","292","±462","0.6%","±1.0","133","±164","0.4%","±0.5"
"    REAL ESTATE TAXES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $800","135,997","±6,907","11.1%","±0.5","N","N","N","N","3,536","±942","19.1%","±4.9","2,695","±1,208","14.3%","±6.0","76,645","±5,679","10.0%","±0.7","9,804","±1,632","22.3%","±3.4","1,941","±706","22.6%","±7.0","15,929","±2,629","9.1%","±1.5","9,893","±1,982","11.2%","±2.2","5,612","±1,448","11.7%","±3.0","4,472","±1,504","13.6%","±4.3"
"        $800 to $1,499","292,423","±10,751","23.9%","±0.7","N","N","N","N","6,195","±1,130","33.5%","±4.9","3,870","±1,002","20.6%","±5.3","176,514","±7,316","23.1%","±0.9","15,831","±2,364","36.0%","±4.2","2,391","±825","27.8%","±8.0","29,640","±3,408","17.0%","±1.8","24,761","±2,871","28.0%","±2.9","14,260","±2,360","29.7%","±4.1","10,048","±2,136","30.6%","±5.9"
"        $1,500 or more","742,691","±14,151","60.6%","±0.8","N","N","N","N","8,093","±1,432","43.7%","±5.8","11,429","±1,709","60.8%","±6.8","482,680","±12,082","63.1%","±0.9","16,584","±2,183","37.7%","±4.2","3,484","±809","40.5%","±8.2","120,350","±5,514","68.9%","±2.2","46,735","±3,228","52.8%","±2.9","26,742","±2,767","55.6%","±4.4","17,173","±2,610","52.3%","±6.7"
"        No real estate taxes paid","53,462","±3,906","4.4%","±0.3","N","N","N","N","682","±401","3.7%","±2.2","804","±369","4.3%","±2.0","29,093","±2,662","3.8%","±0.3","1,766","±813","4.0%","±1.9","778","±423","9.1%","±4.9","8,863","±1,778","5.1%","±1.0","7,041","±2,082","8.0%","±2.3","1,440","±695","3.0%","±1.4","1,148","±551","3.5%","±1.6"
"        Median (dollars)","1,918","±25","1,918","±25","1,057","±588","1,057","±588","1,396","±122","1,396","±122","2,047","±227","2,047","±227","1,978","±28","1,978","±28","1,289","±71","1,289","±71","1,379","±181","1,379","±181","2,331","±90","2,331","±90","1,739","±100","1,739","±100","1,705","±108","1,705","±108","1,607","±168","1,607","±168"
