"Label (Grouping)","Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Apache County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Apache County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Apache County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Apache County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Cochise County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Cochise County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Cochise County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Cochise County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Coconino County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Coconino County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Coconino County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Coconino County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Maricopa County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Maricopa County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Maricopa County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Maricopa County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Mohave County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Mohave County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Mohave County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Mohave County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Navajo County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Navajo County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Navajo County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Navajo County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Pima County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Pima County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Pima County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Pima County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Pinal County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Pinal County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Pinal County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Pinal County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Yavapai County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Yavapai County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Yavapai County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Yavapai County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Yuma County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Yuma County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Yuma County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Yuma County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error"
"        $400 to $599","225,166","±7,688","28.3%","±0.9","N","N","N","N","6,639","±1,310","32.3%","±5.4","5,509","±1,289","30.0%","±6.0","116,643","±6,329","29.1%","±1.4","10,503","±1,641","26.7%","±4.1","3,714","±834","15.6%","±3.4","37,820","±3,179","30.0%","±2.2","13,275","±1,992","24.6%","±3.2","12,821","±1,707","31.2%","±3.7","7,851","±1,366","27.7%","±4.6"
"        $600 to $999","249,124","±8,513","31.3%","±0.9","N","N","N","N","3,345","±995","16.3%","±4.8","4,198","±850","22.9%","±4.5","140,845","±6,554","35.1%","±1.3","7,444","±1,441","19.0%","±3.6","4,312","±1,197","18.1%","±4.7","45,192","±3,368","35.8%","±2.5","17,049","±1,838","31.6%","±3.4","11,171","±1,743","27.2%","±4.1","8,259","±2,211","29.1%","±6.4"
"        $1,000 to $1,299","55,360","±3,642","7.0%","±0.4","N","N","N","N","947","±574","4.6%","±2.9","515","±281","2.8%","±1.5","35,527","±2,926","8.8%","±0.7","1,124","±532","2.9%","±1.3","645","±419","2.7%","±1.7","7,741","±1,462","6.1%","±1.1","4,390","±1,058","8.1%","±1.9","2,550","±808","6.2%","±1.9","692","±650","2.4%","±2.3"
"        $1,300 to $1,499","17,325","±2,446","2.2%","±0.3","N","N","N","N","90","±109","0.4%","±0.5","0","±237","0.0%","±1.3","11,492","±1,703","2.9%","±0.4","155","±157","0.4%","±0.4","438","±407","1.8%","±1.7","3,438","±1,048","2.7%","±0.8","1,076","±647","2.0%","±1.2","485","±337","1.2%","±0.8","72","±118","0.3%","±0.4"
"        $1,500 or more","32,802","±3,608","4.1%","±0.4","N","N","N","N","337","±266","1.6%","±1.3","904","±510","4.9%","±2.8","21,606","±2,729","5.4%","±0.7","775","±658","2.0%","±1.7","225","±226","0.9%","±1.0","5,124","±1,265","4.1%","±1.0","2,185","±848","4.1%","±1.6","833","±418","2.0%","±1.0","166","±155","0.6%","±0.5"
"        Median (dollars)","560","±7","560","±7","236","±20","236","±20","429","±30","429","±30","474","±37","474","±37","618","±11","618","±11","406","±26","406","±26","352","±30","352","±30","591","±18","591","±18","572","±27","572","±27","506","±30","506","±30","473","±50","473","±50"
"    MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $20,000","75,254","±4,706","9.5%","±0.6","N","N","N","N","3,254","±865","15.8%","±4.0","1,429","±572","7.8%","±2.9","28,068","±2,244","7.0%","±0.6","5,744","±1,374","14.6%","±3.5","3,952","±984","16.6%","±3.7","11,951","±2,051","9.5%","±1.6","4,281","±1,108","7.9%","±2.0","5,069","±975","12.4%","±2.3","3,626","±1,162","12.8%","±3.8"
"            Less than 20 percent","11,456","±1,741","1.4%","±0.2","N","N","N","N","827","±485","4.0%","±2.3","236","±146","1.3%","±0.8","1,820","±834","0.5%","±0.2","1,421","±738","3.6%","±1.9","1,651","±519","6.9%","±2.0","1,473","±744","1.2%","±0.6","645","±453","1.2%","±0.8","631","±375","1.5%","±0.9","404","±290","1.4%","±1.0"
"            20 to 29 percent","9,910","±1,652","1.2%","±0.2","N","N","N","N","398","±212","1.9%","±1.0","102","±74","0.6%","±0.4","2,163","±700","0.5%","±0.2","1,356","±604","3.5%","±1.5","779","±427","3.3%","±1.8","1,814","±957","1.4%","±0.8","481","±339","0.9%","±0.6","1,065","±462","2.6%","±1.1","239","±163","0.8%","±0.6"
"            30 percent or more","53,888","±3,983","6.8%","±0.5","N","N","N","N","2,029","±731","9.9%","±3.4","1,091","±541","5.9%","±2.8","24,085","±2,223","6.0%","±0.6","2,967","±1,040","7.6%","±2.7","1,522","±590","6.4%","±2.4","8,664","±1,622","6.9%","±1.3","3,155","±1,015","5.8%","±1.9","3,373","±863","8.2%","±2.1","2,983","±1,121","10.5%","±3.7"
"        $20,000 to $34,999","95,551","±4,339","12.0%","±0.6","N","N","N","N","3,262","±813","15.9%","±4.0","3,204","±970","17.5%","±4.7","39,459","±3,281","9.8%","±0.8","7,051","±1,488","18.0%","±3.6","4,070","±1,088","17.1%","±4.2","14,375","±2,361","11.4%","±1.7","8,298","±1,550","15.4%","±2.9","4,098","±1,117","10.0%","±2.6","3,419","±843","12.1%","±3.0"
"            Less than 20 percent","44,278","±3,439","5.6%","±0.4","N","N","N","N","2,197","±694","10.7%","±3.4","1,487","±632","8.1%","±3.3","15,400","±2,297","3.8%","±0.6","4,496","±1,329","11.4%","±3.1","2,485","±783","10.5%","±3.2","5,537","±1,344","4.4%","±1.0","3,651","±1,426","6.8%","±2.6","1,608","±499","3.9%","±1.2","1,833","±659","6.5%","±2.3"
"            20 to 29 percent","24,824","±3,043","3.1%","±0.4","N","N","N","N","621","±397","3.0%","±1.9","817","±605","4.5%","±3.2","11,260","±1,908","2.8%","±0.5","1,722","±673","4.4%","±1.8","1,201","±600","5.1%","±2.4","3,853","±1,008","3.1%","±0.8","1,766","±665","3.3%","±1.3","1,742","±970","4.2%","±2.3","826","±411","2.9%","±1.4"
"            30 percent or more","26,449","±2,916","3.3%","±0.4","N","N","N","N","444","±331","2.2%","±1.6","900","±507","4.9%","±2.7","12,799","±1,987","3.2%","±0.5","833","±637","2.1%","±1.6","384","±237","1.6%","±1.0","4,985","±1,436","4.0%","±1.1","2,881","±1,065","5.3%","±2.0","748","±395","1.8%","±1.0","760","±417","2.7%","±1.5"
"        $35,000 to $49,999","92,830","±5,121","11.7%","±0.6","N","N","N","N","2,329","±773","11.3%","±3.6","2,737","±1,062","14.9%","±5.6","40,511","±3,558","10.1%","±0.9","4,792","±1,154","12.2%","±2.9","3,056","±900","12.9%","±3.7","16,653","±2,379","13.2%","±1.8","6,239","±1,544","11.6%","±2.8","6,256","±1,368","15.2%","±3.1","4,298","±994","15.1%","±3.6"
"            Less than 20 percent","66,718","±3,888","8.4%","±0.5","N","N","N","N","2,055","±736","10.0%","±3.4","1,604","±639","8.7%","±3.3","26,003","±2,730","6.5%","±0.7","3,744","±912","9.5%","±2.3","2,811","±886","11.8%","±3.7","12,085","±1,893","9.6%","±1.5","4,545","±1,198","8.4%","±2.1","4,787","±1,339","11.7%","±3.0","3,682","±943","13.0%","±3.4"
"            20 to 29 percent","16,783","±2,176","2.1%","±0.3","N","N","N","N","274","±287","1.3%","±1.4","1,039","±711","5.7%","±3.8","8,269","±1,714","2.1%","±0.4","448","±356","1.1%","±0.9","163","±199","0.7%","±0.8","3,647","±1,237","2.9%","±0.9","1,080","±496","2.0%","±0.9","954","±773","2.3%","±1.9","449","±321","1.6%","±1.1"
"            30 percent or more","9,329","±1,705","1.2%","±0.2","N","N","N","N","0","±237","0.0%","±1.1","94","±155","0.5%","±0.9","6,239","±1,365","1.6%","±0.3","600","±694","1.5%","±1.8","82","±103","0.3%","±0.4","921","±397","0.7%","±0.3","614","±581","1.1%","±1.1","515","±361","1.3%","±0.9","167","±211","0.6%","±0.7"
"        $50,000 to $74,999","137,029","±6,261","17.2%","±0.7","N","N","N","N","3,493","±952","17.0%","±4.5","2,364","±645","12.9%","±3.4","66,651","±3,757","16.6%","±1.0","7,461","±1,640","19.0%","±3.8","4,852","±1,195","20.4%","±4.9","22,151","±2,569","17.6%","±2.0","10,175","±1,822","18.9%","±3.3","8,122","±1,645","19.8%","±3.9","4,738","±1,488","16.7%","±4.6"
"            Less than 20 percent","123,621","±6,215","15.5%","±0.7","N","N","N","N","3,263","±951","15.9%","±4.5","2,339","±646","12.7%","±3.4","57,687","±3,691","14.4%","±1.0","7,198","±1,616","18.3%","±3.7","4,661","±1,128","19.6%","±4.6","19,795","±2,489","15.7%","±1.8","9,468","±1,803","17.6%","±3.3","7,539","±1,540","18.4%","±3.6","4,695","±1,490","16.5%","±4.6"
"            20 to 29 percent","8,406","±1,228","1.1%","±0.2","N","N","N","N","230","±203","1.1%","±1.0","25","±42","0.1%","±0.2","5,691","±1,032","1.4%","±0.3","194","±190","0.5%","±0.5","183","±255","0.8%","±1.1","1,153","±505","0.9%","±0.4","521","±400","1.0%","±0.7","387","±289","0.9%","±0.7","22","±38","0.1%","±0.1"
"            30 percent or more","5,002","±1,283","0.6%","±0.2","N","N","N","N","0","±237","0.0%","±1.1","0","±237","0.0%","±1.3","3,273","±945","0.8%","±0.2","69","±113","0.2%","±0.3","8","±15","0.0%","±0.1","1,203","±728","1.0%","±0.6","186","±178","0.3%","±0.3","196","±177","0.5%","±0.4","21","±35","0.1%","±0.1"
"        $75,000 or more","376,454","±12,041","47.3%","±1.1","N","N","N","N","7,704","±1,382","37.5%","±5.5","8,047","±1,193","43.8%","±5.5","218,908","±9,671","54.5%","±1.6","13,500","±1,890","34.4%","±4.0","6,374","±1,348","26.8%","±5.3","58,974","±4,317","46.8%","±2.8","22,483","±2,789","41.7%","±4.5","17,387","±1,891","42.4%","±3.8","11,328","±1,902","39.9%","±5.1"
"            Less than 20 percent","368,024","±11,816","46.2%","±1.1","N","N","N","N","7,704","±1,382","37.5%","±5.5","7,961","±1,182","43.4%","±5.5","213,853","±9,595","53.3%","±1.6","13,292","±1,921","33.8%","±4.1","6,151","±1,354","25.9%","±5.4","57,081","±4,226","45.3%","±2.9","21,973","±2,786","40.7%","±4.6","17,083","±1,865","41.6%","±3.7","11,183","±1,893","39.4%","±5.1"
"            20 to 29 percent","5,967","±1,853","0.7%","±0.2","N","N","N","N","0","±237","0.0%","±1.1","34","±60","0.2%","±0.3","3,449","±1,342","0.9%","±0.3","124","±157","0.3%","±0.4","205","±295","0.9%","±1.2","1,524","±732","1.2%","±0.6","426","±326","0.8%","±0.6","199","±185","0.5%","±0.5","0","±237","0.0%","±0.8"
"            30 percent or more","2,463","±945","0.3%","±0.1","N","N","N","N","0","±237","0.0%","±1.1","52","±80","0.3%","±0.4","1,606","±808","0.4%","±0.2","84","±144","0.2%","±0.4","18","±29","0.1%","±0.1","369","±295","0.3%","±0.2","84","±144","0.2%","±0.3","105","±129","0.3%","±0.3","145","±154","0.5%","±0.5"
"        Zero or negative income","19,131","±2,719","2.4%","±0.3","N","N","N","N","504","±403","2.5%","±1.9","574","±342","3.1%","±1.8","7,846","±1,870","2.0%","±0.5","730","±482","1.9%","±1.2","1,467","±674","6.2%","±2.8","2,009","±923","1.6%","±0.7","2,462","±1,273","4.6%","±2.3","104","±116","0.3%","±0.3","963","±715","3.4%","±2.5"
"    REAL ESTATE TAXES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $800","169,331","±8,002","21.3%","±0.9","N","N","N","N","7,023","±1,319","34.2%","±5.0","3,380","±1,066","18.4%","±5.2","71,423","±5,246","17.8%","±1.2","14,520","±1,972","37.0%","±4.2","5,459","±1,287","23.0%","±5.2","20,232","±2,436","16.0%","±1.7","18,269","±2,040","33.9%","±3.6","10,610","±1,731","25.9%","±3.6","9,002","±1,637","31.7%","±5.0"
"        $800 to $1,499","156,938","±6,301","19.7%","±0.7","N","N","N","N","5,914","±1,021","28.8%","±4.7","1,720","±598","9.4%","±3.1","86,382","±4,207","21.5%","±1.0","8,335","±1,528","21.2%","±3.6","3,270","±1,114","13.8%","±4.5","19,085","±2,352","15.1%","±1.7","9,873","±1,873","18.3%","±3.2","7,438","±1,213","18.1%","±2.8","7,285","±1,676","25.7%","±5.6"
"        $1,500 or more","386,529","±10,705","48.5%","±1.0","N","N","N","N","5,911","±988","28.8%","±4.6","6,656","±1,120","36.3%","±4.7","220,966","±7,435","55.0%","±1.3","12,691","±1,668","32.3%","±3.9","3,875","±1,111","16.3%","±4.0","79,370","±4,222","62.9%","±2.3","19,981","±2,113","37.0%","±3.6","20,548","±1,910","50.1%","±4.0","7,494","±1,882","26.4%","±5.9"
"        No real estate taxes paid","83,451","±4,943","10.5%","±0.6","N","N","N","N","1,698","±777","8.3%","±3.6","6,599","±898","36.0%","±4.3","22,672","±2,699","5.6%","±0.6","3,732","±1,216","9.5%","±3.0","11,167","±1,245","47.0%","±4.7","7,426","±1,327","5.9%","±1.0","5,815","±1,294","10.8%","±2.3","2,440","±860","5.9%","±2.0","4,591","±1,702","16.2%","±5.6"
"        Median (dollars)","1,654","±36","1,654","±36","445","±539","445","±539","1,063","±128","1,063","±128","1,793","±318","1,793","±318","1,781","±43","1,781","±43","1,018","±124","1,018","±124","1,051","±261","1,051","±261","2,182","±113","2,182","±113","1,210","±130","1,210","±130","1,605","±134","1,605","±134","1,062","±138","1,062","±138"
