"Label (Grouping)","Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Apache County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Apache County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Apache County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Apache County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Cochise County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Cochise County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Cochise County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Cochise County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Coconino County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Coconino County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Coconino County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Coconino County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Maricopa County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Maricopa County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Maricopa County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Maricopa County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Mohave County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Mohave County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Mohave County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Mohave County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Navajo County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Navajo County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Navajo County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Navajo County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Pima County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Pima County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Pima County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Pima County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Pinal County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Pinal County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Pinal County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Pinal County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Yavapai County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Yavapai County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Yavapai County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Yavapai County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Yuma County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Yuma County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Yuma County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Yuma County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error"
"        $2,000 to $2,499","117,057","±5,171","10.9%","±0.5","N","N","N","N","1,020","±488","5.3%","±2.4","2,866","±945","19.6%","±5.8","88,391","±4,445","13.0%","±0.6","1,436","±587","3.9%","±1.6","404","±251","4.8%","±2.9","13,125","±1,449","8.7%","±1.0","4,350","±1,371","6.2%","±1.8","2,727","±1,016","7.0%","±2.6","1,633","±516","5.9%","±1.9"
"        $2,500 to $2,999","59,217","±3,222","5.5%","±0.3","N","N","N","N","15","±31","0.1%","±0.2","910","±425","6.2%","±2.7","49,166","±2,878","7.2%","±0.4","499","±301","1.3%","±0.8","86","±139","1.0%","±1.7","5,534","±1,114","3.7%","±0.7","727","±435","1.0%","±0.6","1,252","±477","3.2%","±1.2","400","±271","1.4%","±1.0"
"        $3,000 or more","59,771","±3,230","5.6%","±0.3","N","N","N","N","0","±211","0.0%","±0.9","1,078","±389","7.4%","±2.6","49,525","±2,903","7.3%","±0.4","364","±244","1.0%","±0.7","94","±119","1.1%","±1.4","5,561","±1,051","3.7%","±0.7","518","±341","0.7%","±0.5","1,834","±595","4.7%","±1.5","394","±395","1.4%","±1.5"
"        Median (dollars)","1,417","±10","1,417","±10","962","±92","962","±92","1,095","±71","1,095","±71","1,699","±94","1,699","±94","1,524","±14","1,524","±14","1,069","±76","1,069","±76","1,096","±48","1,096","±48","1,307","±25","1,307","±25","1,266","±40","1,266","±40","1,249","±53","1,249","±53","1,167","±47","1,167","±47"
"    MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $20,000","55,117","±3,479","5.1%","±0.3","N","N","N","N","1,838","±857","9.5%","±4.2","271","±211","1.9%","±1.4","28,047","±2,230","4.1%","±0.3","3,360","±938","9.1%","±2.6","615","±318","7.3%","±3.8","8,136","±1,230","5.4%","±0.8","4,669","±1,364","6.6%","±1.9","3,218","±763","8.3%","±2.0","2,516","±1,011","9.1%","±3.5"
"            Less than 20 percent","453","±347","0.0%","±0.1","N","N","N","N","0","±211","0.0%","±0.9","0","±211","0.0%","±1.3","340","±296","0.1%","±0.1","0","±211","0.0%","±0.5","0","±211","0.0%","±2.2","0","±211","0.0%","±0.1","0","±211","0.0%","±0.3","102","±175","0.3%","±0.5","0","±211","0.0%","±0.7"
"            20 to 29 percent","919","±539","0.1%","±0.1","N","N","N","N","0","±211","0.0%","±0.9","0","±211","0.0%","±1.3","201","±202","0.0%","±0.1","77","±97","0.2%","±0.3","28","±49","0.3%","±0.6","241","±226","0.2%","±0.2","0","±211","0.0%","±0.3","372","±324","1.0%","±0.8","0","±211","0.0%","±0.7"
"            30 percent or more","53,745","±3,510","5.0%","±0.3","N","N","N","N","1,838","±857","9.5%","±4.2","271","±211","1.9%","±1.4","27,506","±2,220","4.0%","±0.3","3,283","±942","8.8%","±2.6","587","±312","7.0%","±3.7","7,895","±1,259","5.2%","±0.8","4,669","±1,364","6.6%","±1.9","2,744","±703","7.0%","±1.8","2,516","±1,011","9.1%","±3.5"
"        $20,000 to $34,999","86,255","±4,756","8.0%","±0.4","N","N","N","N","1,853","±584","9.6%","±2.9","940","±443","6.4%","±2.9","47,862","±3,213","7.0%","±0.4","4,994","±1,322","13.5%","±3.5","1,533","±598","18.2%","±6.9","12,626","±1,833","8.4%","±1.1","6,687","±1,519","9.5%","±2.1","4,072","±1,146","10.4%","±2.8","3,931","±1,161","14.2%","±4.1"
"            Less than 20 percent","2,100","±584","0.2%","±0.1","N","N","N","N","12","±22","0.1%","±0.1","61","±101","0.4%","±0.7","955","±439","0.1%","±0.1","80","±99","0.2%","±0.3","59","±58","0.7%","±0.7","441","±239","0.3%","±0.2","0","±211","0.0%","±0.3","138","±118","0.4%","±0.3","170","±223","0.6%","±0.8"
"            20 to 29 percent","9,258","±1,627","0.9%","±0.2","N","N","N","N","268","±247","1.4%","±1.3","84","±97","0.6%","±0.7","4,588","±1,102","0.7%","±0.2","747","±485","2.0%","±1.3","134","±185","1.6%","±2.1","1,075","±502","0.7%","±0.3","1,177","±655","1.7%","±0.9","324","±220","0.8%","±0.5","701","±460","2.5%","±1.7"
"            30 percent or more","74,897","±4,834","7.0%","±0.4","N","N","N","N","1,573","±545","8.1%","±2.7","795","±429","5.4%","±2.8","42,319","±3,309","6.2%","±0.5","4,167","±1,322","11.2%","±3.5","1,340","±565","15.9%","±6.6","11,110","±1,744","7.4%","±1.1","5,510","±1,375","7.8%","±1.9","3,610","±1,136","9.3%","±2.8","3,060","±1,058","11.1%","±3.7"
"        $35,000 to $49,999","111,112","±5,060","10.4%","±0.4","N","N","N","N","2,478","±840","12.8%","±4.0","1,119","±699","7.6%","±4.8","59,740","±3,670","8.8%","±0.5","4,962","±1,039","13.4%","±2.6","1,338","±585","15.9%","±6.4","19,920","±2,539","13.2%","±1.6","8,329","±1,411","11.8%","±1.9","5,246","±1,128","13.5%","±2.8","3,429","±930","12.4%","±3.3"
"            Less than 20 percent","10,992","±1,434","1.0%","±0.1","N","N","N","N","202","±256","1.0%","±1.3","43","±74","0.3%","±0.5","5,202","±1,057","0.8%","±0.2","1,012","±520","2.7%","±1.4","219","±204","2.6%","±2.4","1,872","±606","1.2%","±0.4","617","±371","0.9%","±0.5","1,035","±744","2.7%","±1.9","57","±69","0.2%","±0.2"
"            20 to 29 percent","37,450","±2,533","3.5%","±0.2","N","N","N","N","855","±442","4.4%","±2.2","441","±534","3.0%","±3.7","17,104","±1,703","2.5%","±0.2","1,850","±755","5.0%","±2.0","634","±387","7.5%","±4.6","7,648","±1,431","5.1%","±0.9","3,513","±1,028","5.0%","±1.5","1,705","±715","4.4%","±1.8","1,685","±585","6.1%","±2.1"
"            30 percent or more","62,670","±3,822","5.8%","±0.3","N","N","N","N","1,421","±649","7.3%","±3.2","635","±378","4.3%","±2.6","37,434","±2,691","5.5%","±0.4","2,100","±767","5.7%","±1.9","485","±362","5.8%","±4.1","10,400","±1,854","6.9%","±1.2","4,199","±980","5.9%","±1.3","2,506","±702","6.4%","±1.8","1,687","±654","6.1%","±2.3"
"        $50,000 to $74,999","204,448","±6,264","19.1%","±0.6","N","N","N","N","4,982","±1,146","25.7%","±5.8","2,663","±717","18.2%","±4.5","118,239","±4,871","17.4%","±0.7","9,294","±1,599","25.0%","±3.8","1,774","±545","21.0%","±6.5","30,605","±2,754","20.3%","±1.6","17,156","±2,426","24.3%","±3.1","8,386","±1,762","21.5%","±4.3","5,817","±1,283","21.1%","±4.3"
"            Less than 20 percent","52,480","±3,706","4.9%","±0.3","N","N","N","N","2,792","±875","14.4%","±4.3","584","±295","4.0%","±1.9","24,538","±2,375","3.6%","±0.4","4,601","±1,343","12.4%","±3.4","456","±267","5.4%","±3.1","8,999","±1,432","6.0%","±1.0","4,413","±1,088","6.2%","±1.5","2,373","±1,002","6.1%","±2.5","1,836","±606","6.6%","±2.1"
"            20 to 29 percent","88,951","±4,634","8.3%","±0.4","N","N","N","N","1,311","±577","6.8%","±3.0","901","±472","6.2%","±3.2","49,939","±3,478","7.3%","±0.5","3,232","±933","8.7%","±2.5","885","±409","10.5%","±5.1","15,497","±2,236","10.3%","±1.4","8,511","±1,870","12.0%","±2.5","3,592","±1,247","9.2%","±3.2","2,906","±967","10.5%","±3.4"
"            30 percent or more","63,017","±4,175","5.9%","±0.4","N","N","N","N","879","±515","4.5%","±2.7","1,178","±455","8.0%","±3.0","43,762","±3,527","6.4%","±0.5","1,461","±652","3.9%","±1.8","433","±285","5.1%","±3.3","6,109","±1,187","4.1%","±0.8","4,232","±1,060","6.0%","±1.5","2,421","±767","6.2%","±1.9","1,075","±590","3.9%","±2.1"
"        $75,000 or more","609,677","±11,133","56.8%","±0.7","N","N","N","N","8,097","±1,289","41.7%","±5.7","9,646","±1,540","65.9%","±6.9","423,115","±8,244","62.2%","±0.8","13,756","±1,847","37.1%","±3.9","3,168","±892","37.6%","±8.2","78,534","±3,816","52.1%","±2.2","33,502","±2,744","47.4%","±3.5","17,882","±2,581","45.8%","±4.8","11,733","±1,695","42.5%","±4.8"
"            Less than 20 percent","434,291","±8,948","40.5%","±0.7","N","N","N","N","6,801","±1,255","35.1%","±5.6","6,156","±1,252","42.1%","±7.2","297,237","±7,257","43.7%","±0.9","10,282","±1,721","27.7%","±3.9","3,048","±898","36.2%","±8.3","57,365","±3,024","38.0%","±2.0","24,416","±2,660","34.5%","±3.7","11,938","±2,173","30.6%","±4.6","8,587","±1,650","31.1%","±4.8"
"            20 to 29 percent","142,235","±5,937","13.3%","±0.5","N","N","N","N","1,234","±523","6.4%","±2.8","2,742","±785","18.7%","±4.9","100,285","±4,598","14.7%","±0.6","2,807","±1,047","7.6%","±2.8","82","±108","1.0%","±1.3","17,941","±2,398","11.9%","±1.5","8,303","±1,588","11.7%","±2.2","4,561","±1,262","11.7%","±3.0","2,666","±934","9.7%","±3.4"
"            30 percent or more","33,151","±3,086","3.1%","±0.3","N","N","N","N","62","±113","0.3%","±0.6","748","±391","5.1%","±2.5","25,593","±2,781","3.8%","±0.4","667","±342","1.8%","±0.9","38","±70","0.5%","±0.8","3,228","±891","2.1%","±0.6","783","±551","1.1%","±0.8","1,383","±550","3.5%","±1.4","480","±453","1.7%","±1.7"
"        Zero or negative income","5,893","±1,360","0.5%","±0.1","N","N","N","N","148","±206","0.8%","±1.1","0","±211","0.0%","±1.3","2,975","±960","0.4%","±0.1","758","±761","2.0%","±2.0","0","±211","0.0%","±2.2","973","±568","0.6%","±0.4","353","±329","0.5%","±0.5","198","±233","0.5%","±0.6","185","±158","0.7%","±0.6"
"    REAL ESTATE TAXES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $800","162,005","±6,559","15.1%","±0.6","2,290","±772","73.1%","±10.9","3,913","±1,067","20.2%","±5.2","1,532","±776","10.5%","±5.0","93,235","±4,502","13.7%","±0.6","11,717","±1,938","31.6%","±4.4","2,882","±810","34.2%","±8.0","15,537","±2,164","10.3%","±1.4","12,421","±2,033","17.6%","±2.6","6,933","±1,544","17.8%","±3.6","3,807","±880","13.8%","±3.3"
"        $800 to $1,499","328,087","±9,482","30.6%","±0.7","269","±197","8.6%","±6.7","8,644","±1,492","44.6%","±6.6","4,131","±1,035","28.2%","±6.7","201,076","±6,355","29.6%","±0.8","12,674","±2,149","34.1%","±4.9","3,654","±786","43.4%","±7.5","37,930","±3,115","25.2%","±1.7","27,299","±2,577","38.6%","±3.2","13,087","±2,199","33.6%","±4.8","12,181","±1,905","44.1%","±5.0"
"        $1,500 or more","554,352","±9,913","51.7%","±0.8","213","±189","6.8%","±6.3","6,539","±1,226","33.7%","±5.5","8,481","±1,312","57.9%","±6.3","369,644","±7,883","54.4%","±0.9","11,339","±1,799","30.5%","±4.3","1,525","±523","18.1%","±6.0","92,987","±4,067","61.7%","±2.1","29,263","±2,604","41.4%","±3.2","18,255","±2,125","46.8%","±4.4","10,815","±1,623","39.2%","±5.1"
"        No real estate taxes paid","28,058","±2,679","2.6%","±0.3","360","±163","11.5%","±5.6","300","±281","1.5%","±1.4","495","±189","3.4%","±1.3","16,023","±1,972","2.4%","±0.3","1,394","±666","3.8%","±1.9","367","±174","4.4%","±2.0","4,340","±1,136","2.9%","±0.8","1,713","±772","2.4%","±1.1","727","±562","1.9%","±1.4","808","±443","2.9%","±1.6"
"        Median (dollars)","1,591","±22","1,591","±22","365","±113","365","±113","1,252","±74","1,252","±74","1,754","±159","1,754","±159","1,668","±24","1,668","±24","1,187","±68","1,187","±68","971","±91","971","±91","1,860","±56","1,860","±56","1,376","±49","1,376","±49","1,460","±77","1,460","±77","1,366","±63","1,366","±63"
