"Label (Grouping)","Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Apache County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Apache County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Apache County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Apache County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Cochise County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Cochise County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Cochise County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Cochise County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Coconino County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Coconino County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Coconino County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Coconino County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Gila County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Gila County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Gila County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Gila County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Graham County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Graham County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Graham County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Graham County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Greenlee County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Greenlee County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Greenlee County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Greenlee County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","La Paz County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","La Paz County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","La Paz County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","La Paz County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Maricopa County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Maricopa County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Maricopa County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Maricopa County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Mohave County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Mohave County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Mohave County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Mohave County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Navajo County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Navajo County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Navajo County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Navajo County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Pima County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Pima County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Pima County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Pima County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Pinal County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Pinal County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Pinal County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Pinal County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Santa Cruz County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Santa Cruz County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Santa Cruz County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Santa Cruz County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Yavapai County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Yavapai County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Yavapai County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Yavapai County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Yuma County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Yuma County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Yuma County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Yuma County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error"
"        Median household income (dollars)","53,529","±551","53,529","±551","26,916","±1,880","26,916","±1,880","47,607","±3,842","47,607","±3,842","55,954","±2,528","55,954","±2,528","39,465","±2,174","39,465","±2,174","45,617","±5,818","45,617","±5,818","43,590","±8,278","43,590","±8,278","32,997","±6,340","32,997","±6,340","61,182","±876","61,182","±876","42,440","±2,023","42,440","±2,023","38,135","±3,037","38,135","±3,037","53,169","±1,214","53,169","±1,214","51,277","±2,160","51,277","±2,160","44,526","±6,410","44,526","±6,410","47,386","±2,430","47,386","±2,430","42,756","±3,281","42,756","±3,281"
"    RATIO OF VALUE TO HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than 2.0","196,518","±3,704","31.0%","±0.5","7,196","±411","51.8%","±2.4","6,325","±534","38.2%","±2.7","4,996","±390","35.4%","±2.2","3,598","±379","37.4%","±3.8","1,618","±252","46.7%","±5.5","541","±107","50.8%","±8.7","2,227","±390","42.6%","±6.8","85,558","±2,541","26.9%","±0.7","8,842","±726","30.7%","±2.3","6,178","±476","38.4%","±2.7","34,080","±1,436","33.5%","±1.1","17,557","±920","39.4%","±1.7","1,220","±275","29.0%","±5.1","5,828","±713","17.8%","±2.1","10,754","±684","46.5%","±2.5"
"        2.0 to 2.9","100,599","±2,258","15.9%","±0.3","1,666","±243","12.0%","±1.6","3,273","±430","19.8%","±2.4","1,759","±333","12.5%","±2.2","1,189","±258","12.4%","±2.6","612","±155","17.7%","±4.1","169","±80","15.9%","±7.4","901","±375","17.2%","±6.9","51,169","±1,636","16.1%","±0.5","4,588","±638","15.9%","±2.2","2,162","±287","13.5%","±1.7","16,628","±894","16.4%","±0.9","7,431","±794","16.7%","±1.6","594","±142","14.1%","±3.4","4,519","±508","13.8%","±1.6","3,939","±501","17.0%","±2.0"
"        3.0 to 3.9","75,397","±2,232","11.9%","±0.3","851","±171","6.1%","±1.2","1,635","±278","9.9%","±1.6","1,477","±216","10.5%","±1.5","997","±245","10.4%","±2.5","341","±134","9.8%","±3.8","55","±37","5.2%","±3.4","474","±222","9.1%","±4.3","40,297","±1,552","12.7%","±0.4","3,627","±562","12.6%","±1.9","1,650","±368","10.3%","±2.3","13,078","±990","12.9%","±0.9","4,472","±483","10.0%","±1.1","511","±170","12.1%","±3.9","3,737","±475","11.4%","±1.3","2,195","±381","9.5%","±1.6"
"        4.0 or more","248,373","±3,779","39.2%","±0.5","2,650","±257","19.1%","±1.8","4,993","±419","30.1%","±2.4","5,528","±526","39.2%","±2.8","3,658","±469","38.0%","±3.9","804","±176","23.2%","±5.1","283","±106","26.6%","±8.9","1,356","±304","25.9%","±5.7","136,500","±2,716","42.9%","±0.7","11,128","±987","38.6%","±2.8","5,521","±517","34.3%","±2.9","36,375","±1,484","35.8%","±1.2","14,153","±992","31.7%","±2.0","1,762","±277","41.8%","±5.8","18,245","±1,107","55.7%","±2.6","5,417","±642","23.4%","±2.5"
"        Not computed","12,639","±822","2.0%","±0.1","1,539","±222","11.1%","±1.6","342","±157","2.1%","±0.9","350","±101","2.5%","±0.7","183","±77","1.9%","±0.8","91","±66","2.6%","±1.9","16","±17","1.5%","±1.6","272","±207","5.2%","±3.8","4,859","±552","1.5%","±0.2","622","±294","2.2%","±1.0","562","±127","3.5%","±0.8","1,427","±292","1.4%","±0.3","991","±219","2.2%","±0.5","126","±87","3.0%","±2.0","428","±163","1.3%","±0.5","831","±186","3.6%","±0.8"
"    MONTHLY HOUSING COSTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $200","62,753","±2,086","9.9%","±0.3","7,931","±407","57.0%","±2.4","2,385","±357","14.4%","±2.1","2,548","±235","18.1%","±1.7","1,697","±305","17.6%","±3.0","632","±115","18.2%","±3.1","293","±99","27.5%","±8.7","1,689","±397","32.3%","±6.5","18,020","±1,130","5.7%","±0.3","4,623","±487","16.0%","±1.6","4,821","±285","30.0%","±1.7","6,682","±602","6.6%","±0.6","4,638","±530","10.4%","±1.2","504","±150","12.0%","±3.6","2,754","±467","8.4%","±1.4","3,536","±372","15.3%","±1.5"
"        $200 to $399","221,582","±3,451","35.0%","±0.4","4,262","±316","30.7%","±2.1","8,075","±646","48.7%","±3.3","5,039","±500","35.7%","±3.0","3,372","±399","35.0%","±3.7","1,455","±194","42.0%","±4.8","592","±122","55.6%","±9.1","2,274","±363","43.5%","±6.4","98,702","±2,086","31.0%","±0.6","15,333","±1,005","53.2%","±2.5","6,703","±510","41.7%","±2.7","31,982","±1,299","31.5%","±1.1","17,350","±1,178","38.9%","±2.2","2,173","±346","51.6%","±5.5","13,803","±1,013","42.1%","±2.7","10,467","±731","45.2%","±2.6"
"        $400 to $599","196,054","±3,544","30.9%","±0.5","1,317","±272","9.5%","±1.9","4,462","±474","26.9%","±2.5","4,148","±612","29.4%","±3.4","2,774","±343","28.8%","±3.3","1,060","±223","30.6%","±5.4","137","±58","12.9%","±5.4","934","±219","17.9%","±4.1","103,990","±2,513","32.7%","±0.7","6,369","±673","22.1%","±2.1","3,421","±433","21.3%","±2.6","36,353","±1,560","35.8%","±1.3","13,596","±1,041","30.5%","±2.0","939","±195","22.3%","±4.2","9,772","±828","29.8%","±2.3","6,782","±639","29.3%","±2.5"
"        $600 to $999","122,634","±2,601","19.4%","±0.4","373","±105","2.7%","±0.7","1,415","±283","8.5%","±1.7","2,024","±271","14.3%","±2.0","1,526","±323","15.9%","±3.2","315","±103","9.1%","±2.8","33","±27","3.1%","±2.5","239","±90","4.6%","±1.8","76,691","±2,087","24.1%","±0.5","2,122","±305","7.4%","±1.0","989","±230","6.2%","±1.4","21,671","±1,260","21.3%","±1.0","7,808","±620","17.5%","±1.3","459","±165","10.9%","±3.8","4,879","±649","14.9%","±1.9","2,090","±362","9.0%","±1.6"
"        $1,000 to $1,299","17,531","±1,166","2.8%","±0.2","9","±9","0.1%","±0.1","124","±80","0.7%","±0.5","266","±115","1.9%","±0.8","129","±100","1.3%","±1.0","1","±3","0.0%","±0.1","0","±19","0.0%","±3.7","82","±133","1.6%","±2.5","11,428","±835","3.6%","±0.3","208","±83","0.7%","±0.3","85","±56","0.5%","±0.3","2,967","±426","2.9%","±0.4","820","±198","1.8%","±0.5","68","±40","1.6%","±0.9","1,139","±303","3.5%","±0.9","205","±174","0.9%","±0.8"
"        $1,300 to $1,499","4,559","±465","0.7%","±0.1","10","±11","0.1%","±0.1","28","±29","0.2%","±0.2","54","±40","0.4%","±0.3","10","±16","0.1%","±0.2","2","±3","0.1%","±0.1","0","±19","0.0%","±3.7","8","±14","0.2%","±0.3","3,271","±431","1.0%","±0.1","103","±80","0.4%","±0.3","17","±18","0.1%","±0.1","724","±223","0.7%","±0.2","138","±72","0.3%","±0.2","0","±28","0.0%","±0.9","162","±98","0.5%","±0.3","32","±39","0.1%","±0.2"
"        $1,500 or more","8,413","±739","1.3%","±0.1","0","±31","0.0%","±0.3","79","±54","0.5%","±0.3","31","±27","0.2%","±0.2","117","±83","1.2%","±0.9","1","±3","0.0%","±0.1","9","±13","0.8%","±1.3","4","±8","0.1%","±0.1","6,281","±674","2.0%","±0.2","49","±43","0.2%","±0.1","37","±36","0.2%","±0.2","1,209","±248","1.2%","±0.2","254","±137","0.6%","±0.3","70","±59","1.7%","±1.4","248","±120","0.8%","±0.4","24","±24","0.1%","±0.1"
"        Median (dollars)","430","±3","430","±3","187","±7","187","±7","353","±10","353","±10","377","±20","377","±20","386","±20","386","±20","353","±27","353","±27","272","±20","272","±20","309","±20","309","±20","473","±4","473","±4","321","±8","321","±8","286","±9","286","±9","461","±5","461","±5","406","±12","406","±12","341","±20","341","±20","398","±11","398","±11","348","±10","348","±10"
"    MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $20,000","92,908","±2,327","14.7%","±0.4","4,248","±289","30.6%","±2.0","2,883","±381","17.4%","±2.1","2,472","±332","17.5%","±2.2","2,012","±351","20.9%","±3.2","578","±157","16.7%","±4.4","190","±101","17.9%","±8.9","1,211","±407","23.2%","±7.0","38,360","±1,656","12.0%","±0.5","5,193","±610","18.0%","±2.0","3,952","±380","24.6%","±2.2","15,241","±1,142","15.0%","±1.1","5,752","±648","12.9%","±1.4","630","±148","15.0%","±3.3","5,893","±714","18.0%","±2.0","4,293","±478","18.6%","±1.9"
"            Less than 20 percent","21,243","±1,141","3.4%","±0.2","2,422","±202","17.4%","±1.4","903","±196","5.5%","±1.2","770","±134","5.5%","±1.0","676","±194","7.0%","±1.9","187","±90","5.4%","±2.6","57","±51","5.4%","±4.7","635","±415","12.1%","±7.6","5,477","±535","1.7%","±0.2","1,814","±394","6.3%","±1.3","1,706","±204","10.6%","±1.2","2,658","±357","2.6%","±0.3","1,288","±287","2.9%","±0.6","107","±66","2.5%","±1.6","1,362","±280","4.2%","±0.8","1,181","±208","5.1%","±0.9"
"            20 to 29 percent","17,040","±979","2.7%","±0.2","664","±109","4.8%","±0.8","647","±196","3.9%","±1.1","439","±138","3.1%","±1.0","364","±110","3.8%","±1.1","148","±62","4.3%","±1.7","17","±22","1.6%","±2.1","141","±71","2.7%","±1.3","6,677","±627","2.1%","±0.2","1,026","±250","3.6%","±0.9","684","±150","4.3%","±1.0","2,902","±415","2.9%","±0.4","1,248","±280","2.8%","±0.6","222","±105","5.3%","±2.3","990","±251","3.0%","±0.8","871","±297","3.8%","±1.3"
"            30 percent or more","54,625","±2,077","8.6%","±0.3","1,162","±190","8.4%","±1.4","1,333","±333","8.0%","±2.0","1,263","±276","9.0%","±1.9","972","±267","10.1%","±2.7","243","±110","7.0%","±3.1","116","±81","10.9%","±7.3","435","±179","8.3%","±3.4","26,206","±1,488","8.2%","±0.5","2,353","±381","8.2%","±1.3","1,562","±270","9.7%","±1.6","9,681","±954","9.5%","±0.9","3,216","±466","7.2%","±1.0","301","±115","7.1%","±2.7","3,541","±653","10.8%","±1.9","2,241","±361","9.7%","±1.5"
"        $20,000 to $34,999","102,342","±2,409","16.2%","±0.4","2,289","±246","16.5%","±1.6","3,028","±387","18.3%","±2.2","2,050","±313","14.5%","±2.0","2,036","±304","21.2%","±3.0","664","±170","19.2%","±4.7","215","±81","20.2%","±7.8","1,249","±302","23.9%","±6.0","45,250","±1,347","14.2%","±0.4","5,765","±532","20.0%","±1.8","3,142","±416","19.5%","±2.5","16,964","±1,089","16.7%","±1.0","8,361","±748","18.7%","±1.5","1,009","±237","23.9%","±5.2","5,635","±711","17.2%","±2.1","4,685","±499","20.2%","±2.0"
"            Less than 20 percent","64,974","±1,913","10.3%","±0.3","2,126","±228","15.3%","±1.5","2,277","±351","13.7%","±2.0","1,505","±268","10.7%","±1.8","1,427","±251","14.8%","±2.5","415","±132","12.0%","±3.8","176","±75","16.5%","±7.2","942","±287","18.0%","±5.7","25,933","±1,182","8.1%","±0.4","4,747","±472","16.5%","±1.6","2,443","±346","15.2%","±2.1","9,579","±719","9.4%","±0.7","5,543","±632","12.4%","±1.3","855","±227","20.3%","±5.2","3,661","±448","11.2%","±1.3","3,345","±442","14.5%","±1.9"
"            20 to 29 percent","24,125","±1,446","3.8%","±0.2","132","±110","0.9%","±0.8","662","±163","4.0%","±1.0","399","±136","2.8%","±0.9","342","±129","3.6%","±1.3","234","±121","6.8%","±3.4","24","±23","2.3%","±2.1","256","±120","4.9%","±2.2","11,715","±838","3.7%","±0.3","808","±261","2.8%","±0.9","516","±231","3.2%","±1.4","4,594","±573","4.5%","±0.5","1,964","±412","4.4%","±0.9","81","±64","1.9%","±1.5","1,350","±486","4.1%","±1.5","1,048","±309","4.5%","±1.3"
"            30 percent or more","13,243","±956","2.1%","±0.1","31","±19","0.2%","±0.1","89","±60","0.5%","±0.4","146","±82","1.0%","±0.6","267","±115","2.8%","±1.2","15","±17","0.4%","±0.5","15","±16","1.4%","±1.5","51","±38","1.0%","±0.7","7,602","±640","2.4%","±0.2","210","±130","0.7%","±0.4","183","±114","1.1%","±0.7","2,791","±509","2.7%","±0.5","854","±199","1.9%","±0.4","73","±59","1.7%","±1.4","624","±227","1.9%","±0.7","292","±143","1.3%","±0.6"
"        $35,000 to $49,999","88,332","±2,325","13.9%","±0.3","1,885","±263","13.6%","±1.9","2,321","±308","14.0%","±1.8","1,394","±231","9.9%","±1.7","1,762","±304","18.3%","±2.9","551","±108","15.9%","±3.0","209","±99","19.6%","±8.7","773","±216","14.8%","±4.0","41,681","±1,558","13.1%","±0.4","5,318","±849","18.5%","±2.7","2,349","±337","14.6%","±2.1","14,138","±852","13.9%","±0.8","6,710","±585","15.0%","±1.3","580","±185","13.8%","±4.0","5,337","±677","16.3%","±2.0","3,324","±334","14.4%","±1.5"
"            Less than 20 percent","76,618","±2,058","12.1%","±0.3","1,765","±239","12.7%","±1.7","2,152","±314","13.0%","±1.8","1,250","±213","8.9%","±1.5","1,600","±291","16.6%","±2.8","500","±100","14.4%","±2.8","209","±99","19.6%","±8.7","698","±210","13.3%","±3.9","34,196","±1,398","10.7%","±0.4","5,140","±855","17.8%","±2.7","2,287","±338","14.2%","±2.1","12,477","±863","12.3%","±0.8","5,789","±576","13.0%","±1.3","518","±169","12.3%","±3.7","4,951","±637","15.1%","±1.9","3,086","±332","13.3%","±1.4"
"            20 to 29 percent","9,317","±769","1.5%","±0.1","120","±95","0.9%","±0.7","29","±25","0.2%","±0.1","136","±72","1.0%","±0.5","139","±70","1.4%","±0.7","51","±38","1.5%","±1.1","0","±19","0.0%","±3.7","71","±60","1.4%","±1.1","5,829","±583","1.8%","±0.2","170","±81","0.6%","±0.3","39","±35","0.2%","±0.2","1,381","±331","1.4%","±0.3","768","±242","1.7%","±0.5","42","±36","1.0%","±0.8","341","±141","1.0%","±0.4","201","±109","0.9%","±0.5"
"            30 percent or more","2,397","±392","0.4%","±0.1","0","±31","0.0%","±0.3","140","±88","0.8%","±0.5","8","±13","0.1%","±0.1","23","±27","0.2%","±0.3","0","±28","0.0%","±1.1","0","±19","0.0%","±3.7","4","±8","0.1%","±0.1","1,656","±346","0.5%","±0.1","8","±13","0.0%","±0.1","23","±19","0.1%","±0.1","280","±89","0.3%","±0.1","153","±91","0.3%","±0.2","20","±24","0.5%","±0.6","45","±40","0.1%","±0.1","37","±40","0.2%","±0.2"
"        $50,000 to $74,999","116,545","±2,537","18.4%","±0.4","1,570","±191","11.3%","±1.4","3,628","±462","21.9%","±2.7","2,875","±399","20.4%","±2.6","1,508","±293","15.7%","±3.0","652","±158","18.8%","±4.4","213","±74","20.0%","±6.6","914","±292","17.5%","±5.8","57,575","±1,669","18.1%","±0.5","5,303","±620","18.4%","±2.1","2,616","±346","16.3%","±2.1","18,776","±1,085","18.5%","±0.9","9,227","±817","20.7%","±1.7","726","±213","17.2%","±4.9","6,788","±723","20.7%","±2.2","4,174","±489","18.0%","±1.9"
"            Less than 20 percent","112,543","±2,553","17.8%","±0.4","1,566","±192","11.3%","±1.4","3,628","±462","21.9%","±2.7","2,807","±394","19.9%","±2.5","1,508","±293","15.7%","±3.0","651","±158","18.8%","±4.4","213","±74","20.0%","±6.6","914","±292","17.5%","±5.8","54,884","±1,647","17.2%","±0.5","5,173","±615","18.0%","±2.0","2,616","±346","16.3%","±2.1","18,274","±1,073","18.0%","±1.0","8,923","±803","20.0%","±1.7","685","±211","16.3%","±4.9","6,527","±695","19.9%","±2.1","4,174","±489","18.0%","±1.9"
"            20 to 29 percent","3,301","±399","0.5%","±0.1","4","±5","0.0%","±0.1","0","±31","0.0%","±0.2","68","±48","0.5%","±0.3","0","±31","0.0%","±0.4","1","±3","0.0%","±0.1","0","±19","0.0%","±3.7","0","±25","0.0%","±0.8","2,169","±325","0.7%","±0.1","130","±95","0.5%","±0.3","0","±31","0.0%","±0.2","449","±146","0.4%","±0.1","273","±117","0.6%","±0.3","23","±25","0.5%","±0.6","184","±121","0.6%","±0.4","0","±31","0.0%","±0.2"
"            30 percent or more","701","±222","0.1%","±0.1","0","±31","0.0%","±0.3","0","±31","0.0%","±0.2","0","±31","0.0%","±0.3","0","±31","0.0%","±0.4","0","±28","0.0%","±1.1","0","±19","0.0%","±3.7","0","±25","0.0%","±0.8","522","±188","0.2%","±0.1","0","±31","0.0%","±0.1","0","±31","0.0%","±0.2","53","±39","0.1%","±0.1","31","±35","0.1%","±0.1","18","±30","0.4%","±0.7","77","±85","0.2%","±0.3","0","±31","0.0%","±0.2"
"        $75,000 or more","220,760","±3,786","34.8%","±0.4","2,371","±294","17.1%","±1.9","4,366","±410","26.4%","±2.2","4,969","±480","35.2%","±2.6","2,124","±298","22.1%","±2.9","930","±219","26.8%","±5.3","221","±78","20.8%","±7.4","811","±185","15.5%","±3.2","130,658","±2,902","41.0%","±0.7","6,606","±686","22.9%","±2.2","3,452","±365","21.5%","±2.1","35,042","±1,427","34.5%","±1.1","13,563","±864","30.4%","±1.6","1,142","±247","27.1%","±4.9","8,676","±824","26.5%","±2.3","5,829","±577","25.2%","±2.2"
"            Less than 20 percent","219,452","±3,719","34.6%","±0.4","2,371","±294","17.1%","±1.9","4,329","±406","26.1%","±2.2","4,969","±480","35.2%","±2.6","2,124","±298","22.1%","±2.9","930","±219","26.8%","±5.3","221","±78","20.8%","±7.4","811","±185","15.5%","±3.2","129,691","±2,828","40.7%","±0.6","6,606","±686","22.9%","±2.2","3,452","±365","21.5%","±2.1","34,821","±1,399","34.3%","±1.1","13,532","±862","30.3%","±1.6","1,126","±246","26.7%","±4.9","8,640","±825","26.4%","±2.3","5,829","±577","25.2%","±2.2"
"            20 to 29 percent","1,099","±401","0.2%","±0.1","0","±31","0.0%","±0.3","23","±22","0.1%","±0.1","0","±31","0.0%","±0.3","0","±31","0.0%","±0.4","0","±28","0.0%","±1.1","0","±19","0.0%","±3.7","0","±25","0.0%","±0.8","797","±324","0.3%","±0.1","0","±31","0.0%","±0.1","0","±31","0.0%","±0.2","199","±214","0.2%","±0.2","28","±38","0.1%","±0.1","16","±25","0.4%","±0.6","36","±35","0.1%","±0.1","0","±31","0.0%","±0.2"
"            30 percent or more","209","±176","0.0%","±0.1","0","±31","0.0%","±0.3","14","±22","0.1%","±0.1","0","±31","0.0%","±0.3","0","±31","0.0%","±0.4","0","±28","0.0%","±1.1","0","±19","0.0%","±3.7","0","±25","0.0%","±0.8","170","±171","0.1%","±0.1","0","±31","0.0%","±0.1","0","±31","0.0%","±0.2","22","±27","0.0%","±0.1","3","±5","0.0%","±0.1","0","±28","0.0%","±0.9","0","±31","0.0%","±0.1","0","±31","0.0%","±0.2"
"        Zero or negative income","12,639","±822","2.0%","±0.1","1,539","±222","11.1%","±1.6","342","±157","2.1%","±0.9","350","±101","2.5%","±0.7","183","±77","1.9%","±0.8","91","±66","2.6%","±1.9","16","±17","1.5%","±1.6","272","±207","5.2%","±3.8","4,859","±552","1.5%","±0.2","622","±294","2.2%","±1.0","562","±127","3.5%","±0.8","1,427","±292","1.4%","±0.3","991","±219","2.2%","±0.5","126","±87","3.0%","±2.0","428","±163","1.3%","±0.5","831","±186","3.6%","±0.8"
"    REAL ESTATE TAXES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $800","156,719","±2,961","24.7%","±0.5","1,986","±309","14.3%","±2.2","4,740","±437","28.6%","±2.4","2,314","±345","16.4%","±2.1","2,923","±400","30.4%","±3.9","1,306","±214","37.7%","±5.2","846","±134","79.5%","±6.7","2,174","±386","41.6%","±6.4","72,467","±1,911","22.8%","±0.5","12,218","±841","42.4%","±2.3","4,142","±427","25.8%","±2.4","17,796","±1,069","17.5%","±1.0","15,543","±980","34.8%","±2.1","1,228","±279","29.1%","±6.1","7,763","±590","23.7%","±1.8","9,273","±605","40.1%","±2.4"
"        $800 to $1,499","142,927","±2,952","22.6%","±0.4","475","±143","3.4%","±1.0","5,552","±484","33.5%","±2.4","1,868","±322","13.2%","±2.0","1,850","±399","19.2%","±3.9","578","±128","16.7%","±3.6","51","±29","4.8%","±2.9","835","±257","16.0%","±4.9","76,723","±2,131","24.1%","±0.6","8,259","±827","28.7%","±2.4","2,298","±291","14.3%","±1.7","18,537","±976","18.2%","±0.9","9,170","±924","20.6%","±1.7","1,554","±327","36.9%","±6.6","8,310","±737","25.4%","±2.1","6,867","±647","29.7%","±2.5"
"        $1,500 or more","264,959","±4,081","41.8%","±0.5","226","±96","1.6%","±0.7","5,330","±495","32.2%","±2.7","4,915","±476","34.8%","±2.7","2,790","±365","29.0%","±3.6","678","±159","19.6%","±4.0","66","±37","6.2%","±3.6","715","±221","13.7%","±4.2","151,130","±2,705","47.5%","±0.7","6,323","±566","21.9%","±1.9","2,133","±329","13.3%","±1.9","55,308","±1,808","54.4%","±1.1","15,328","±993","34.4%","±2.0","1,236","±228","29.3%","±5.0","14,606","±909","44.6%","±2.0","4,175","±502","18.0%","±2.0"
"        No real estate taxes paid","68,921","±1,979","10.9%","±0.3","11,215","±414","80.7%","±2.1","946","±179","5.7%","±1.1","5,013","±316","35.5%","±2.3","2,062","±310","21.4%","±3.0","904","±130","26.1%","±3.4","101","±59","9.5%","±5.5","1,506","±292","28.8%","±4.8","18,063","±1,192","5.7%","±0.4","2,007","±401","7.0%","±1.4","7,500","±367","46.7%","±2.0","9,947","±811","9.8%","±0.7","4,563","±501","10.2%","±1.1","195","±118","4.6%","±2.7","2,078","±378","6.3%","±1.1","2,821","±384","12.2%","±1.5"
"        Median (dollars)","1,414","±15","1,414","±15","390","±73","390","±73","1,130","±64","1,130","±64","1,610","±105","1,610","±105","1,097","±139","1,097","±139","783","±126","783","±126","364","±92","364","±92","644","±158","644","±158","1,512","±24","1,512","±24","885","±40","885","±40","836","±86","836","±86","1,853","±46","1,853","±46","1,154","±61","1,154","±61","1,106","±100","1,106","±100","1,441","±50","1,441","±50","867","±36","867","±36"
