Data Year,County,Revenues Thousand Dollars,Sales Megawatthours,Customers Count,Population,Median Income,less than 20 percent income in housing cost,20 to 29 percent income in housing cost,greater than 30 percent income in housing cost
2024,apache,2628744.5,16032123.0,1323210.0,"21,100","41,438",0.0,0.0,0.0
2024,cochise,2618098.4,15988791.0,1302128.0,"50,982","59,742",24250.0,5506.0,8599.0
2024,coconino,2646720.1,16250708.0,1325544.0,"55,118","72,966",23432.0,5721.0,7352.0
2024,gila,4687025.5,31307357.0,2361035.0,"23,645","61,986",,,
2024,graham,79915.9,536086.0,57440.0,"12,746","67,325",,,
2024,greenlee,2101929.6,15622878.0,1095715.0,"3,591","71,164",,,
2024,la paz,2562822.5,15579131.0,1256120.0,"8,959","49,478",,,
2024,maricopa,4674325.5,31171540.0,2336290.0,"1,730,696","89,300",671405.0,214684.0,266598.0
2024,mohave,229964.8,1603974.0,140391.0,"101,973","57,684",48147.0,13399.0,20663.0
2024,navajo,2628744.5,16032123.0,1323210.0,"40,063","54,606",21193.0,4551.0,5070.0
2024,pima,3347020.5,20677596.0,1779578.0,"437,827","70,315",174810.0,54662.0,67888.0
2024,pinal,4726976.5,31586057.0,2361187.0,"161,917","80,266",76841.0,25427.0,37465.0
2024,santa cruz,224289.0,1464819.0,141199.0,"16,966","55,217",,,
2024,yavapai,2617174.8,16064636.0,1297129.0,"111,157","69,613",49662.0,18209.0,20823.0
2024,yuma,2562822.5,15579131.0,1256120.0,"79,341","62,876",35364.0,9939.0,14814.0
