Data Year,County,Revenues Thousand Dollars,Sales Megawatthours,Customers Count,Population,Median Income,less than 20 percent income in housing cost,20 to 29 percent income in housing cost,greater than 30 percent income in housing cost
2018,apache,1916002.3,13574888.0,1162766.0,"20,395","32,963",9422.0,802.0,975.0
2018,cochise,1921531.9,13553039.0,1145072.0,"49,250","48,649",21651.0,5104.0,7130.0
2018,coconino,1891148.7,13404402.0,1131169.0,"47,276","57,616",17309.0,5272.0,4759.0
2018,gila,3458725.3,26771514.0,2104080.0,"21,708","42,092",6561.0,846.0,1219.0
2018,graham,77022.0,533788.0,60942.0,"10,782","51,352",2561.0,418.0,272.0
2018,greenlee,1576705.3,13471583.0,992653.0,"3,225","60,962",880.0,38.0,87.0
2018,la paz,1867369.0,13190481.0,1100816.0,"8,912","33,333",3905.0,352.0,460.0
2018,maricopa,3428555.0,26538741.0,2068072.0,"1,520,767","61,606",550017.0,198407.0,209945.0
2018,mohave,95572.8,954679.0,89967.0,"85,485","43,266",37860.0,11248.0,13992.0
2018,navajo,1916002.3,13574888.0,1162766.0,"34,407","40,054",14976.0,3019.0,4453.0
2018,pima,2478690.1,17910409.0,1586348.0,"400,907","51,037",140989.0,51851.0,49715.0
2018,pinal,3429039.0,26543567.0,2068389.0,"137,286","55,550",60125.0,25180.0,23547.0
2018,santa cruz,144458.1,1263834.0,130058.0,"15,430","40,467",2718.0,345.0,446.0
2018,yavapai,1867369.0,13190481.0,1100816.0,"96,007","50,180",38353.0,13284.0,16190.0
2018,yuma,1870713.0,13219587.0,1103756.0,"72,463","44,058",26546.0,9705.0,11055.0
