Data Year,County,Revenues Thousand Dollars,Sales Megawatthours,Customers Count,Population,Median Income,less than 30 percent income in housing cost,30 to 50 percent income in housing cost,greater than 50 percent income in housing cost
2015,apache,1752007.0,13518731.0,1107634.0,"19,272","31,757",11595.0,1254.0,960.0
2015,cochise,1747252.0,13501348.0,1088849.0,"48,825","45,075",25278.0,4357.0,3089.0
2015,coconino,1768618.3,13785749.0,1116400.0,"46,619","50,234",21016.0,3903.0,2488.0
2015,gila,3208591.0,26074195.0,2007152.0,"20,909","39,751",11648.0,1766.0,1622.0
2015,graham,68631.9,527701.0,60199.0,"10,959","45,964",6120.0,955.0,536.0
2015,greenlee,1493365.7,12820721.0,951700.0,"3,219","51,628",1293.0,78.0,113.0
2015,la paz,1701968.0,13159754.0,1046989.0,"9,365","34,466",5942.0,504.0,455.0
2015,maricopa,3191234.4,25991244.0,1986046.0,"1,442,518","54,229",638369.0,134643.0,91370.0
2015,mohave,132799.6,1278920.0,122239.0,"80,832","38,488",40375.0,7924.0,5242.0
2015,navajo,1752007.0,13518731.0,1107634.0,"34,129","35,921",18349.0,2710.0,2030.0
2015,pima,2246551.4,17768072.0,1518020.0,"389,658","46,162",174820.0,36110.0,25206.0
2015,pinal,3223414.0,26186643.0,1998341.0,"127,599","49,477",67194.0,13988.0,9465.0
2015,santa cruz,132751.7,1185653.0,124261.0,"15,359","40,140",7072.0,1512.0,1472.0
2015,yavapai,1742333.0,13535812.0,1082770.0,"92,310","44,748",45370.0,11179.0,7370.0
2015,yuma,1705117.0,13188048.0,1049757.0,"70,639","40,743",35165.0,7805.0,4546.0
