Data Year,County,Revenues Thousand Dollars,Sales Megawatthours,Customers Count,Population,Median Income,less than 30 percent income in housing cost,30 to 50 percent income in housing cost,greater than 50 percent income in housing cost
2010,apache,1544327.9,13424364.0,1058161.0,"18,859","30,184",11371.0,1324.0,919.0
2010,cochise,1553850.9,13405386.0,1038290.0,"48,935","44,876",25399.0,4619.0,3457.0
2010,coconino,1565735.6,13627931.0,1064552.0,"45,478","49,510",19667.0,4960.0,2980.0
2010,gila,2843772.9,25684799.0,1894388.0,"19,704","37,580",10618.0,2774.0,1817.0
2010,graham,84082.70000000001,630986.0,67819.0,"10,822","41,683",5806.0,1261.0,656.0
2010,greenlee,1325650.7,12544693.0,888964.0,"3,327","48,696",1308.0,180.0,72.0
2010,la paz,1507176.8,13074577.0,1000487.0,"10,158","32,147",6125.0,831.0,600.0
2010,maricopa,2836791.0,25612369.0,1875727.0,"1,382,002","55,054",601847.0,186617.0,120881.0
2010,mohave,128400.2,1267695.0,121880.0,"80,361","39,785",39227.0,10014.0,7474.0
2010,navajo,1544327.9,13424364.0,1058161.0,"35,366","39,774",19146.0,3728.0,2204.0
2010,pima,2009741.5,17841220.0,1458069.0,"381,880","45,521",171558.0,45813.0,27529.0
2010,pinal,2863544.7,25778110.0,1887099.0,"118,826","51,310",60578.0,19535.0,11399.0
2010,santa cruz,130566.29999999999,1187679.0,121622.0,"12,078","36,519",5493.0,1504.0,1400.0
2010,yavapai,1545689.0,13410665.0,1032102.0,"89,109","43,290",42328.0,12103.0,9467.0
2010,yuma,1506985.0,13064920.0,999187.0,"69,563","40,340",34433.0,8651.0,4790.0
