Data Year,County,Revenues Thousand Dollars,Sales Megawatthours,Customers Count,Population,Median Income,less than 20 percent income in housing cost,20 to 29 percent income in housing cost,greater than 30 percent income in housing cost,avg_energy_cost_per_customer,avg_kwh_per_customer,price_per_kwh,energy_burden,kwh_per_capita
2020,yavapai,1998100.0,15184006.0,1188043.0,101245.0,53329.0,41597.0,12633.0,18644.0,1681.8414821685747,12780.687231017733,0.1315924137543149,0.03153709017923784,149972.89742703343
2020,yuma,1953176.3,14747876.0,1150194.0,74624.0,48790.0,29923.0,9601.0,10726.0,1698.1277071520108,12822.076971363093,0.1324378032470574,0.03480483105456058,197629.12735849057
2024,apache,2628744.5,16032123.0,1323210.0,21100.0,41438.0,0.0,0.0,0.0,1986.6419540360184,12116.083614845717,0.163967336078946,0.04794251542149762,759816.2559241706
2024,cochise,2618098.4,15988791.0,1302128.0,50982.0,59742.0,24250.0,5506.0,8599.0,2010.630598527948,12278.97027020385,0.16374586421199702,0.033655227453515915,313616.39402141934
2024,coconino,2646720.1,16250708.0,1325544.0,55118.0,72966.0,23432.0,5721.0,7352.0,1996.7048245852268,12259.65188631988,0.16286798704401065,0.027364866164860713,294834.8633840125
2024,gila,4687025.5,31307357.0,2361035.0,23645.0,61986.0,,,,1985.1571450656174,13260.013934566832,0.14971003460943702,0.03202589528386438,1324058.236413618
2024,graham,79915.9,536086.0,57440.0,12746.0,67325.0,,,,1391.29352367688,9332.973537604457,0.14907290994355382,0.020665332694792128,42059.15581358858
2024,greenlee,2101929.6,15622878.0,1095715.0,3591.0,71164.0,,,,1918.3178107445824,14258.158371474334,0.13454176624819064,0.02695629546884074,4350564.745196324
2024,la paz,2562822.5,15579131.0,1256120.0,8959.0,49478.0,,,,2040.2688437410438,12402.581759704486,0.1645035592806813,0.04123587945634512,1738936.3768277708
2024,maricopa,4674325.5,31171540.0,2336290.0,1730696.0,89300.0,671405.0,214684.0,266598.0,2000.7471247148255,13342.32479700722,0.14995491079362777,0.022404783031521002,18010.98517590611
2024,mohave,229964.8,1603974.0,140391.0,101973.0,57684.0,48147.0,13399.0,20663.0,1638.0309279084843,11425.048614227408,0.14337190004326753,0.02839662519777554,15729.39895854785
2024,navajo,2628744.5,16032123.0,1323210.0,40063.0,54606.0,21193.0,4551.0,5070.0,1986.6419540360184,12116.083614845717,0.163967336078946,0.03638138581906784,400172.80283553404
2024,pima,3347020.5,20677596.0,1779578.0,437827.0,70315.0,174810.0,54662.0,67888.0,1880.7944917278141,11619.381673632737,0.16186700330154433,0.026748126171198382,47227.77718139813
2024,pinal,4726976.5,31586057.0,2361187.0,161917.0,80266.0,76841.0,25427.0,37465.0,2001.9492314670545,13377.194182417572,0.14965389633786833,0.024941435121558997,195075.60663796883
2024,santa cruz,224289.0,1464819.0,141199.0,16966.0,55217.0,,,,1588.4602582171262,10374.145709247232,0.1531172110683982,0.028767594367986784,86338.50053047271
2024,yavapai,2617174.8,16064636.0,1297129.0,111157.0,69613.0,49662.0,18209.0,20823.0,2017.6673253007218,12384.763581725487,0.1629152879654416,0.028984059375414387,144522.03639896723
2024,yuma,2562822.5,15579131.0,1256120.0,79341.0,62876.0,35364.0,9939.0,14814.0,2040.2688437410438,12402.581759704486,0.1645035592806813,0.03244908778772574,196356.62520008572
