data_year,county,revenues_thousand_dollars,sales_megawatthours,customers_count,population,median_income,avg_energy_cost_per_customer,avg_kwh_per_customer,price_per_kwh,energy_burden,kwh_per_capita
2010,apache,1544327.9,13424364.0,1058161.0,18859.0,30184.0,1459.4451127947448,12686.504227617535,0.1150391854690471,0.0483516138614744,711827.9866376796
2010,cochise,1553850.9,13405386.0,1038290.0,48935.0,44876.0,1496.5480742374482,12911.022931936164,0.1159124325103357,0.0333485175647884,273942.69949933584
2010,coconino,1565735.6,13627931.0,1064552.0,45478.0,49510.0,1470.7929720671232,12801.564413950657,0.1148916589025876,0.0297069879229877,299659.857513523
2010,gila,2843772.9,25684799.0,1894388.0,19704.0,37580.0,1501.156521261748,13558.362384052263,0.1107181294274485,0.0399456232374068,1303532.2269589931
2010,graham,84082.70000000001,630986.0,67819.0,10822.0,41683.0,1239.8103776227904,9303.97086362229,0.1332560468853509,0.0297437894974639,58305.8584365182
2010,greenlee,1325650.7,12544693.0,888964.0,3327.0,48696.0,1491.2310284780935,14111.587195881948,0.1056742241519979,0.0306232755971351,3770571.986774872
2010,la paz,1507176.8,13074577.0,1000487.0,10158.0,32147.0,1506.4431621800184,13068.212780375958,0.1152753775514114,0.0468610807285288,1287121.1852726915
2010,maricopa,2836791.0,25612369.0,1875727.0,1382002.0,55054.0,1512.3688042023173,13654.635775888495,0.110758633846014,0.0274706434446601,18532.80168914372
2010,mohave,128400.2,1267695.0,121880.0,80361.0,39785.0,1053.4968821791929,10401.173285198556,0.1012863504234062,0.0264797507145706,15775.002799865606
2010,navajo,1544327.9,13424364.0,1058161.0,35366.0,39774.0,1459.4451127947448,12686.504227617535,0.1150391854690471,0.036693445788574,379583.8941356105
2010,pima,2009741.5,17841220.0,1458069.0,381880.0,45521.0,1378.3582944291388,12236.19732673831,0.1126459681568861,0.0302796136822376,46719.44066198806
2010,pinal,2863544.7,25778110.0,1887099.0,118826.0,51310.0,1517.4321537979724,13660.178930729124,0.111084354128367,0.0295738092730066,216939.97946577347
2010,santa cruz,130566.3,1187679.0,121622.0,12078.0,36519.0,1073.5417934255315,9765.330285639113,0.1099339973174569,0.029396801484858,98334.0784898162
2010,yavapai,1545689.0,13410665.0,1032102.0,89109.0,43290.0,1497.612639060868,12993.546180513167,0.1152581918942871,0.0345948865571926,150497.3122804655
2010,yuma,1506985.0,13064920.0,999187.0,69563.0,40340.0,1508.2111756858326,13075.550422493488,0.1153459033809621,0.0373874857631589,187814.21157799405
2015,apache,1752007.0,13518731.0,1107634.0,19272.0,31757.0,1581.756248002499,12205.052390952244,0.1295984808041524,0.0498081131089995,701470.0601909506
2015,cochise,1747252.0,13501348.0,1088849.0,48825.0,45075.0,1604.67796728472,12399.651374984043,0.1294131519311997,0.0356001767561779,276525.3046594982
2015,coconino,1768618.3,13785749.0,1116400.0,46619.0,50234.0,1584.215603726263,12348.395736295235,0.1282932323807723,0.0315367202238775,295710.9547609344
2015,gila,3208591.0,26074195.0,2007152.0,20909.0,39751.0,1598.5789815619346,12990.642960772278,0.1230561863942491,0.0402148117421432,1247032.1392701708
2015,graham,68631.9,527701.0,60199.0,10959.0,45964.0,1140.0837223209687,8765.942955863055,0.1300583095351344,0.0248038404473276,48152.29491741947
2015,greenlee,1493365.7,12820721.0,951700.0,3219.0,51628.0,1569.155931491016,13471.389093201638,0.1164806331874783,0.0303935060721123,3982827.2755514137
2015,la paz,1701968.0,13159754.0,1046989.0,9365.0,34466.0,1625.583458852003,12569.142560237022,0.129331292970978,0.0471648424201242,1405205.9797116923
2015,maricopa,3191234.4,25991244.0,1986046.0,1442518.0,54229.0,1606.8280392297056,13086.929507171537,0.1227811335232742,0.0296304198718343,18017.968579941466
2015,mohave,132799.6,1278920.0,122239.0,80832.0,38488.0,1086.3930496813618,10462.454699400356,0.1038373002220623,0.0282267992538287,15821.95170229612
2015,navajo,1752007.0,13518731.0,1107634.0,34129.0,35921.0,1581.756248002499,12205.052390952244,0.1295984808041524,0.0440343043902591,396106.8592692432
2015,pima,2246551.4,17768072.0,1518020.0,389658.0,46162.0,1479.9221354132358,11704.76805312183,0.1264375448275986,0.0320593157881642,45599.14591770219
2015,pinal,3223414.0,26186643.0,1998341.0,127599.0,49477.0,1613.0450208447908,13104.19142678852,0.1230938230608635,0.0326019164630998,205226.08327651472
2015,santa cruz,132751.7,1185653.0,124261.0,15359.0,40140.0,1068.329564384642,9541.63414104184,0.1119650521695639,0.0266150863075396,77195.9763005404
2015,yavapai,1742333.0,13535812.0,1082770.0,92310.0,44748.0,1609.14413956796,12501.09626236412,0.1287202422728684,0.0359601354153919,146634.29747589643
2015,yuma,1705117.0,13188048.0,1049757.0,70639.0,40743.0,1624.2968610830887,12562.953140583964,0.1292925988743747,0.0398668939715555,186696.4141621484
2018,apache,1916002.3,13574888.0,1162766.0,20395.0,32963.0,1647.796977207796,11674.651649601035,0.1411431387131886,0.0499892903318204,665598.8232409904
2018,cochise,1921531.9,13553039.0,1145072.0,49250.0,48649.0,1678.0882774183633,11835.971013176464,0.1417786741409067,0.0344937876917996,275188.6091370558
2018,coconino,1891148.7,13404402.0,1131169.0,47276.0,57616.0,1671.8533658542622,11850.043627433211,0.1410841528029374,0.0290171717206029,283535.02834419155
2018,gila,3458725.3,26771514.0,2104080.0,21708.0,42092.0,1643.8183434089958,12723.61982434128,0.129194236082427,0.0390529873469779,1233255.666113875
2018,graham,77022.0,533788.0,60942.0,10782.0,51352.0,1263.8574382199467,8758.951133864986,0.144293240012889,0.0246116497550231,49507.327026525694
2018,greenlee,1576705.3,13471583.0,992653.0,3225.0,60962.0,1588.3750917994505,13571.29127701221,0.1170393486793645,0.0260551670187895,4177235.03875969
2018,la paz,1867369.0,13190481.0,1100816.0,8912.0,33333.0,1696.3497986947864,11982.457558756414,0.1415694393555474,0.0508910028708723,1480080.9021543986
2018,maricopa,3428555.0,26538741.0,2068072.0,1520767.0,61606.0,1657.8508872031534,12832.600122239455,0.1291905671033904,0.0269105425965515,17450.892214257674
2018,mohave,95572.8,954679.0,89967.0,85485.0,43266.0,1062.309513488279,10611.43530405593,0.1001098798653788,0.0245529864902759,11167.795519681817
2018,navajo,1916002.3,13574888.0,1162766.0,34407.0,40054.0,1647.796977207796,11674.651649601035,0.1411431387131886,0.0411393862587455,394538.55320138345
2018,pima,2478690.1,17910409.0,1586348.0,400907.0,51037.0,1562.5134585853798,11290.340454931706,0.1383938300906473,0.0306153076902125,44674.72256658028
2018,pinal,3429039.0,26543567.0,2068389.0,137286.0,55550.0,1657.830804553689,12832.966622816117,0.1291853125844013,0.0298439388758539,193345.03882406076
2018,santa cruz,144458.1,1263834.0,130058.0,15430.0,40467.0,1110.7206015777576,9717.464515831398,0.1143014826314215,0.0274475647213225,81907.58263123785
2018,yavapai,1867369.0,13190481.0,1100816.0,96007.0,50180.0,1696.3497986947864,11982.457558756414,0.1415694393555474,0.0338052969050375,137390.82566896162
2018,yuma,1870713.0,13219587.0,1103756.0,72463.0,44058.0,1694.8610018880984,11976.91065779031,0.141510699237427,0.0384688592738685,182432.23438168445
2020,apache,2009542.4,15172221.0,1213167.0,21505.0,33967.0,1656.4433420955236,12506.292208739604,0.1324487957300384,0.0487662537785357,705520.6231109045
2020,cochise,2006280.3,15152486.0,1194783.0,50917.0,51505.0,1679.2005744976284,12682.20756405138,0.1324060157521346,0.0326026710901393,297591.88483217784
2020,coconino,2022124.7,15364923.0,1215039.0,49016.0,59000.0,1664.2467443431856,12645.621251663526,0.1316065625581071,0.02820757193802,313467.50040803006
2020,gila,3691685.7,29879860.0,2172788.0,22523.0,46907.0,1699.0547167970367,13751.852458684418,0.1235509704530074,0.0362217732278132,1326637.659281623
2020,graham,68065.0,519601.0,55327.0,11348.0,55693.0,1230.231171037649,9391.454443580891,0.1309947440439876,0.0220895116269126,45787.89213958407
2020,greenlee,1725266.6,15037599.0,1014161.0,3295.0,66368.0,1701.176243219765,14827.625002341838,0.1147301906374814,0.0256324771459101,4563762.974203339
2020,la paz,1953176.3,14747876.0,1150194.0,9928.0,34956.0,1698.1277071520108,12822.076971363093,0.1324378032470574,0.0485790052395013,1485483.078162772
2020,maricopa,3672848.9,29772247.0,2150072.0,1596784.0,67799.0,1708.2446076224423,13847.093027582332,0.1233648538519783,0.0251957198133076,18645.131088487866
2020,mohave,150966.4,1497538.0,130561.0,90413.0,47686.0,1156.2901632187254,11470.025505319352,0.1008097290352565,0.0242480007385548,16563.30394965326
2020,navajo,2009542.4,15172221.0,1213167.0,36406.0,43140.0,1656.4433420955236,12506.292208739604,0.1324487957300384,0.0383969249442634,416750.5630939955
2020,pima,2617543.5,20007757.0,1648292.0,410942.0,55023.0,1588.03385565179,12138.478497741906,0.1308264339675856,0.0288612735701759,48687.54471433925
2020,pinal,3709484.5,30023836.0,2165425.0,148435.0,60968.0,1713.0514795017143,13865.1008462542,0.1235513176930489,0.0280975508381727,202269.2491663017
2020,santa cruz,154394.3,1415441.0,133728.0,16049.0,41424.0,1154.539812156018,10584.477446757595,0.1090785839890182,0.0278712778137316,88194.96541840614
2020,yavapai,1998100.0,15184006.0,1188043.0,101245.0,53329.0,1681.8414821685749,12780.687231017731,0.1315924137543149,0.0315370901792378,149972.89742703343
2020,yuma,1953176.3,14747876.0,1150194.0,74624.0,48790.0,1698.1277071520108,12822.076971363093,0.1324378032470574,0.0348048310545605,197629.12735849057
2024,apache,2628744.5,16032123.0,1323210.0,21100.0,41438.0,1986.6419540360184,12116.083614845717,0.163967336078946,0.0479425154214976,759816.2559241706
2024,cochise,2618098.4,15988791.0,1302128.0,50982.0,59742.0,2010.630598527948,12278.97027020385,0.163745864211997,0.0336552274535159,313616.39402141934
2024,coconino,2646720.1,16250708.0,1325544.0,55118.0,72966.0,1996.7048245852268,12259.65188631988,0.1628679870440106,0.0273648661648607,294834.8633840125
2024,gila,4687025.5,31307357.0,2361035.0,23645.0,61986.0,1985.1571450656172,13260.013934566832,0.149710034609437,0.0320258952838643,1324058.236413618
2024,graham,79915.9,536086.0,57440.0,12746.0,67325.0,1391.29352367688,9332.973537604455,0.1490729099435538,0.0206653326947921,42059.15581358858
2024,greenlee,2101929.6,15622878.0,1095715.0,3591.0,71164.0,1918.3178107445824,14258.158371474334,0.1345417662481906,0.0269562954688407,4350564.745196324
2024,la paz,2562822.5,15579131.0,1256120.0,8959.0,49478.0,2040.268843741044,12402.581759704486,0.1645035592806813,0.0412358794563451,1738936.3768277708
2024,maricopa,4674325.5,31171540.0,2336290.0,1730696.0,89300.0,2000.7471247148253,13342.32479700722,0.1499549107936277,0.022404783031521,18010.98517590611
2024,mohave,229964.8,1603974.0,140391.0,101973.0,57684.0,1638.0309279084845,11425.048614227408,0.1433719000432675,0.0283966251977755,15729.39895854785
2024,navajo,2628744.5,16032123.0,1323210.0,40063.0,54606.0,1986.6419540360184,12116.083614845717,0.163967336078946,0.0363813858190678,400172.8028355341
2024,pima,3347020.5,20677596.0,1779578.0,437827.0,70315.0,1880.794491727814,11619.381673632735,0.1618670033015443,0.0267481261711983,47227.77718139813
2024,pinal,4726976.5,31586057.0,2361187.0,161917.0,80266.0,2001.9492314670545,13377.194182417572,0.1496538963378683,0.0249414351215589,195075.60663796883
2024,santa cruz,224289.0,1464819.0,141199.0,16966.0,55217.0,1588.4602582171262,10374.145709247232,0.1531172110683982,0.0287675943679867,86338.50053047271
2024,yavapai,2617174.8,16064636.0,1297129.0,111157.0,69613.0,2017.6673253007216,12384.763581725489,0.1629152879654416,0.0289840593754143,144522.03639896723
2024,yuma,2562822.5,15579131.0,1256120.0,79341.0,62876.0,2040.268843741044,12402.581759704486,0.1645035592806813,0.0324490877877257,196356.6252000857
