Data Year,County,Revenues Thousand Dollars,Sales Megawatthours,Customers Count,Population,Median Income,less than 30 percent income in housing cost,30 to 50 percent income in housing cost,greater than 50 percent income in housing cost,avg_energy_cost_per_customer,avg_kwh_per_customer,price_per_kwh,energy_burden,kwh_per_capita
2015,graham,68631.9,527701.0,60199.0,10959.0,45964.0,6120.0,955.0,536.0,1140.0837223209687,8765.942955863055,0.13005830953513448,0.02480384044732766,48152.29491741947
2015,greenlee,1493365.7,12820721.0,951700.0,3219.0,51628.0,1293.0,78.0,113.0,1569.155931491016,13471.389093201638,0.1164806331874783,0.03039350607211234,3982827.2755514137
2015,la paz,1701968.0,13159754.0,1046989.0,9365.0,34466.0,5942.0,504.0,455.0,1625.5834588520033,12569.142560237022,0.12933129297097803,0.047164842420124274,1405205.9797116925
2015,maricopa,3191234.4,25991244.0,1986046.0,1442518.0,54229.0,638369.0,134643.0,91370.0,1606.8280392297056,13086.929507171535,0.12278113352327422,0.029630419871834363,18017.968579941462
2015,mohave,132799.6,1278920.0,122239.0,80832.0,38488.0,40375.0,7924.0,5242.0,1086.3930496813618,10462.454699400356,0.10383730022206236,0.028226799253828774,15821.95170229612
2015,navajo,1752007.0,13518731.0,1107634.0,34129.0,35921.0,18349.0,2710.0,2030.0,1581.756248002499,12205.052390952245,0.1295984808041524,0.044034304390259155,396106.85926924314
2015,pima,2246551.4,17768072.0,1518020.0,389658.0,46162.0,174820.0,36110.0,25206.0,1479.9221354132358,11704.76805312183,0.12643754482759864,0.0320593157881642,45599.14591770219
2015,pinal,3223414.0,26186643.0,1998341.0,127599.0,49477.0,67194.0,13988.0,9465.0,1613.0450208447908,13104.19142678852,0.12309382306086351,0.03260191646309984,205226.08327651472
2015,santa cruz,132751.7,1185653.0,124261.0,15359.0,40140.0,7072.0,1512.0,1472.0,1068.329564384642,9541.634141041839,0.11196505216956396,0.026615086307539663,77195.9763005404
2015,yavapai,1742333.0,13535812.0,1082770.0,92310.0,44748.0,45370.0,11179.0,7370.0,1609.1441395679599,12501.09626236412,0.12872024227286843,0.03596013541539197,146634.29747589643
2015,yuma,1705117.0,13188048.0,1049757.0,70639.0,40743.0,35165.0,7805.0,4546.0,1624.2968610830887,12562.953140583964,0.12929259887437475,0.03986689397155557,186696.4141621484
