"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Median Family Income","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","mfaminc","TimeFrame","GeoVintage","Source","Location"
"County","Apache","AZ","04001","=""04001""","38158","2010-2014","2010","Census","Arizona (State)"
"County","Cochise","AZ","04003","=""04003""","54975","2010-2014","2010","Census","Arizona (State)"
"County","Coconino","AZ","04005","=""04005""","59216","2010-2014","2010","Census","Arizona (State)"
"County","Gila","AZ","04007","=""04007""","49427","2010-2014","2010","Census","Arizona (State)"
"County","Graham","AZ","04009","=""04009""","53113","2010-2014","2010","Census","Arizona (State)"
"County","Greenlee","AZ","04011","=""04011""","52394","2010-2014","2010","Census","Arizona (State)"
"County","La Paz","AZ","04012","=""04012""","43757","2010-2014","2010","Census","Arizona (State)"
"County","Maricopa","AZ","04013","=""04013""","64072","2010-2014","2010","Census","Arizona (State)"
"County","Mohave","AZ","04015","=""04015""","46179","2010-2014","2010","Census","Arizona (State)"
"County","Navajo","AZ","04017","=""04017""","42988","2010-2014","2010","Census","Arizona (State)"
"County","Pima","AZ","04019","=""04019""","58113","2010-2014","2010","Census","Arizona (State)"
"County","Pinal","AZ","04021","=""04021""","55513","2010-2014","2010","Census","Arizona (State)"
"County","Santa Cruz","AZ","04023","=""04023""","43174","2010-2014","2010","Census","Arizona (State)"
"County","Yavapai","AZ","04025","=""04025""","53626","2010-2014","2010","Census","Arizona (State)"
"County","Yuma","AZ","04027","=""04027""","44317","2010-2014","2010","Census","Arizona (State)"
