"Label (Grouping)","Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Apache County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Apache County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Apache County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Apache County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Cochise County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Cochise County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Cochise County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Cochise County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Coconino County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Coconino County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Coconino County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Coconino County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Gila County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Gila County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Gila County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Gila County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Graham County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Graham County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Graham County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Graham County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Greenlee County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Greenlee County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Greenlee County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Greenlee County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","La Paz County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","La Paz County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","La Paz County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","La Paz County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Maricopa County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Maricopa County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Maricopa County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Maricopa County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Mohave County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Mohave County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Mohave County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Mohave County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Navajo County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Navajo County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Navajo County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Navajo County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Pima County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Pima County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Pima County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Pima County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Pinal County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Pinal County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Pinal County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Pinal County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Santa Cruz County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Santa Cruz County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Santa Cruz County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Santa Cruz County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Yavapai County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Yavapai County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Yavapai County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Yavapai County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Yuma County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Yuma County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Yuma County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Yuma County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error"
"        Median (dollars)","406","±2","406","±2","178","±5","178","±5","338","±9","338","±9","353","±15","353","±15","358","±14","358","±14","323","±18","323","±18","269","±16","269","±16","272","±24","272","±24","449","±3","449","±3","305","±10","305","±10","279","±9","279","±9","431","±5","431","±5","397","±7","397","±7","327","±17","327","±17","387","±9","387","±9","336","±9","336","±9"
"    MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $20,000","93,578","±1,946","16.3%","±0.3","4,350","±255","34.9%","±1.7","2,858","±396","19.2%","±2.4","2,167","±250","16.7%","±1.7","2,208","±292","25.1%","±2.8","730","±155","22.1%","±4.1","196","±76","19.4%","±7.3","1,129","±273","23.0%","±5.2","38,994","±1,251","13.6%","±0.4","5,748","±557","21.1%","±2.0","4,208","±356","28.8%","±2.1","15,184","±852","16.1%","±0.8","5,870","±490","14.8%","±1.2","706","±178","19.7%","±4.5","5,303","±555","18.0%","±1.8","3,927","±411","19.1%","±1.7"
"            Less than 20 percent","24,237","±867","4.2%","±0.1","2,720","±208","21.8%","±1.5","1,011","±214","6.8%","±1.4","772","±103","5.9%","±0.8","748","±201","8.5%","±2.2","245","±92","7.4%","±2.6","109","±57","10.8%","±5.6","596","±231","12.1%","±4.5","6,601","±505","2.3%","±0.2","2,124","±332","7.8%","±1.2","1,882","±207","12.9%","±1.3","3,248","±360","3.5%","±0.4","1,437","±233","3.6%","±0.6","211","±90","5.9%","±2.5","1,271","±258","4.3%","±0.9","1,262","±237","6.1%","±1.1"
"            20 to 29 percent","19,153","±852","3.3%","±0.1","691","±99","5.5%","±0.8","691","±176","4.6%","±1.1","482","±115","3.7%","±0.9","378","±105","4.3%","±1.2","256","±90","7.7%","±2.6","13","±17","1.3%","±1.6","131","±66","2.7%","±1.4","7,540","±561","2.6%","±0.2","1,491","±294","5.5%","±1.0","876","±142","6.0%","±0.9","3,438","±407","3.7%","±0.4","1,069","±206","2.7%","±0.5","145","±88","4.0%","±2.4","1,151","±283","3.9%","±1.0","801","±189","3.9%","±0.9"
"            30 percent or more","50,188","±1,547","8.7%","±0.3","939","±108","7.5%","±0.8","1,156","±232","7.7%","±1.5","913","±195","7.0%","±1.4","1,082","±211","12.3%","±2.2","229","±76","6.9%","±2.2","74","±44","7.3%","±4.2","402","±199","8.2%","±4.0","24,853","±1,083","8.7%","±0.4","2,133","±284","7.8%","±1.1","1,450","±194","9.9%","±1.3","8,498","±603","9.0%","±0.6","3,364","±402","8.5%","±1.0","350","±125","9.8%","±3.2","2,881","±424","9.8%","±1.4","1,864","±292","9.1%","±1.3"
"        $20,000 to $34,999","101,309","±2,043","17.6%","±0.3","2,000","±181","16.0%","±1.4","3,234","±400","21.7%","±2.5","1,985","±228","15.3%","±1.7","2,018","±302","22.9%","±3.5","638","±134","19.3%","±4.0","165","±70","16.3%","±7.4","1,157","±258","23.6%","±5.2","46,633","±1,332","16.3%","±0.4","6,093","±545","22.4%","±1.6","2,330","±218","16.0%","±1.4","16,518","±754","17.6%","±0.8","7,698","±557","19.4%","±1.2","684","±165","19.1%","±4.1","5,461","±488","18.5%","±1.6","4,695","±409","22.9%","±1.8"
"            Less than 20 percent","66,666","±1,734","11.6%","±0.3","1,866","±167","14.9%","±1.4","2,441","±328","16.4%","±2.1","1,351","±176","10.4%","±1.3","1,490","±226","16.9%","±2.6","467","±110","14.1%","±3.3","127","±63","12.6%","±6.3","904","±248","18.4%","±5.0","27,526","±1,035","9.6%","±0.3","5,225","±510","19.2%","±1.5","1,911","±209","13.1%","±1.4","10,164","±656","10.8%","±0.7","5,275","±463","13.3%","±1.1","483","±140","13.5%","±3.6","3,885","±437","13.2%","±1.5","3,551","±362","17.3%","±1.7"
"            20 to 29 percent","23,228","±934","4.0%","±0.2","102","±58","0.8%","±0.5","647","±181","4.3%","±1.2","454","±131","3.5%","±1.0","409","±132","4.6%","±1.5","136","±61","4.1%","±1.9","25","±30","2.5%","±3.1","195","±66","4.0%","±1.3","12,152","±714","4.2%","±0.2","712","±165","2.6%","±0.6","317","±99","2.2%","±0.7","4,317","±414","4.6%","±0.4","1,743","±278","4.4%","±0.7","123","±66","3.4%","±1.8","1,091","±240","3.7%","±0.8","805","±206","3.9%","±1.0"
"            30 percent or more","11,415","±668","2.0%","±0.1","32","±24","0.3%","±0.2","146","±101","1.0%","±0.7","180","±72","1.4%","±0.6","119","±70","1.4%","±0.8","35","±37","1.1%","±1.1","13","±15","1.3%","±1.5","58","±43","1.2%","±0.9","6,955","±506","2.4%","±0.2","156","±74","0.6%","±0.3","102","±68","0.7%","±0.5","2,037","±290","2.2%","±0.3","680","±185","1.7%","±0.5","78","±59","2.2%","±1.6","485","±153","1.6%","±0.5","339","±132","1.6%","±0.6"
"        $35,000 to $49,999","85,516","±1,820","14.9%","±0.3","1,511","±160","12.1%","±1.2","2,160","±266","14.5%","±1.9","1,463","±189","11.3%","±1.5","1,637","±261","18.6%","±2.8","555","±117","16.8%","±3.4","181","±84","17.9%","±7.8","762","±218","15.5%","±4.6","40,351","±1,305","14.1%","±0.4","4,699","±462","17.2%","±1.6","2,017","±224","13.8%","±1.5","14,808","±779","15.7%","±0.8","6,108","±488","15.4%","±1.2","731","±153","20.4%","±4.1","5,069","±527","17.2%","±1.7","3,464","±342","16.9%","±1.5"
"            Less than 20 percent","75,935","±1,732","13.2%","±0.3","1,498","±160","12.0%","±1.2","2,029","±264","13.6%","±1.8","1,330","±186","10.2%","±1.5","1,560","±261","17.7%","±2.8","531","±110","16.0%","±3.2","181","±84","17.9%","±7.8","736","±218","15.0%","±4.6","34,360","±1,134","12.0%","±0.4","4,453","±461","16.3%","±1.6","1,954","±221","13.4%","±1.4","13,265","±749","14.1%","±0.7","5,406","±465","13.6%","±1.2","660","±153","18.4%","±4.1","4,671","±504","15.8%","±1.6","3,301","±346","16.1%","±1.6"
"            20 to 29 percent","7,786","±548","1.4%","±0.1","9","±8","0.1%","±0.1","89","±56","0.6%","±0.4","117","±50","0.9%","±0.4","59","±43","0.7%","±0.5","24","±24","0.7%","±0.7","0","±17","0.0%","±3.4","26","±24","0.5%","±0.5","4,840","±490","1.7%","±0.2","238","±88","0.9%","±0.3","45","±33","0.3%","±0.2","1,215","±204","1.3%","±0.2","614","±146","1.5%","±0.4","53","±41","1.5%","±1.2","328","±125","1.1%","±0.4","129","±57","0.6%","±0.3"
"            30 percent or more","1,795","±261","0.3%","±0.1","4","±6","0.0%","±0.1","42","±42","0.3%","±0.3","16","±19","0.1%","±0.1","18","±31","0.2%","±0.4","0","±26","0.0%","±1.1","0","±17","0.0%","±3.4","0","±23","0.0%","±0.7","1,151","±219","0.4%","±0.1","8","±12","0.0%","±0.1","18","±15","0.1%","±0.1","328","±117","0.3%","±0.1","88","±52","0.2%","±0.1","18","±21","0.5%","±0.6","70","±44","0.2%","±0.1","34","±33","0.2%","±0.2"
"        $50,000 to $74,999","103,633","±1,990","18.0%","±0.3","1,586","±205","12.7%","±1.5","2,787","±309","18.7%","±2.0","2,407","±339","18.5%","±2.4","1,271","±229","14.4%","±2.4","599","±122","18.1%","±3.2","222","±88","22.0%","±8.0","810","±230","16.5%","±4.3","51,450","±1,286","17.9%","±0.4","4,780","±496","17.5%","±1.7","2,403","±308","16.5%","±2.1","17,075","±783","18.1%","±0.7","7,950","±588","20.0%","±1.3","579","±137","16.1%","±3.7","6,063","±526","20.5%","±1.7","3,651","±383","17.8%","±1.7"
"            Less than 20 percent","100,808","±1,926","17.5%","±0.3","1,586","±205","12.7%","±1.5","2,787","±309","18.7%","±2.0","2,333","±337","18.0%","±2.4","1,271","±229","14.4%","±2.4","597","±122","18.0%","±3.1","222","±88","22.0%","±8.0","810","±230","16.5%","±4.3","49,794","±1,276","17.4%","±0.4","4,669","±482","17.1%","±1.7","2,385","±308","16.3%","±2.1","16,571","±751","17.6%","±0.7","7,724","±575","19.5%","±1.3","571","±137","15.9%","±3.7","5,844","±510","19.8%","±1.6","3,644","±384","17.7%","±1.7"
"            20 to 29 percent","2,301","±317","0.4%","±0.1","0","±29","0.0%","±0.3","0","±29","0.0%","±0.2","51","±40","0.4%","±0.3","0","±29","0.0%","±0.4","2","±3","0.1%","±0.1","0","±17","0.0%","±3.4","0","±23","0.0%","±0.7","1,375","±236","0.5%","±0.1","94","±73","0.3%","±0.3","18","±16","0.1%","±0.1","409","±143","0.4%","±0.2","208","±93","0.5%","±0.2","8","±14","0.2%","±0.4","129","±95","0.4%","±0.3","7","±12","0.0%","±0.1"
"            30 percent or more","524","±129","0.1%","±0.1","0","±29","0.0%","±0.3","0","±29","0.0%","±0.2","23","±26","0.2%","±0.2","0","±29","0.0%","±0.4","0","±26","0.0%","±1.1","0","±17","0.0%","±3.4","0","±23","0.0%","±0.7","281","±82","0.1%","±0.1","17","±28","0.1%","±0.1","0","±29","0.0%","±0.2","95","±45","0.1%","±0.1","18","±29","0.0%","±0.1","0","±26","0.0%","±1.0","90","±76","0.3%","±0.3","0","±29","0.0%","±0.2"
"        $75,000 or more","177,875","±2,732","31.0%","±0.4","1,752","±183","14.0%","±1.5","3,598","±378","24.1%","±2.4","4,679","±460","36.0%","±2.9","1,492","±248","17.0%","±2.7","729","±152","22.0%","±4.3","241","±69","23.8%","±6.5","859","±215","17.5%","±4.3","103,938","±2,043","36.2%","±0.6","5,414","±530","19.9%","±1.9","3,062","±281","21.0%","±1.8","29,149","±918","31.0%","±0.9","10,883","±687","27.4%","±1.5","809","±181","22.5%","±4.6","7,127","±690","24.2%","±2.0","4,143","±355","20.2%","±1.6"
"            Less than 20 percent","177,188","±2,728","30.8%","±0.4","1,752","±183","14.0%","±1.5","3,576","±376","24.0%","±2.3","4,679","±460","36.0%","±2.9","1,492","±248","17.0%","±2.7","721","±152","21.8%","±4.3","241","±69","23.8%","±6.5","859","±215","17.5%","±4.3","103,464","±2,051","36.1%","±0.6","5,414","±530","19.9%","±1.9","3,062","±281","21.0%","±1.8","29,064","±915","30.9%","±0.9","10,837","±687","27.3%","±1.5","793","±177","22.1%","±4.4","7,096","±685","24.0%","±2.0","4,138","±357","20.1%","±1.6"
"            20 to 29 percent","556","±158","0.1%","±0.1","0","±29","0.0%","±0.3","9","±16","0.1%","±0.1","0","±29","0.0%","±0.3","0","±29","0.0%","±0.4","0","±26","0.0%","±1.1","0","±17","0.0%","±3.4","0","±23","0.0%","±0.7","383","±145","0.1%","±0.1","0","±29","0.0%","±0.1","0","±29","0.0%","±0.2","70","±43","0.1%","±0.1","42","±53","0.1%","±0.1","16","±25","0.4%","±0.7","31","±34","0.1%","±0.1","5","±7","0.0%","±0.1"
"            30 percent or more","131","±69","0.0%","±0.1","0","±29","0.0%","±0.3","13","±21","0.1%","±0.1","0","±29","0.0%","±0.3","0","±29","0.0%","±0.4","8","±13","0.2%","±0.4","0","±17","0.0%","±3.4","0","±23","0.0%","±0.7","91","±64","0.0%","±0.1","0","±29","0.0%","±0.1","0","±29","0.0%","±0.2","15","±24","0.0%","±0.1","4","±6","0.0%","±0.1","0","±26","0.0%","±1.0","0","±29","0.0%","±0.1","0","±29","0.0%","±0.2"
"        Zero or negative income","12,593","±671","2.2%","±0.1","1,283","±114","10.3%","±0.9","280","±126","1.9%","±0.8","280","±68","2.2%","±0.5","173","±76","2.0%","±0.9","58","±42","1.8%","±1.2","6","±9","0.6%","±0.9","193","±151","3.9%","±3.0","5,453","±464","1.9%","±0.2","524","±157","1.9%","±0.6","574","±89","3.9%","±0.6","1,367","±205","1.5%","±0.2","1,170","±229","2.9%","±0.6","80","±60","2.2%","±1.6","485","±154","1.6%","±0.5","667","±159","3.2%","±0.8"
"    REAL ESTATE TAXES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $800","158,627","±2,693","27.6%","±0.4","1,693","±242","13.6%","±1.8","4,855","±422","32.5%","±2.6","2,223","±289","17.1%","±2.0","2,799","±347","31.8%","±3.5","1,340","±186","40.5%","±4.4","720","±130","71.2%","±7.4","1,856","±318","37.8%","±5.6","75,691","±1,736","26.4%","±0.5","13,015","±777","47.7%","±2.2","3,640","±398","24.9%","±2.5","18,996","±768","20.2%","±0.8","14,203","±766","35.8%","±1.5","1,217","±205","33.9%","±4.9","7,459","±545","25.3%","±1.7","8,920","±640","43.4%","±2.2"
"        $800 to $1,499","136,656","±2,424","23.8%","±0.4","540","±150","4.3%","±1.2","4,636","±395","31.1%","±2.2","1,924","±235","14.8%","±1.6","1,558","±278","17.7%","±2.9","607","±129","18.3%","±3.4","108","±45","10.7%","±4.7","647","±227","13.2%","±4.6","73,727","±1,752","25.7%","±0.5","7,345","±595","26.9%","±1.8","2,191","±307","15.0%","±1.9","19,581","±857","20.8%","±0.8","9,042","±660","22.8%","±1.4","971","±164","27.1%","±4.3","8,026","±579","27.2%","±1.7","5,753","±439","28.0%","±1.9"
"        $1,500 or more","215,523","±2,390","37.5%","±0.3","111","±47","0.9%","±0.4","4,363","±388","29.2%","±2.3","4,161","±402","32.1%","±2.3","2,614","±295","29.7%","±3.2","571","±121","17.3%","±3.4","83","±38","8.2%","±3.9","581","±203","11.8%","±4.1","120,703","±2,049","42.1%","±0.6","4,971","±520","18.2%","±1.9","1,775","±204","12.2%","±1.3","47,114","±1,154","50.1%","±0.9","12,445","±658","31.4%","±1.4","1,139","±211","31.7%","±5.1","11,884","±617","40.3%","±1.6","3,008","±286","14.6%","±1.3"
"        No real estate taxes paid","63,698","±1,542","11.1%","±0.2","10,138","±283","81.2%","±1.6","1,063","±202","7.1%","±1.3","4,673","±256","36.0%","±2.1","1,828","±210","20.8%","±2.1","791","±120","23.9%","±3.4","100","±42","9.9%","±4.2","1,826","±294","37.2%","±5.4","16,698","±829","5.8%","±0.3","1,927","±305","7.1%","±1.1","6,988","±263","47.9%","±2.0","8,410","±596","8.9%","±0.6","3,989","±341","10.1%","±0.9","262","±122","7.3%","±3.2","2,139","±357","7.2%","±1.2","2,866","±315","13.9%","±1.4"
"        Median (dollars)","1,293","±9","1,293","±9","406","±72","406","±72","1,082","±54","1,082","±54","1,503","±99","1,503","±99","1,098","±129","1,098","±129","734","±115","734","±115","308","±85","308","±85","618","±130","618","±130","1,360","±15","1,360","±15","777","±38","777","±38","843","±73","843","±73","1,670","±30","1,670","±30","1,085","±41","1,085","±41","1,027","±141","1,027","±141","1,353","±34","1,353","±34","794","±33","794","±33"
