"Label (Grouping)","Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Apache County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Apache County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Apache County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Apache County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Cochise County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Cochise County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Cochise County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Cochise County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Coconino County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Coconino County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Coconino County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Coconino County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Gila County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Gila County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Gila County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Gila County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Graham County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Graham County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Graham County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Graham County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Greenlee County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Greenlee County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Greenlee County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Greenlee County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","La Paz County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","La Paz County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","La Paz County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","La Paz County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Maricopa County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Maricopa County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Maricopa County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Maricopa County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Mohave County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Mohave County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Mohave County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Mohave County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Navajo County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Navajo County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Navajo County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Navajo County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Pima County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Pima County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Pima County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Pima County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Pinal County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Pinal County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Pinal County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Pinal County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Santa Cruz County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Santa Cruz County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Santa Cruz County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Santa Cruz County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Yavapai County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Yavapai County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Yavapai County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Yavapai County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error","Yuma County, Arizona!!Owner-occupied housing units without a mortgage!!Estimate","Yuma County, Arizona!!Owner-occupied housing units without a mortgage!!Margin of Error","Yuma County, Arizona!!Percent owner-occupied housing units without a mortgage!!Estimate","Yuma County, Arizona!!Percent owner-occupied housing units without a mortgage!!Margin of Error"
"        Median (dollars)","170,000","±1,192","170,000","±1,192","51,500","±2,092","51,500","±2,092","123,300","±5,702","123,300","±5,702","164,600","±13,640","164,600","±13,640","116,200","±12,644","116,200","±12,644","91,200","±9,542","91,200","±9,542","82,800","±5,996","82,800","±5,996","69,200","±17,180","69,200","±17,180","211,200","±2,397","211,200","±2,397","119,300","±5,882","119,300","±5,882","99,100","±5,251","99,100","±5,251","160,700","±2,338","160,700","±2,338","133,600","±5,606","133,600","±5,606","153,700","±14,158","153,700","±14,158","224,600","±7,928","224,600","±7,928","85,100","±2,903","85,100","±2,903"
"    HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $10,000","41,928","±1,230","7.3%","±0.2","3,344","±196","26.8%","±1.4","1,264","±247","8.5%","±1.6","1,125","±158","8.7%","±1.1","877","±206","10.0%","±2.2","313","±116","9.5%","±3.3","39","±24","3.9%","±2.4","593","±271","12.1%","±5.3","17,035","±731","5.9%","±0.3","2,083","±256","7.6%","±0.9","2,372","±220","16.3%","±1.4","5,885","±456","6.3%","±0.5","3,084","±308","7.8%","±0.8","296","±125","8.2%","±3.2","1,888","±327","6.4%","±1.1","1,730","±286","8.4%","±1.3"
"        $10,000 to $24,999","98,507","±2,193","17.1%","±0.3","2,997","±211","24.0%","±1.6","3,157","±403","21.2%","±2.5","1,982","±249","15.3%","±1.8","2,342","±294","26.6%","±3.1","646","±141","19.5%","±3.8","217","±76","21.5%","±7.2","1,288","±308","26.2%","±5.8","43,158","±1,382","15.0%","±0.4","6,186","±588","22.7%","±2.0","3,324","±291","22.8%","±1.9","16,085","±817","17.1%","±0.7","6,346","±539","16.0%","±1.3","723","±156","20.1%","±4.0","5,675","±534","19.2%","±1.7","4,381","±411","21.3%","±1.8"
"        $25,000 to $34,999","67,045","±1,686","11.7%","±0.3","1,292","±141","10.4%","±1.1","1,951","±294","13.1%","±1.8","1,325","±179","10.2%","±1.3","1,180","±199","13.4%","±2.3","467","±123","14.1%","±3.8","111","±55","11.0%","±5.9","598","±173","12.2%","±3.7","30,887","±1,114","10.8%","±0.4","4,096","±476","15.0%","±1.5","1,416","±200","9.7%","±1.3","11,099","±663","11.8%","±0.7","5,308","±495","13.4%","±1.1","451","±131","12.6%","±3.3","3,686","±451","12.5%","±1.5","3,178","±373","15.5%","±1.6"
"        $35,000 to $49,999","85,516","±1,820","14.9%","±0.3","1,511","±160","12.1%","±1.2","2,160","±266","14.5%","±1.9","1,463","±189","11.3%","±1.5","1,637","±261","18.6%","±2.8","555","±117","16.8%","±3.4","181","±84","17.9%","±7.8","762","±218","15.5%","±4.6","40,351","±1,305","14.1%","±0.4","4,699","±462","17.2%","±1.6","2,017","±224","13.8%","±1.5","14,808","±779","15.7%","±0.8","6,108","±488","15.4%","±1.2","731","±153","20.4%","±4.1","5,069","±527","17.2%","±1.7","3,464","±342","16.9%","±1.5"
"        $50,000 to $74,999","103,633","±1,990","18.0%","±0.3","1,586","±205","12.7%","±1.5","2,787","±309","18.7%","±2.0","2,407","±339","18.5%","±2.4","1,271","±229","14.4%","±2.4","599","±122","18.1%","±3.2","222","±88","22.0%","±8.0","810","±230","16.5%","±4.3","51,450","±1,286","17.9%","±0.4","4,780","±496","17.5%","±1.7","2,403","±308","16.5%","±2.1","17,075","±783","18.1%","±0.7","7,950","±588","20.0%","±1.3","579","±137","16.1%","±3.7","6,063","±526","20.5%","±1.7","3,651","±383","17.8%","±1.7"
"        $75,000 to $99,999","64,102","±1,453","11.2%","±0.2","869","±149","7.0%","±1.2","1,540","±226","10.3%","±1.5","1,760","±276","13.6%","±2.0","712","±161","8.1%","±1.8","411","±109","12.4%","±3.0","80","±34","7.9%","±3.2","568","±224","11.6%","±4.5","33,410","±1,007","11.6%","±0.3","2,489","±403","9.1%","±1.4","1,288","±207","8.8%","±1.3","10,769","±684","11.4%","±0.7","5,077","±430","12.8%","±1.0","341","±113","9.5%","±3.2","2,838","±369","9.6%","±1.1","1,950","±254","9.5%","±1.2"
"        $100,000 to $149,999","61,392","±1,495","10.7%","±0.3","617","±124","4.9%","±1.0","1,439","±285","9.6%","±1.8","1,563","±236","12.0%","±1.7","573","±166","6.5%","±1.9","224","±76","6.8%","±2.3","86","±46","8.5%","±4.5","199","±67","4.1%","±1.3","35,628","±1,074","12.4%","±0.4","1,854","±291","6.8%","±1.0","1,120","±177","7.7%","±1.3","9,847","±569","10.5%","±0.6","3,889","±438","9.8%","±1.0","303","±136","8.4%","±3.6","2,626","±402","8.9%","±1.3","1,424","±233","6.9%","±1.1"
"        $150,000 or more","52,381","±1,443","9.1%","±0.2","266","±84","2.1%","±0.7","619","±138","4.1%","±0.9","1,356","±241","10.4%","±1.7","207","±78","2.4%","±0.9","94","±43","2.8%","±1.3","75","±45","7.4%","±4.4","92","±42","1.9%","±0.9","34,900","±1,143","12.2%","±0.3","1,071","±202","3.9%","±0.8","654","±171","4.5%","±1.2","8,533","±593","9.1%","±0.6","1,917","±270","4.8%","±0.7","165","±77","4.6%","±2.0","1,663","±291","5.6%","±0.9","769","±170","3.7%","±0.8"
"        Median household income (dollars)","48,921","±457","48,921","±457","24,235","±1,703","24,235","±1,703","41,475","±3,393","41,475","±3,393","55,179","±3,862","55,179","±3,862","35,003","±2,353","35,003","±2,353","40,940","±3,684","40,940","±3,684","46,938","±7,317","46,938","±7,317","34,077","±6,524","34,077","±6,524","54,971","±634","54,971","±634","39,275","±1,832","39,275","±1,832","36,233","±2,290","36,233","±2,290","48,954","±1,227","48,954","±1,227","47,344","±1,614","47,344","±1,614","43,176","±2,816","43,176","±2,816","45,013","±2,188","45,013","±2,188","38,664","±1,358","38,664","±1,358"
"    RATIO OF VALUE TO HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than 2.0","194,054","±2,435","33.8%","±0.3","6,281","±252","50.3%","±1.6","5,656","±436","37.9%","±2.6","5,422","±348","41.8%","±2.4","3,261","±370","37.1%","±3.4","1,512","±187","45.7%","±4.9","574","±94","56.8%","±7.2","2,595","±388","52.9%","±7.0","85,754","±1,644","29.9%","±0.5","9,815","±597","36.0%","±1.8","5,723","±382","39.2%","±2.3","33,829","±1,045","35.9%","±0.9","16,350","±811","41.2%","±1.8","1,036","±192","28.9%","±4.2","6,074","±502","20.6%","±1.5","10,172","±672","49.5%","±2.3"
"        2.0 to 2.9","88,587","±2,037","15.4%","±0.3","1,291","±138","10.3%","±1.1","2,585","±315","17.3%","±2.0","1,390","±197","10.7%","±1.4","1,094","±202","12.4%","±2.2","569","±125","17.2%","±3.3","163","±81","16.1%","±7.2","548","±173","11.2%","±3.5","45,575","±1,455","15.9%","±0.4","4,191","±422","15.4%","±1.4","2,037","±256","14.0%","±1.6","15,374","±674","16.3%","±0.7","6,128","±536","15.4%","±1.2","478","±134","13.3%","±3.8","3,868","±434","13.1%","±1.4","3,296","±348","16.0%","±1.5"
"        3.0 to 3.9","66,582","±1,654","11.6%","±0.3","965","±151","7.7%","±1.1","1,865","±281","12.5%","±1.9","1,311","±219","10.1%","±1.5","904","±221","10.3%","±2.4","338","±96","10.2%","±2.7","71","±38","7.0%","±3.8","458","±218","9.3%","±4.4","35,019","±1,179","12.2%","±0.4","2,834","±348","10.4%","±1.2","1,486","±214","10.2%","±1.5","11,263","±616","12.0%","±0.6","4,048","±391","10.2%","±0.9","439","±117","12.2%","±3.1","3,859","±489","13.1%","±1.5","1,722","±279","8.4%","±1.4"
"        4.0 or more","212,688","±2,602","37.0%","±0.3","2,662","±169","21.3%","±1.2","4,531","±435","30.4%","±2.6","4,578","±381","35.3%","±2.3","3,367","±341","38.3%","±3.6","832","±158","25.1%","±4.3","197","±70","19.5%","±7.2","1,116","±294","22.7%","±5.8","115,018","±1,810","40.1%","±0.5","9,894","±582","36.3%","±1.8","4,774","±364","32.7%","±2.2","32,268","±1,145","34.3%","±0.9","11,983","±711","30.2%","±1.5","1,556","±241","43.4%","±5.5","15,222","±842","51.6%","±2.3","4,690","±408","22.8%","±1.9"
"        Not computed","12,593","±671","2.2%","±0.1","1,283","±114","10.3%","±0.9","280","±126","1.9%","±0.8","280","±68","2.2%","±0.5","173","±76","2.0%","±0.9","58","±42","1.8%","±1.2","6","±9","0.6%","±0.9","193","±151","3.9%","±3.0","5,453","±464","1.9%","±0.2","524","±157","1.9%","±0.6","574","±89","3.9%","±0.6","1,367","±205","1.5%","±0.2","1,170","±229","2.9%","±0.6","80","±60","2.2%","±1.6","485","±154","1.6%","±0.5","667","±159","3.2%","±0.8"
"    MONTHLY HOUSING COSTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $200","64,371","±1,572","11.2%","±0.3","7,452","±315","59.7%","±1.9","2,377","±247","15.9%","±1.6","2,761","±247","21.3%","±1.9","1,765","±251","20.1%","±2.7","704","±139","21.3%","±3.8","292","±87","28.9%","±8.0","1,709","±316","34.8%","±5.5","18,524","±858","6.5%","±0.3","4,862","±445","17.8%","±1.6","4,673","±249","32.0%","±1.6","7,312","±652","7.8%","±0.7","4,594","±415","11.6%","±1.0","519","±133","14.5%","±3.4","3,204","±402","10.9%","±1.3","3,623","±371","17.6%","±1.6"
"        $200 to $399","217,667","±2,967","37.9%","±0.4","3,800","±247","30.4%","±1.9","7,664","±569","51.4%","±2.7","4,825","±389","37.2%","±2.6","3,513","±352","39.9%","±3.4","1,508","±217","45.6%","±5.3","557","±116","55.1%","±8.1","2,057","±267","41.9%","±5.1","99,384","±2,021","34.7%","±0.5","14,773","±897","54.2%","±2.2","5,914","±326","40.5%","±2.1","34,025","±1,132","36.2%","±1.0","15,654","±815","39.5%","±1.6","1,828","±269","50.9%","±5.8","12,536","±833","42.5%","±2.4","9,629","±602","46.9%","±2.2"
"        $400 to $599","171,839","±2,275","29.9%","±0.3","1,007","±157","8.1%","±1.2","3,567","±373","23.9%","±2.5","3,340","±339","25.7%","±2.3","2,607","±312","29.6%","±3.1","802","±143","24.2%","±3.5","123","±46","12.2%","±4.7","802","±145","16.3%","±2.9","91,580","±1,827","31.9%","±0.5","5,648","±508","20.7%","±1.9","2,938","±293","20.1%","±1.8","32,570","±998","34.6%","±0.9","12,208","±743","30.8%","±1.5","786","±187","21.9%","±4.7","8,415","±588","28.5%","±1.9","5,446","±498","26.5%","±2.2"
"        $600 to $999","97,995","±1,959","17.1%","±0.3","204","±56","1.6%","±0.4","1,192","±219","8.0%","±1.5","1,593","±254","12.3%","±1.8","786","±172","8.9%","±1.9","284","±86","8.6%","±2.7","21","±14","2.1%","±1.5","330","±225","6.7%","±4.5","62,167","±1,393","21.7%","±0.4","1,755","±244","6.4%","±0.9","833","±151","5.7%","±1.0","16,328","±733","17.4%","±0.7","6,420","±459","16.2%","±1.1","356","±101","9.9%","±2.8","3,993","±492","13.5%","±1.6","1,733","±243","8.4%","±1.2"
"        $1,000 to $1,299","13,529","±750","2.4%","±0.1","14","±10","0.1%","±0.1","79","±51","0.5%","±0.3","311","±152","2.4%","±1.1","63","±77","0.7%","±0.9","1","±3","0.0%","±0.1","8","±13","0.8%","±1.3","6","±9","0.1%","±0.2","8,653","±610","3.0%","±0.2","166","±84","0.6%","±0.3","118","±66","0.8%","±0.4","2,447","±264","2.6%","±0.3","530","±125","1.3%","±0.3","78","±46","2.2%","±1.3","996","±240","3.4%","±0.8","59","±38","0.3%","±0.2"
"        $1,300 to $1,499","3,343","±372","0.6%","±0.1","5","±8","0.0%","±0.1","0","±29","0.0%","±0.2","97","±60","0.7%","±0.5","0","±29","0.0%","±0.4","0","±26","0.0%","±1.1","2","±5","0.2%","±0.5","6","±9","0.1%","±0.2","2,377","±316","0.8%","±0.1","54","±45","0.2%","±0.2","30","±26","0.2%","±0.2","508","±115","0.5%","±0.1","115","±67","0.3%","±0.2","6","±14","0.2%","±0.4","119","±53","0.4%","±0.2","24","±29","0.1%","±0.1"
"        $1,500 or more","5,760","±418","1.0%","±0.1","0","±29","0.0%","±0.3","38","±34","0.3%","±0.2","54","±40","0.4%","±0.3","65","±50","0.7%","±0.6","10","±14","0.3%","±0.4","8","±13","0.8%","±1.3","0","±23","0.0%","±0.7","4,134","±367","1.4%","±0.1","0","±29","0.0%","±0.1","88","±69","0.6%","±0.5","911","±163","1.0%","±0.2","158","±100","0.4%","±0.3","16","±25","0.4%","±0.7","245","±114","0.8%","±0.4","33","±30","0.2%","±0.1"
