county,data_year,usage_yoy_change,income_yoy_change,price_yoy_change,burden_yoy_change,housing_1015_yoy,housing_1824_yoy
apache,2015,0.7029532274303696,5.211370262390669,12.655944386030704,3.0123074106645387,-5.287009063444104,
apache,2018,0.4154014160056896,3.7975879333690177,8.908019474767093,0.36375042440257577,,
apache,2020,11.766822680231325,3.0458392743379026,-6.159947314773573,-2.446597151442631,,107.60598503740648
apache,2024,5.6676079263543455,21.994877380987422,23.796773821296014,-1.6891565236464068,,-100.0
cochise,2015,0.7158466007618047,0.4434441572332748,11.647343713246784,6.751901900931734,-5.672223424983757,
cochise,2018,0.3828580672092796,7.929007210205219,9.555073827643824,-3.1078190199892775,,
cochise,2020,11.801390079376283,5.870624267713631,-6.61076741305755,-5.482484610148763,,8.640282131661436
cochise,2024,5.519259347938021,15.992622075526652,23.669504955523244,3.228435978348254,,-0.7033363390441805
coconino,2015,1.1580481292428058,1.4623308422540893,11.664531269017031,6.15926564360274,-21.310483870967744,
coconino,2018,-2.766240702627043,14.695226340725398,9.970066374352339,-7.989253433421273,,
coconino,2020,14.62594899794858,2.4021105248542174,-6.71768590343974,-2.7900713080457384,,4.704097116843697
coconino,2024,5.764981705407823,23.67118644067796,23.753697291577613,-2.9875161712286435,,3.64130434782608
gila,2015,1.5160562478997885,5.777009047365622,11.143664574721246,0.6738873571618509,-36.33741888968998,
gila,2018,2.6743644434660485,5.889160021131534,4.988005778525206,-2.889045963002135,,
gila,2020,11.61064704820205,11.439228356932428,-4.368047523280483,-7.249673613979746,,208.15602836879435
gila,2024,4.777455449925139,32.14658792930693,21.17269015412484,-11.583855703472457,,0.0
graham,2015,-16.36882593274652,10.270374013386752,-2.3996939913486504,-16.608337853377776,-24.26645519429025,
graham,2018,1.1534941188286574,11.722217387520661,10.945037290300274,-0.774842479383897,,
graham,2020,-2.65779672828913,8.453419535753227,-9.21629867602497,-10.247741021894496,,270.8133971291866
graham,2024,3.1726266885552468,20.88592821359956,13.800680349049443,-6.4473083704818634,,0.0
greenlee,2015,2.2003567564387483,6.0210284212255605,10.226154128121978,-0.7503100845433264,-56.666666666666664,
greenlee,2018,5.07664116550075,18.079336793987764,0.47966385191857697,-14.273901283483259,,
greenlee,2020,11.624587845392774,8.867819297267143,-1.9729758136378228,-1.6222880957722396,,150.0
greenlee,2024,3.892104051983303,7.2263741562198724,17.267970619266904,5.164613296619391,,0.0
la paz,2015,0.6514704070349708,7.2137368961333825,12.193337135935934,0.6482174266426277,-39.35018050541517,
la paz,2018,0.23349220661723624,-3.287297626646546,9.462633600450921,7.900292377862872,,
la paz,2020,11.80696139890578,4.869048690486899,-6.450287682185529,-4.543038063599026,,66.47727272727273
la paz,2024,5.636438765826357,41.54365488042111,24.21193590307937,-15.115842218163111,,0.0
maricopa,2015,1.4792657407052046,-1.4985287172594175,10.854683973418178,7.862125368577888,-27.850624541172564,
maricopa,2018,2.106467085607755,13.603422523004305,5.220210464094843,-9.17934098486477,,
maricopa,2020,12.184097203405386,10.052592279972728,-4.509395215170642,-6.372308462719911,,1.8608214427918268
maricopa,2024,4.699991236805201,31.712857121786463,21.553997035131232,-11.077027377929937,,6.227146101663039
mohave,2015,0.885465352470427,-3.260022621591052,2.5185523893322292,6.59767744073505,-20.87078090673058,
mohave,2018,-25.35271948206299,12.414258989815007,-3.589673796133175,-13.015335995116361,,
mohave,2020,56.86298745442184,10.215873896362048,0.699081020593395,-1.2421533805750617,,-2.0892603129445186
mohave,2024,7.107398944133636,20.96632135217884,42.220300972265875,17.10914027078656,,21.66530463997094
navajo,2015,0.7029532274303696,-9.687232865691154,12.655944386030704,20.005912347351607,-27.306866952789697,
navajo,2018,0.4154014160056896,11.505804404109021,8.908019474767093,-6.574233819744391,,
navajo,2020,11.766822680231325,7.704598791631301,-6.159947314773573,-6.666266961868194,,11.5932427956277
navajo,2024,5.6676079263543455,26.578581363004172,23.796773821296014,-5.249220160524148,,35.08459483526269
pima,2015,-0.4099943837921449,1.408141297423171,12.243293653887811,5.877558824241524,-21.179577849082143,
pima,2018,0.8010829762508775,10.560634287942472,9.456277626516263,-4.504176282155104,,
pima,2020,11.710218342864188,7.810020181436994,-5.46801553082612,-5.729271571545736,,-1.5718115369038221
pima,2024,3.347896518335358,27.79201424858695,23.72652711886156,-7.321739956622164,,7.104788776549897
pinal,2015,1.5848058682347066,-3.5724030403430085,10.81112549713219,10.23915168363887,-28.39518812388021,
pinal,2018,1.363000213505794,12.274390120662115,4.948655726230777,-8.459556634860698,,
pinal,2020,13.111534708202566,9.753375337533754,-4.3611729372652235,-5.8517344005625365,,-12.430500397140587
pinal,2024,5.203269162541391,31.652670253247607,21.126912389286435,-11.232707558005284,,15.315192743764182
santa cruz,2015,-0.17058481289977667,9.915386511131196,1.8475220602066411,-9.462645719301243,0.5319148936170137,
santa cruz,2018,6.593919131482817,0.8146487294469429,2.0867497639524446,3.127844126310686,,
santa cruz,2020,11.995800081339802,2.3648899102972853,-4.56940585735458,1.5437183470049076,,469.27536231884056
santa cruz,2024,3.488524071296517,33.297122441096946,40.37330286925409,3.2159148218654954,,0.0
