county,data_year,usage_yoy_change,income_yoy_change,price_yoy_change,burden_yoy_change,housing_1015_yoy,housing_1824_yoy
apache,2020,11.766822680231325,3.0458392743379026,-6.159947314773573,-2.446597151442631,,107.60598503740648
apache,2024,5.6676079263543455,21.994877380987422,23.796773821296014,-1.6891565236464068,,-100.0
cochise,2020,11.801390079376283,5.870624267713631,-6.61076741305755,-5.482484610148763,,8.640282131661436
cochise,2024,5.519259347938021,15.992622075526652,23.669504955523244,3.228435978348254,,-0.7033363390441805
coconino,2020,14.62594899794858,2.4021105248542174,-6.71768590343974,-2.7900713080457384,,4.704097116843697
coconino,2024,5.764981705407823,23.67118644067796,23.753697291577613,-2.9875161712286435,,3.64130434782608
gila,2020,11.61064704820205,11.439228356932428,-4.368047523280483,-7.249673613979746,,208.15602836879435
gila,2024,4.777455449925139,32.14658792930693,21.17269015412484,-11.583855703472457,,0.0
graham,2020,-2.65779672828913,8.453419535753227,-9.21629867602497,-10.247741021894496,,270.8133971291866
graham,2024,3.1726266885552468,20.88592821359956,13.800680349049443,-6.4473083704818634,,0.0
greenlee,2020,11.624587845392774,8.867819297267143,-1.9729758136378228,-1.6222880957722396,,150.0
greenlee,2024,3.892104051983303,7.2263741562198724,17.267970619266904,5.164613296619391,,0.0
la paz,2020,11.80696139890578,4.869048690486899,-6.450287682185529,-4.543038063599026,,66.47727272727273
la paz,2024,5.636438765826357,41.54365488042111,24.21193590307937,-15.115842218163111,,0.0
maricopa,2020,12.184097203405386,10.052592279972728,-4.509395215170642,-6.372308462719911,,1.8608214427918268
maricopa,2024,4.699991236805201,31.712857121786463,21.553997035131232,-11.077027377929937,,6.227146101663039
mohave,2020,56.86298745442184,10.215873896362048,0.699081020593395,-1.2421533805750617,,-2.0892603129445186
mohave,2024,7.107398944133636,20.96632135217884,42.220300972265875,17.10914027078656,,21.66530463997094
navajo,2020,11.766822680231325,7.704598791631301,-6.159947314773573,-6.666266961868194,,11.5932427956277
navajo,2024,5.6676079263543455,26.578581363004172,23.796773821296014,-5.249220160524148,,35.08459483526269
pima,2020,11.710218342864188,7.810020181436994,-5.46801553082612,-5.729271571545736,,-1.5718115369038221
pima,2024,3.347896518335358,27.79201424858695,23.72652711886156,-7.321739956622164,,7.104788776549897
pinal,2020,13.111534708202566,9.753375337533754,-4.3611729372652235,-5.8517344005625365,,-12.430500397140587
pinal,2024,5.203269162541391,31.652670253247607,21.126912389286435,-11.232707558005284,,15.315192743764182
santa cruz,2020,11.995800081339802,2.3648899102972853,-4.56940585735458,1.5437183470049076,,469.27536231884056
santa cruz,2024,3.488524071296517,33.297122441096946,40.37330286925409,3.2159148218654954,,0.0
yavapai,2020,15.113360915344941,6.275408529294535,-7.047443040425893,-6.709619300701075,,-4.900632339656729
yavapai,2024,5.799721101269317,30.534980967203595,23.802948298833538,-8.095327721465784,,44.13836776695954
yuma,2020,11.560792330350411,10.740387670797592,-6.411455839919988,-9.524660435660316,,-1.071612570839775
yuma,2024,5.636438765826357,28.870670219307225,24.21193590307937,-6.768437585983134,,3.5204666180606248
