"Label (Grouping)","Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Apache County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Apache County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Apache County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Apache County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Cochise County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Cochise County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Cochise County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Cochise County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Coconino County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Coconino County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Coconino County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Coconino County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Gila County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Gila County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Gila County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Gila County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Graham County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Graham County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Graham County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Graham County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Greenlee County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Greenlee County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Greenlee County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Greenlee County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","La Paz County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","La Paz County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","La Paz County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","La Paz County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Maricopa County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Maricopa County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Maricopa County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Maricopa County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Mohave County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Mohave County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Mohave County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Mohave County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Navajo County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Navajo County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Navajo County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Navajo County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Pima County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Pima County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Pima County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Pima County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Pinal County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Pinal County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Pinal County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Pinal County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Santa Cruz County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Santa Cruz County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Santa Cruz County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Santa Cruz County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Yavapai County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Yavapai County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Yavapai County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Yavapai County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error","Yuma County, Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Yuma County, Arizona!!Owner-occupied housing units with a mortgage!!Margin of Error","Yuma County, Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Yuma County, Arizona!!Percent owner-occupied housing units with a mortgage!!Margin of Error"
"        $25,000 to $34,999","59,089","±2,160","5.4%","±0.2","248","±121","7.7%","±3.7","1,350","±249","7.3%","±1.3","727","±251","4.6%","±1.6","557","±171","7.6%","±2.2","323","±134","7.0%","±2.8","34","±37","5.5%","±6.0","258","±150","13.6%","±7.7","32,000","±1,793","4.6%","±0.3","2,920","±459","8.4%","±1.3","796","±165","8.6%","±1.7","9,187","±694","5.7%","±0.4","4,328","±710","6.2%","±0.9","1,004","±304","15.1%","±4.2","3,111","±450","7.6%","±1.1","2,246","±343","8.0%","±1.2"
"        $35,000 to $49,999","111,047","±2,906","10.2%","±0.3","348","±124","10.8%","±3.7","2,359","±328","12.7%","±1.7","1,470","±319","9.4%","±2.0","872","±215","11.9%","±3.1","525","±143","11.3%","±2.8","74","±64","12.0%","±9.9","247","±94","13.0%","±5.0","62,401","±1,909","9.0%","±0.3","4,481","±585","12.8%","±1.6","1,287","±230","13.8%","±2.3","19,418","±974","12.0%","±0.6","7,579","±780","10.8%","±1.1","948","±244","14.2%","±3.7","5,426","±664","13.3%","±1.7","3,612","±513","12.9%","±1.8"
"        $50,000 to $74,999","197,242","±3,759","18.0%","±0.3","856","±161","26.5%","±4.6","3,814","±444","20.5%","±2.2","2,792","±426","17.8%","±2.5","1,508","±287","20.6%","±3.6","927","±189","19.9%","±3.9","142","±90","23.0%","±11.7","321","±120","16.9%","±6.1","115,313","±2,743","16.7%","±0.4","8,081","±787","23.2%","±1.9","1,890","±261","20.3%","±2.7","30,823","±1,566","19.1%","±0.8","14,525","±1,163","20.7%","±1.6","1,257","±275","18.8%","±3.8","9,068","±837","22.3%","±1.9","5,925","±641","21.1%","±2.0"
"        $75,000 to $99,999","177,102","±3,858","16.2%","±0.3","500","±151","15.5%","±4.4","3,145","±447","16.9%","±2.4","2,578","±326","16.4%","±1.9","1,491","±338","20.4%","±4.1","976","±240","21.0%","±4.9","125","±61","20.2%","±9.6","275","±142","14.5%","±7.2","108,504","±2,766","15.7%","±0.4","5,740","±707","16.5%","±1.9","1,728","±322","18.6%","±3.2","27,017","±1,568","16.7%","±0.9","12,924","±982","18.4%","±1.4","912","±248","13.7%","±3.6","6,100","±697","15.0%","±1.6","5,087","±670","18.1%","±2.4"
"        $100,000 to $149,999","238,871","±3,939","21.8%","±0.3","596","±142","18.4%","±4.3","3,563","±424","19.1%","±2.1","3,712","±511","23.7%","±2.9","974","±243","13.3%","±3.2","955","±196","20.6%","±3.8","120","±72","19.4%","±11.2","276","±148","14.5%","±7.0","159,817","±2,978","23.2%","±0.4","5,354","±490","15.4%","±1.5","1,454","±281","15.6%","±2.8","33,673","±1,293","20.8%","±0.8","15,418","±1,114","21.9%","±1.5","1,089","±291","16.3%","±4.1","7,398","±707","18.2%","±1.7","4,472","±565","15.9%","±1.7"
"        $150,000 or more","221,620","±3,894","20.3%","±0.3","226","±107","7.0%","±3.2","2,202","±390","11.8%","±2.1","3,333","±416","21.3%","±2.8","1,005","±225","13.8%","±2.9","391","±117","8.4%","±2.4","70","±56","11.3%","±8.6","76","±48","4.0%","±2.7","165,432","±3,458","24.0%","±0.5","3,010","±354","8.6%","±1.0","1,108","±198","11.9%","±2.0","27,422","±1,272","17.0%","±0.7","8,691","±801","12.4%","±1.2","713","±170","10.7%","±2.6","4,988","±698","12.2%","±1.6","2,953","±380","10.5%","±1.4"
"        Median household income (dollars)","87,147","±603","87,147","±603","67,257","±5,414","67,257","±5,414","72,471","±3,460","72,471","±3,460","91,407","±3,976","91,407","±3,976","70,671","±8,237","70,671","±8,237","74,979","±3,778","74,979","±3,778","77,917","±20,089","77,917","±20,089","49,934","±12,337","49,934","±12,337","94,923","±968","94,923","±968","63,010","±2,047","63,010","±2,047","70,177","±6,981","70,177","±6,981","81,367","±1,138","81,367","±1,138","77,939","±1,918","77,939","±1,918","57,010","±7,164","57,010","±7,164","70,248","±2,154","70,248","±2,154","67,774","±3,391","67,774","±3,391"
"    RATIO OF VALUE TO HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than 2.0","295,316","±4,385","27.0%","±0.3","1,342","±219","41.5%","±6.5","8,052","±600","43.3%","±2.6","2,937","±364","18.7%","±2.2","2,394","±354","32.8%","±4.1","1,962","±272","42.2%","±4.7","405","±150","65.5%","±13.7","911","±267","48.0%","±9.1","165,065","±3,473","23.9%","±0.5","10,753","±722","30.8%","±1.9","3,720","±362","40.0%","±3.2","56,900","±1,779","35.2%","±0.9","22,116","±1,063","31.5%","±1.5","2,208","±333","33.1%","±4.2","6,437","±650","15.8%","±1.5","10,114","±783","36.0%","±2.5"
"        2.0 to 2.9","286,535","±3,828","26.2%","±0.3","773","±210","23.9%","±5.9","4,314","±498","23.2%","±2.5","3,809","±481","24.3%","±2.9","1,229","±262","16.8%","±3.3","1,076","±208","23.2%","±3.8","145","±78","23.5%","±11.6","151","±69","8.0%","±3.9","188,089","±3,415","27.3%","±0.5","7,414","±637","21.3%","±1.7","1,808","±264","19.4%","±2.6","42,652","±1,571","26.4%","±0.9","17,767","±1,199","25.3%","±1.5","1,360","±240","20.4%","±3.5","8,061","±606","19.8%","±1.6","7,887","±729","28.1%","±2.3"
"        3.0 to 3.9","178,338","±3,165","16.3%","±0.3","478","±159","14.8%","±4.8","2,284","±393","12.3%","±2.1","2,730","±396","17.4%","±2.3","946","±220","12.9%","±3.0","599","±203","12.9%","±4.2","36","±37","5.8%","±6.3","172","±108","9.1%","±5.8","119,568","±2,340","17.3%","±0.3","5,104","±709","14.6%","±1.9","1,400","±290","15.1%","±2.8","22,309","±1,386","13.8%","±0.8","10,414","±860","14.8%","±1.2","1,277","±236","19.1%","±3.2","7,425","±964","18.2%","±2.2","3,596","±466","12.8%","±1.7"
"        4.0 or more","326,175","±4,936","29.8%","±0.4","564","±152","17.5%","±4.2","3,847","±432","20.7%","±2.0","6,041","±555","38.5%","±2.8","2,672","±352","36.6%","±4.1","834","±172","17.9%","±3.4","32","±22","5.2%","±3.9","574","±193","30.2%","±8.0","213,294","±4,560","30.9%","±0.6","11,424","±834","32.8%","±2.2","2,342","±379","25.2%","±3.8","38,871","±1,424","24.1%","±0.8","18,921","±1,194","26.9%","±1.5","1,789","±327","26.8%","±4.4","18,622","±958","45.7%","±1.9","6,348","±655","22.6%","±2.1"
"        Not computed","7,286","±698","0.7%","±0.1","75","±46","2.3%","±1.4","116","±73","0.6%","±0.4","162","±134","1.0%","±0.9","68","±70","0.9%","±1.0","176","±104","3.8%","±2.3","0","±19","0.0%","±6.3","91","±80","4.8%","±4.1","4,088","±494","0.6%","±0.1","179","±113","0.5%","±0.3","29","±39","0.3%","±0.4","822","±260","0.5%","±0.2","1,101","±351","1.6%","±0.5","36","±36","0.5%","±0.6","204","±137","0.5%","±0.3","139","±77","0.5%","±0.3"
"    MONTHLY HOUSING COSTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $200","767","±198","0.1%","±0.1","2","±4","0.1%","±0.1","21","±35","0.1%","±0.2","30","±32","0.2%","±0.2","0","±31","0.0%","±0.5","6","±9","0.1%","±0.2","0","±19","0.0%","±6.3","0","±25","0.0%","±2.1","367","±143","0.1%","±0.1","31","±34","0.1%","±0.1","27","±29","0.3%","±0.3","96","±53","0.1%","±0.1","19","±25","0.0%","±0.1","22","±29","0.3%","±0.4","138","±83","0.3%","±0.2","8","±12","0.0%","±0.1"
"        $200 to $399","6,181","±1,223","0.6%","±0.1","37","±22","1.1%","±0.7","162","±69","0.9%","±0.4","101","±69","0.6%","±0.4","78","±57","1.1%","±0.8","22","±23","0.5%","±0.5","98","±90","15.9%","±12.5","99","±137","5.2%","±6.9","3,469","±1,194","0.5%","±0.2","419","±160","1.2%","±0.5","128","±72","1.4%","±0.8","735","±148","0.5%","±0.1","313","±136","0.4%","±0.2","30","±27","0.4%","±0.4","225","±100","0.6%","±0.2","265","±201","0.9%","±0.7"
"        $400 to $599","25,293","±1,553","2.3%","±0.1","203","±79","6.3%","±2.4","742","±168","4.0%","±0.9","345","±101","2.2%","±0.6","521","±215","7.1%","±2.9","150","±86","3.2%","±1.8","74","±47","12.0%","±7.5","155","±110","8.2%","±5.7","10,403","±948","1.5%","±0.1","2,760","±492","7.9%","±1.3","594","±132","6.4%","±1.4","4,338","±476","2.7%","±0.3","1,974","±666","2.8%","±0.9","444","±198","6.7%","±2.9","1,684","±409","4.1%","±1.0","906","±213","3.2%","±0.8"
"        $600 to $799","66,002","±2,127","6.0%","±0.2","536","±143","16.6%","±4.2","2,335","±317","12.5%","±1.6","745","±268","4.8%","±1.6","740","±202","10.1%","±2.6","481","±188","10.4%","±3.8","104","±78","16.8%","±11.5","388","±160","20.4%","±7.5","30,177","±1,501","4.4%","±0.2","4,304","±502","12.3%","±1.4","1,249","±300","13.4%","±3.0","12,350","±752","7.6%","±0.5","5,077","±764","7.2%","±1.1","1,037","±268","15.5%","±3.9","2,921","±463","7.2%","±1.1","3,558","±524","12.7%","±1.8"
"        $800 to $999","115,470","±2,632","10.6%","±0.2","1,044","±213","32.3%","±5.6","3,859","±414","20.7%","±2.1","931","±207","5.9%","±1.3","860","±194","11.8%","±2.7","594","±191","12.8%","±3.7","207","±89","33.5%","±12.1","484","±160","25.5%","±8.0","57,704","±1,980","8.4%","±0.3","6,703","±675","19.2%","±1.8","1,810","±250","19.5%","±2.5","20,747","±1,012","12.8%","±0.6","8,850","±828","12.6%","±1.1","1,488","±345","22.3%","±4.9","4,816","±604","11.8%","±1.4","5,373","±661","19.1%","±2.2"
"        $1,000 to $1,499","358,995","±4,454","32.8%","±0.3","1,054","±193","32.6%","±5.7","7,159","±611","38.5%","±2.6","4,388","±466","28.0%","±2.8","2,918","±390","39.9%","±4.4","2,249","±279","48.4%","±5.6","107","±56","17.3%","±9.9","389","±156","20.5%","±7.3","210,395","±3,622","30.5%","±0.5","12,545","±852","36.0%","±2.1","3,413","±392","36.7%","±3.4","59,295","±1,562","36.7%","±0.7","28,696","±1,594","40.8%","±1.9","2,160","±360","32.4%","±4.9","13,873","±997","34.0%","±2.1","10,354","±764","36.9%","±2.7"
"        $1,500 to $1,999","256,665","±3,633","23.5%","±0.3","300","±111","9.3%","±3.4","2,725","±361","14.6%","±1.8","4,388","±556","28.0%","±3.1","1,261","±294","17.3%","±3.6","835","±180","18.0%","±3.6","6","±11","1.0%","±1.8","173","±79","9.1%","±4.0","174,090","±2,788","25.2%","±0.4","5,025","±470","14.4%","±1.3","1,467","±247","15.8%","±2.3","34,057","±1,450","21.1%","±0.7","17,121","±1,072","24.3%","±1.5","880","±198","13.2%","±2.9","9,221","±760","22.6%","±1.8","5,116","±608","18.2%","±1.9"
"        $2,000 to $2,499","131,240","±3,177","12.0%","±0.3","44","±47","1.4%","±1.5","1,202","±280","6.5%","±1.5","2,366","±403","15.1%","±2.5","495","±119","6.8%","±1.5","258","±104","5.6%","±2.2","22","±31","3.6%","±5.3","49","±43","2.6%","±2.2","97,541","±2,835","14.1%","±0.4","1,739","±311","5.0%","±0.9","341","±110","3.7%","±1.2","15,732","±1,076","9.7%","±0.7","5,603","±814","8.0%","±1.1","229","±118","3.4%","±1.8","3,860","±581","9.5%","±1.4","1,759","±293","6.3%","±1.0"
"        $2,500 to $2,999","63,044","±2,070","5.8%","±0.2","0","±31","0.0%","±1.2","288","±122","1.5%","±0.6","1,143","±262","7.3%","±1.7","271","±126","3.7%","±1.7","17","±21","0.4%","±0.5","0","±19","0.0%","±6.3","96","±105","5.1%","±5.3","49,207","±1,776","7.1%","±0.3","779","±199","2.2%","±0.6","116","±66","1.2%","±0.7","7,060","±655","4.4%","±0.4","1,462","±312","2.1%","±0.5","147","±77","2.2%","±1.2","2,022","±394","5.0%","±1.0","436","±156","1.6%","±0.5"
"        $3,000 or more","69,993","±2,262","6.4%","±0.2","12","±14","0.4%","±0.4","120","±80","0.6%","±0.4","1,242","±279","7.9%","±1.8","165","±98","2.3%","±1.4","35","±30","0.8%","±0.6","0","±19","0.0%","±6.3","66","±49","3.5%","±2.5","56,751","±2,141","8.2%","±0.3","569","±172","1.6%","±0.5","154","±91","1.7%","±1.0","7,144","±693","4.4%","±0.4","1,204","±321","1.7%","±0.5","233","±88","3.5%","±1.3","1,989","±412","4.9%","±1.0","309","±98","1.1%","±0.4"
"        Median (dollars)","1,464","±5","1,464","±5","972","±22","972","±22","1,146","±31","1,146","±31","1,636","±52","1,636","±52","1,261","±55","1,261","±55","1,202","±41","1,202","±41","827","±89","827","±89","904","±76","904","±76","1,583","±8","1,583","±8","1,116","±22","1,116","±22","1,099","±29","1,099","±29","1,351","±11","1,351","±11","1,322","±22","1,322","±22","1,050","±56","1,050","±56","1,384","±26","1,384","±26","1,166","±25","1,166","±25"
"    MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $20,000","54,184","±2,148","5.0%","±0.2","247","±68","7.6%","±2.1","1,186","±267","6.4%","±1.4","600","±221","3.8%","±1.4","607","±173","8.3%","±2.3","228","±90","4.9%","±2.0","51","±48","8.3%","±7.7","340","±211","17.9%","±9.6","28,562","±1,853","4.1%","±0.3","3,295","±398","9.4%","±1.1","636","±167","6.8%","±1.8","8,718","±675","5.4%","±0.4","3,903","±618","5.6%","±0.9","419","±145","6.3%","±2.1","2,913","±505","7.1%","±1.2","2,479","±383","8.8%","±1.3"
"            Less than 20 percent","169","±89","0.0%","±0.1","1","±3","0.0%","±0.1","0","±31","0.0%","±0.2","5","±8","0.0%","±0.1","0","±31","0.0%","±0.5","0","±28","0.0%","±0.9","0","±19","0.0%","±6.3","0","±25","0.0%","±2.1","94","±68","0.0%","±0.1","20","±23","0.1%","±0.1","0","±31","0.0%","±0.4","15","±24","0.0%","±0.1","0","±31","0.0%","±0.1","3","±5","0.0%","±0.1","31","±46","0.1%","±0.1","0","±31","0.0%","±0.1"
"            20 to 29 percent","686","±222","0.1%","±0.1","17","±17","0.5%","±0.5","17","±20","0.1%","±0.1","0","±31","0.0%","±0.3","40","±46","0.5%","±0.6","4","±6","0.1%","±0.1","0","±19","0.0%","±6.3","0","±25","0.0%","±2.1","313","±189","0.0%","±0.1","73","±51","0.2%","±0.1","10","±11","0.1%","±0.1","68","±44","0.0%","±0.1","0","±31","0.0%","±0.1","0","±28","0.0%","±0.6","96","±71","0.2%","±0.2","48","±59","0.2%","±0.2"
"            30 percent or more","53,329","±2,185","4.9%","±0.2","229","±67","7.1%","±2.1","1,169","±265","6.3%","±1.3","595","±221","3.8%","±1.4","567","±169","7.8%","±2.2","224","±90","4.8%","±1.9","51","±48","8.3%","±7.7","340","±211","17.9%","±9.6","28,155","±1,876","4.1%","±0.3","3,202","±395","9.2%","±1.1","626","±166","6.7%","±1.7","8,635","±670","5.3%","±0.4","3,903","±618","5.6%","±0.9","416","±144","6.2%","±2.1","2,786","±505","6.8%","±1.2","2,431","±383","8.7%","±1.3"
"        $20,000 to $34,999","86,298","±2,751","7.9%","±0.2","384","±153","11.9%","±4.5","2,228","±391","12.0%","±2.0","1,032","±289","6.6%","±1.8","784","±190","10.7%","±2.4","469","±153","10.1%","±3.1","36","±37","5.8%","±6.1","273","±152","14.4%","±7.9","45,987","±2,126","6.7%","±0.3","4,734","±616","13.6%","±1.7","1,167","±217","12.5%","±2.2","13,661","±839","8.5%","±0.5","6,178","±806","8.8%","±1.1","1,296","±314","19.4%","±4.3","4,652","±550","11.4%","±1.3","3,417","±458","12.2%","±1.5"
"            Less than 20 percent","1,971","±300","0.2%","±0.1","23","±16","0.7%","±0.5","30","±28","0.2%","±0.1","15","±25","0.1%","±0.2","22","±20","0.3%","±0.3","48","±50","1.0%","±1.1","0","±19","0.0%","±6.3","62","±78","3.3%","±4.0","744","±171","0.1%","±0.1","249","±142","0.7%","±0.4","69","±43","0.7%","±0.5","328","±120","0.2%","±0.1","142","±79","0.2%","±0.1","27","±31","0.4%","±0.5","136","±124","0.3%","±0.3","76","±65","0.3%","±0.2"
"            20 to 29 percent","9,387","±856","0.9%","±0.1","21","±20","0.6%","±0.6","369","±122","2.0%","±0.7","230","±221","1.5%","±1.4","134","±72","1.8%","±1.0","18","±20","0.4%","±0.4","10","±14","1.6%","±2.1","7","±10","0.4%","±0.6","4,186","±579","0.6%","±0.1","1,041","±349","3.0%","±1.0","201","±91","2.2%","±1.0","1,492","±271","0.9%","±0.2","465","±161","0.7%","±0.2","279","±186","4.2%","±2.7","412","±147","1.0%","±0.4","522","±138","1.9%","±0.5"
"            30 percent or more","74,940","±2,807","6.9%","±0.2","340","±149","10.5%","±4.4","1,829","±387","9.8%","±2.0","787","±192","5.0%","±1.2","628","±172","8.6%","±2.2","403","±148","8.7%","±3.0","26","±35","4.2%","±5.9","204","±131","10.7%","±6.9","41,057","±2,059","5.9%","±0.3","3,444","±482","9.9%","±1.4","897","±210","9.6%","±2.2","11,841","±837","7.3%","±0.5","5,571","±766","7.9%","±1.0","990","±253","14.8%","±3.6","4,104","±545","10.1%","±1.3","2,819","±446","10.0%","±1.5"
"        $35,000 to $49,999","111,047","±2,906","10.2%","±0.3","348","±124","10.8%","±3.7","2,359","±328","12.7%","±1.7","1,470","±319","9.4%","±2.0","872","±215","11.9%","±3.1","525","±143","11.3%","±2.8","74","±64","12.0%","±9.9","247","±94","13.0%","±5.0","62,401","±1,909","9.0%","±0.3","4,481","±585","12.8%","±1.6","1,287","±230","13.8%","±2.3","19,418","±974","12.0%","±0.6","7,579","±780","10.8%","±1.1","948","±244","14.2%","±3.7","5,426","±664","13.3%","±1.7","3,612","±513","12.9%","±1.8"
"            Less than 20 percent","9,686","±1,026","0.9%","±0.1","31","±25","1.0%","±0.8","369","±167","2.0%","±0.9","173","±100","1.1%","±0.6","91","±62","1.2%","±0.8","24","±20","0.5%","±0.4","49","±60","7.9%","±9.2","13","±16","0.7%","±0.9","4,982","±826","0.7%","±0.1","633","±178","1.8%","±0.5","245","±105","2.6%","±1.1","1,427","±250","0.9%","±0.2","507","±175","0.7%","±0.2","120","±61","1.8%","±0.9","647","±216","1.6%","±0.5","375","±154","1.3%","±0.6"
"            20 to 29 percent","34,560","±1,618","3.2%","±0.1","230","±104","7.1%","±3.3","1,039","±222","5.6%","±1.2","337","±123","2.1%","±0.8","263","±115","3.6%","±1.6","188","±102","4.0%","±2.1","25","±20","4.0%","±3.4","83","±46","4.4%","±2.4","16,311","±995","2.4%","±0.1","1,931","±426","5.5%","±1.2","528","±148","5.7%","±1.5","7,538","±734","4.7%","±0.5","2,713","±548","3.9%","±0.8","327","±142","4.9%","±2.2","1,408","±362","3.5%","±0.9","1,639","±372","5.8%","±1.3"
"            30 percent or more","66,801","±2,389","6.1%","±0.2","87","±74","2.7%","±2.2","951","±190","5.1%","±1.0","960","±295","6.1%","±1.8","518","±161","7.1%","±2.3","313","±101","6.7%","±2.1","0","±19","0.0%","±6.3","151","±81","8.0%","±4.2","41,108","±1,739","6.0%","±0.2","1,917","±343","5.5%","±1.0","514","±158","5.5%","±1.7","10,453","±790","6.5%","±0.5","4,359","±554","6.2%","±0.8","501","±195","7.5%","±2.9","3,371","±568","8.3%","±1.4","1,598","±326","5.7%","±1.2"
"        $50,000 to $74,999","197,242","±3,759","18.0%","±0.3","856","±161","26.5%","±4.6","3,814","±444","20.5%","±2.2","2,792","±426","17.8%","±2.5","1,508","±287","20.6%","±3.6","927","±189","19.9%","±3.9","142","±90","23.0%","±11.7","321","±120","16.9%","±6.1","115,313","±2,743","16.7%","±0.4","8,081","±787","23.2%","±1.9","1,890","±261","20.3%","±2.7","30,823","±1,566","19.1%","±0.8","14,525","±1,163","20.7%","±1.6","1,257","±275","18.8%","±3.8","9,068","±837","22.3%","±1.9","5,925","±641","21.1%","±2.0"
"            Less than 20 percent","49,547","±1,923","4.5%","±0.2","460","±123","14.2%","±3.9","1,618","±286","8.7%","±1.5","427","±123","2.7%","±0.8","393","±165","5.4%","±2.2","208","±100","4.5%","±2.1","123","±93","19.9%","±12.4","206","±111","10.8%","±5.9","23,143","±1,169","3.4%","±0.2","3,635","±573","10.4%","±1.5","779","±194","8.4%","±2.0","8,727","±732","5.4%","±0.4","4,353","±807","6.2%","±1.1","520","±159","7.8%","±2.3","2,713","±529","6.7%","±1.3","2,242","±441","8.0%","±1.5"
"            20 to 29 percent","84,500","±2,163","7.7%","±0.2","319","±136","9.9%","±4.0","1,470","±307","7.9%","±1.6","1,080","±241","6.9%","±1.5","710","±201","9.7%","±2.6","555","±140","11.9%","±3.0","19","±17","3.1%","±3.1","20","±23","1.1%","±1.2","49,474","±1,686","7.2%","±0.2","3,146","±500","9.0%","±1.4","850","±156","9.1%","±1.6","13,963","±924","8.6%","±0.6","6,288","±652","8.9%","±0.9","481","±183","7.2%","±2.6","3,478","±529","8.5%","±1.3","2,647","±352","9.4%","±1.2"
"            30 percent or more","63,195","±2,132","5.8%","±0.2","77","±61","2.4%","±1.9","726","±177","3.9%","±1.0","1,285","±307","8.2%","±1.9","405","±134","5.5%","±1.8","164","±71","3.5%","±1.5","0","±19","0.0%","±6.3","95","±63","5.0%","±3.1","42,696","±1,700","6.2%","±0.2","1,300","±260","3.7%","±0.7","261","±94","2.8%","±1.0","8,133","±1,036","5.0%","±0.6","3,884","±429","5.5%","±0.6","256","±124","3.8%","±1.9","2,877","±503","7.1%","±1.2","1,036","±295","3.7%","±1.0"
"        $75,000 or more","637,593","±5,805","58.3%","±0.4","1,322","±209","40.9%","±5.3","8,910","±632","47.9%","±2.9","9,623","±658","61.4%","±3.3","3,470","±442","47.5%","±4.6","2,322","±307","50.0%","±5.1","315","±106","51.0%","±14.4","627","±203","33.0%","±8.6","433,753","±4,800","62.9%","±0.6","14,104","±792","40.4%","±2.1","4,290","±452","46.1%","±3.6","88,112","±2,108","54.5%","±0.9","37,033","±1,309","52.7%","±1.6","2,714","±385","40.7%","±5.1","18,486","±1,105","45.4%","±2.2","12,512","±811","44.6%","±2.5"
"            Less than 20 percent","453,170","±5,503","41.4%","±0.4","1,164","±220","36.0%","±5.8","7,400","±565","39.8%","±2.7","6,136","±511","39.1%","±3.1","2,683","±391","36.7%","±4.5","1,919","±279","41.3%","±4.9","315","±106","51.0%","±14.4","587","±203","30.9%","±8.8","301,212","±4,646","43.6%","±0.6","10,827","±687","31.0%","±1.9","3,614","±409","38.9%","±3.6","65,265","±1,880","40.4%","±0.9","27,395","±1,232","39.0%","±1.6","2,109","±346","31.6%","±4.6","12,929","±941","31.7%","±2.1","9,615","±780","34.2%","±2.4"
