"Label (Grouping)","Arizona!!Number!!Estimate","Arizona!!Number!!Margin of Error","Arizona!!Percent Distribution!!Estimate","Arizona!!Percent Distribution!!Margin of Error","Arizona!!Median income (dollars)!!Estimate","Arizona!!Median income (dollars)!!Margin of Error","Apache County, Arizona!!Number!!Estimate","Apache County, Arizona!!Number!!Margin of Error","Apache County, Arizona!!Percent Distribution!!Estimate","Apache County, Arizona!!Percent Distribution!!Margin of Error","Apache County, Arizona!!Median income (dollars)!!Estimate","Apache County, Arizona!!Median income (dollars)!!Margin of Error","Cochise County, Arizona!!Number!!Estimate","Cochise County, Arizona!!Number!!Margin of Error","Cochise County, Arizona!!Percent Distribution!!Estimate","Cochise County, Arizona!!Percent Distribution!!Margin of Error","Cochise County, Arizona!!Median income (dollars)!!Estimate","Cochise County, Arizona!!Median income (dollars)!!Margin of Error","Coconino County, Arizona!!Number!!Estimate","Coconino County, Arizona!!Number!!Margin of Error","Coconino County, Arizona!!Percent Distribution!!Estimate","Coconino County, Arizona!!Percent Distribution!!Margin of Error","Coconino County, Arizona!!Median income (dollars)!!Estimate","Coconino County, Arizona!!Median income (dollars)!!Margin of Error","Gila County, Arizona!!Number!!Estimate","Gila County, Arizona!!Number!!Margin of Error","Gila County, Arizona!!Percent Distribution!!Estimate","Gila County, Arizona!!Percent Distribution!!Margin of Error","Gila County, Arizona!!Median income (dollars)!!Estimate","Gila County, Arizona!!Median income (dollars)!!Margin of Error","Graham County, Arizona!!Number!!Estimate","Graham County, Arizona!!Number!!Margin of Error","Graham County, Arizona!!Percent Distribution!!Estimate","Graham County, Arizona!!Percent Distribution!!Margin of Error","Graham County, Arizona!!Median income (dollars)!!Estimate","Graham County, Arizona!!Median income (dollars)!!Margin of Error","Greenlee County, Arizona!!Number!!Estimate","Greenlee County, Arizona!!Number!!Margin of Error","Greenlee County, Arizona!!Percent Distribution!!Estimate","Greenlee County, Arizona!!Percent Distribution!!Margin of Error","Greenlee County, Arizona!!Median income (dollars)!!Estimate","Greenlee County, Arizona!!Median income (dollars)!!Margin of Error","La Paz County, Arizona!!Number!!Estimate","La Paz County, Arizona!!Number!!Margin of Error","La Paz County, Arizona!!Percent Distribution!!Estimate","La Paz County, Arizona!!Percent Distribution!!Margin of Error","La Paz County, Arizona!!Median income (dollars)!!Estimate","La Paz County, Arizona!!Median income (dollars)!!Margin of Error","Maricopa County, Arizona!!Number!!Estimate","Maricopa County, Arizona!!Number!!Margin of Error","Maricopa County, Arizona!!Percent Distribution!!Estimate","Maricopa County, Arizona!!Percent Distribution!!Margin of Error","Maricopa County, Arizona!!Median income (dollars)!!Estimate","Maricopa County, Arizona!!Median income (dollars)!!Margin of Error","Mohave County, Arizona!!Number!!Estimate","Mohave County, Arizona!!Number!!Margin of Error","Mohave County, Arizona!!Percent Distribution!!Estimate","Mohave County, Arizona!!Percent Distribution!!Margin of Error","Mohave County, Arizona!!Median income (dollars)!!Estimate","Mohave County, Arizona!!Median income (dollars)!!Margin of Error","Navajo County, Arizona!!Number!!Estimate","Navajo County, Arizona!!Number!!Margin of Error","Navajo County, Arizona!!Percent Distribution!!Estimate","Navajo County, Arizona!!Percent Distribution!!Margin of Error","Navajo County, Arizona!!Median income (dollars)!!Estimate","Navajo County, Arizona!!Median income (dollars)!!Margin of Error","Pima County, Arizona!!Number!!Estimate","Pima County, Arizona!!Number!!Margin of Error","Pima County, Arizona!!Percent Distribution!!Estimate","Pima County, Arizona!!Percent Distribution!!Margin of Error","Pima County, Arizona!!Median income (dollars)!!Estimate","Pima County, Arizona!!Median income (dollars)!!Margin of Error","Pinal County, Arizona!!Number!!Estimate","Pinal County, Arizona!!Number!!Margin of Error","Pinal County, Arizona!!Percent Distribution!!Estimate","Pinal County, Arizona!!Percent Distribution!!Margin of Error","Pinal County, Arizona!!Median income (dollars)!!Estimate","Pinal County, Arizona!!Median income (dollars)!!Margin of Error","Santa Cruz County, Arizona!!Number!!Estimate","Santa Cruz County, Arizona!!Number!!Margin of Error","Santa Cruz County, Arizona!!Percent Distribution!!Estimate","Santa Cruz County, Arizona!!Percent Distribution!!Margin of Error","Santa Cruz County, Arizona!!Median income (dollars)!!Estimate","Santa Cruz County, Arizona!!Median income (dollars)!!Margin of Error","Yavapai County, Arizona!!Number!!Estimate","Yavapai County, Arizona!!Number!!Margin of Error","Yavapai County, Arizona!!Percent Distribution!!Estimate","Yavapai County, Arizona!!Percent Distribution!!Margin of Error","Yavapai County, Arizona!!Median income (dollars)!!Estimate","Yavapai County, Arizona!!Median income (dollars)!!Margin of Error","Yuma County, Arizona!!Number!!Estimate","Yuma County, Arizona!!Number!!Margin of Error","Yuma County, Arizona!!Percent Distribution!!Estimate","Yuma County, Arizona!!Percent Distribution!!Margin of Error","Yuma County, Arizona!!Median income (dollars)!!Estimate","Yuma County, Arizona!!Median income (dollars)!!Margin of Error"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Households","2,524,300","±6,840","2,524,300","±6,840","56,213","±275","20,395","±382","20,395","±382","32,963","±1,614","49,250","±846","49,250","±846","48,649","±1,372","47,276","±885","47,276","±885","57,616","±1,629","21,708","±490","21,708","±490","42,092","±1,810","10,782","±355","10,782","±355","51,352","±2,134","3,225","±179","3,225","±179","60,962","±3,549","8,912","±484","8,912","±484","33,333","±5,547","1,520,767","±4,569","1,520,767","±4,569","61,606","±305","85,485","±1,076","85,485","±1,076","43,266","±1,301","34,407","±590","34,407","±590","40,054","±1,508","400,907","±1,798","400,907","±1,798","51,037","±502","137,286","±1,532","137,286","±1,532","55,550","±944","15,430","±327","15,430","±327","40,467","±2,823","96,007","±1,096","96,007","±1,096","50,180","±1,188","72,463","±860","72,463","±860","44,058","±1,027"
"        One race--","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            White","2,071,891","±5,876","82.1%","±0.1","58,435","±297","5,813","±304","28.5%","±1.3","55,070","±4,265","43,663","±782","88.7%","±0.8","48,402","±1,536","34,042","±664","72.0%","±0.8","63,230","±2,069","18,537","±425","85.4%","±1.4","43,157","±2,260","9,300","±320","86.3%","±1.3","53,047","±2,202","3,029","±162","93.9%","±1.8","59,911","±9,809","7,458","±376","83.7%","±1.8","32,256","±6,814","1,247,826","±4,067","82.1%","±0.2","63,715","±311","79,420","±985","92.9%","±0.5","43,284","±1,402","20,047","±453","58.3%","±1.1","50,006","±1,973","324,563","±1,959","81.0%","±0.4","53,933","±650","117,879","±1,423","85.9%","±0.7","56,758","±1,102","13,289","±427","86.1%","±2.3","41,993","±2,677","90,043","±1,007","93.8%","±0.5","50,466","±1,146","56,982","±939","78.6%","±1.0","44,582","±1,175"
"            Black or African American","104,159","±1,634","4.1%","±0.1","45,310","±1,150","155","±78","0.8%","±0.4","50,737","±13,714","1,495","±220","3.0%","±0.4","67,946","±11,773","493","±165","1.0%","±0.3","24,479","±12,805","123","±98","0.6%","±0.4","12,760","±10,537","140","±81","1.3%","±0.7","-","**","39","±16","1.2%","±0.5","75,625","±42,501","70","±56","0.8%","±0.6","78,472","±68,406","80,904","±1,377","5.3%","±0.1","45,167","±1,236","739","±142","0.9%","±0.2","27,904","±12,575","214","±71","0.6%","±0.2","48,309","±16,710","12,737","±660","3.2%","±0.2","41,978","±1,816","4,975","±416","3.6%","±0.3","61,717","±7,963","74","±49","0.5%","±0.3","-","**","483","±118","0.5%","±0.1","53,580","±5,277","1,518","±233","2.1%","±0.3","43,241","±6,476"
"            American Indian and Alaska Native","84,607","±1,469","3.4%","±0.1","35,251","±928","13,918","±332","68.2%","±1.3","24,045","±1,168","507","±128","1.0%","±0.3","47,917","±4,307","9,599","±387","20.3%","±0.7","42,098","±3,266","2,078","±170","9.6%","±0.7","34,737","±5,600","942","±115","8.7%","±1.0","32,317","±3,364","94","±41","2.9%","±1.2","95,781","±27,665","955","±143","10.7%","±1.4","34,938","±10,783","23,657","±847","1.6%","±0.1","45,984","±2,044","1,478","±159","1.7%","±0.2","45,000","±6,911","12,350","±473","35.9%","±1.1","25,814","±1,460","11,625","±565","2.9%","±0.1","32,331","±2,834","5,518","±511","4.0%","±0.4","26,804","±3,465","185","±121","1.2%","±0.8","-","**","952","±185","1.0%","±0.2","47,500","±15,507","749","±129","1.0%","±0.2","35,063","±12,848"
"            Asian","75,354","±1,302","3.0%","±0.1","74,430","±1,904","86","±42","0.4%","±0.2","39,524","±10,856","779","±145","1.6%","±0.3","49,635","±25,170","868","±171","1.8%","±0.4","40,530","±9,791","106","±51","0.5%","±0.2","47,635","±22,530","30","±34","0.3%","±0.3","91,250","±32,713","5","±9","0.2%","±0.3","-","**","69","±27","0.8%","±0.3","-","**","57,383","±1,071","3.8%","±0.1","81,021","±2,618","873","±155","1.0%","±0.2","55,795","±25,189","262","±56","0.8%","±0.2","41,042","±7,832","11,006","±526","2.7%","±0.1","51,116","±3,095","1,839","±199","1.3%","±0.1","70,177","±10,908","154","±65","1.0%","±0.4","34,925","±19,100","751","±161","0.8%","±0.2","69,732","±18,230","1,143","±189","1.6%","±0.3","75,195","±27,459"
"            Native Hawaiian and Other Pacific Islander","3,505","±360","0.1%","±0.1","59,806","±7,052","6","±6","0.0%","±0.1","-","**","133","±61","0.3%","±0.1","43,098","±19,780","79","±56","0.2%","±0.1","78,097","±72,279","20","±28","0.1%","±0.1","-","**","0","±26","0.0%","±0.3","-","**","0","±17","0.0%","±1.1","-","**","8","±13","0.1%","±0.1","-","**","2,466","±291","0.2%","±0.1","63,302","±6,332","83","±28","0.1%","±0.1","250,000+","***","21","±14","0.1%","±0.1","24,219","±11,129","457","±118","0.1%","±0.1","40,160","±24,186","178","±112","0.1%","±0.1","30,486","±23,288","0","±26","0.0%","±0.2","-","**","22","±35","0.0%","±0.1","-","**","32","±33","0.0%","±0.1","27,000","±17,477"
"            Some other race","127,412","±1,935","5.0%","±0.1","43,471","±984","183","±76","0.9%","±0.4","64,531","±41,658","1,174","±243","2.4%","±0.5","40,500","±9,004","1,129","±216","2.4%","±0.5","57,292","±10,269","353","±170","1.6%","±0.8","41,421","±6,756","183","±65","1.7%","±0.6","42,292","±10,082","47","±39","1.5%","±1.2","99,219","±63,693","210","±79","2.4%","±0.9","26,081","±3,952","75,038","±1,584","4.9%","±0.1","46,354","±1,350","1,402","±290","1.6%","±0.3","43,304","±8,736","944","±221","2.7%","±0.6","30,904","±10,193","28,294","±1,072","7.1%","±0.3","39,151","±2,005","4,373","±475","3.2%","±0.3","48,319","±5,351","1,628","±337","10.6%","±2.2","29,474","±4,825","1,899","±385","2.0%","±0.4","42,211","±3,994","10,555","±721","14.6%","±1.0","41,032","±1,984"
"        Two or more races","57,372","±1,664","2.3%","±0.1","52,551","±1,820","234","±89","1.1%","±0.4","61,563","±25,348","1,499","±267","3.0%","±0.5","46,829","±7,686","1,066","±218","2.3%","±0.5","46,883","±10,058","491","±136","2.3%","±0.6","56,518","±13,896","187","±67","1.7%","±0.6","75,583","±7,041","11","±10","0.3%","±0.3","16,094","±6,416","142","±59","1.6%","±0.6","53,438","±21,459","33,493","±1,246","2.2%","±0.1","56,723","±3,016","1,490","±261","1.7%","±0.3","45,057","±13,518","569","±157","1.7%","±0.5","44,321","±9,257","12,225","±816","3.0%","±0.2","47,661","±3,863","2,524","±352","1.8%","±0.3","52,586","±7,694","100","±50","0.6%","±0.3","62,813","±57,361","1,857","±265","1.9%","±0.3","39,446","±6,633","1,484","±313","2.0%","±0.4","42,174","±8,834"
