"Label (Grouping)","Arizona!!Number!!Estimate","Arizona!!Number!!Margin of Error","Arizona!!Percent Distribution!!Estimate","Arizona!!Percent Distribution!!Margin of Error","Arizona!!Median income (dollars)!!Estimate","Arizona!!Median income (dollars)!!Margin of Error","Apache County, Arizona!!Number!!Estimate","Apache County, Arizona!!Number!!Margin of Error","Apache County, Arizona!!Percent Distribution!!Estimate","Apache County, Arizona!!Percent Distribution!!Margin of Error","Apache County, Arizona!!Median income (dollars)!!Estimate","Apache County, Arizona!!Median income (dollars)!!Margin of Error","Cochise County, Arizona!!Number!!Estimate","Cochise County, Arizona!!Number!!Margin of Error","Cochise County, Arizona!!Percent Distribution!!Estimate","Cochise County, Arizona!!Percent Distribution!!Margin of Error","Cochise County, Arizona!!Median income (dollars)!!Estimate","Cochise County, Arizona!!Median income (dollars)!!Margin of Error","Coconino County, Arizona!!Number!!Estimate","Coconino County, Arizona!!Number!!Margin of Error","Coconino County, Arizona!!Percent Distribution!!Estimate","Coconino County, Arizona!!Percent Distribution!!Margin of Error","Coconino County, Arizona!!Median income (dollars)!!Estimate","Coconino County, Arizona!!Median income (dollars)!!Margin of Error","Gila County, Arizona!!Number!!Estimate","Gila County, Arizona!!Number!!Margin of Error","Gila County, Arizona!!Percent Distribution!!Estimate","Gila County, Arizona!!Percent Distribution!!Margin of Error","Gila County, Arizona!!Median income (dollars)!!Estimate","Gila County, Arizona!!Median income (dollars)!!Margin of Error","Graham County, Arizona!!Number!!Estimate","Graham County, Arizona!!Number!!Margin of Error","Graham County, Arizona!!Percent Distribution!!Estimate","Graham County, Arizona!!Percent Distribution!!Margin of Error","Graham County, Arizona!!Median income (dollars)!!Estimate","Graham County, Arizona!!Median income (dollars)!!Margin of Error","Greenlee County, Arizona!!Number!!Estimate","Greenlee County, Arizona!!Number!!Margin of Error","Greenlee County, Arizona!!Percent Distribution!!Estimate","Greenlee County, Arizona!!Percent Distribution!!Margin of Error","Greenlee County, Arizona!!Median income (dollars)!!Estimate","Greenlee County, Arizona!!Median income (dollars)!!Margin of Error","La Paz County, Arizona!!Number!!Estimate","La Paz County, Arizona!!Number!!Margin of Error","La Paz County, Arizona!!Percent Distribution!!Estimate","La Paz County, Arizona!!Percent Distribution!!Margin of Error","La Paz County, Arizona!!Median income (dollars)!!Estimate","La Paz County, Arizona!!Median income (dollars)!!Margin of Error","Maricopa County, Arizona!!Number!!Estimate","Maricopa County, Arizona!!Number!!Margin of Error","Maricopa County, Arizona!!Percent Distribution!!Estimate","Maricopa County, Arizona!!Percent Distribution!!Margin of Error","Maricopa County, Arizona!!Median income (dollars)!!Estimate","Maricopa County, Arizona!!Median income (dollars)!!Margin of Error","Mohave County, Arizona!!Number!!Estimate","Mohave County, Arizona!!Number!!Margin of Error","Mohave County, Arizona!!Percent Distribution!!Estimate","Mohave County, Arizona!!Percent Distribution!!Margin of Error","Mohave County, Arizona!!Median income (dollars)!!Estimate","Mohave County, Arizona!!Median income (dollars)!!Margin of Error","Navajo County, Arizona!!Number!!Estimate","Navajo County, Arizona!!Number!!Margin of Error","Navajo County, Arizona!!Percent Distribution!!Estimate","Navajo County, Arizona!!Percent Distribution!!Margin of Error","Navajo County, Arizona!!Median income (dollars)!!Estimate","Navajo County, Arizona!!Median income (dollars)!!Margin of Error","Pima County, Arizona!!Number!!Estimate","Pima County, Arizona!!Number!!Margin of Error","Pima County, Arizona!!Percent Distribution!!Estimate","Pima County, Arizona!!Percent Distribution!!Margin of Error","Pima County, Arizona!!Median income (dollars)!!Estimate","Pima County, Arizona!!Median income (dollars)!!Margin of Error","Pinal County, Arizona!!Number!!Estimate","Pinal County, Arizona!!Number!!Margin of Error","Pinal County, Arizona!!Percent Distribution!!Estimate","Pinal County, Arizona!!Percent Distribution!!Margin of Error","Pinal County, Arizona!!Median income (dollars)!!Estimate","Pinal County, Arizona!!Median income (dollars)!!Margin of Error","Santa Cruz County, Arizona!!Number!!Estimate","Santa Cruz County, Arizona!!Number!!Margin of Error","Santa Cruz County, Arizona!!Percent Distribution!!Estimate","Santa Cruz County, Arizona!!Percent Distribution!!Margin of Error","Santa Cruz County, Arizona!!Median income (dollars)!!Estimate","Santa Cruz County, Arizona!!Median income (dollars)!!Margin of Error","Yavapai County, Arizona!!Number!!Estimate","Yavapai County, Arizona!!Number!!Margin of Error","Yavapai County, Arizona!!Percent Distribution!!Estimate","Yavapai County, Arizona!!Percent Distribution!!Margin of Error","Yavapai County, Arizona!!Median income (dollars)!!Estimate","Yavapai County, Arizona!!Median income (dollars)!!Margin of Error","Yuma County, Arizona!!Number!!Estimate","Yuma County, Arizona!!Number!!Margin of Error","Yuma County, Arizona!!Percent Distribution!!Estimate","Yuma County, Arizona!!Percent Distribution!!Margin of Error","Yuma County, Arizona!!Median income (dollars)!!Estimate","Yuma County, Arizona!!Median income (dollars)!!Margin of Error"
"        Hispanic or Latino origin (of any race)","578,067","±2,968","22.9%","±0.1","45,610","±534","865","±193","4.2%","±0.9","40,347","±11,463","13,406","±508","27.2%","±0.8","39,595","±2,426","5,600","±334","11.8%","±0.7","52,842","±7,406","3,608","±212","16.6%","±0.9","41,637","±4,110","2,982","±226","27.7%","±1.7","46,651","±2,694","1,459","±120","45.2%","±2.6","49,571","±7,634","1,588","±214","17.8%","±1.9","41,667","±5,307","334,080","±2,220","22.0%","±0.1","48,096","±725","9,605","±477","11.2%","±0.5","45,183","±4,999","3,102","±252","9.0%","±0.7","36,738","±5,859","114,502","±1,275","28.6%","±0.3","42,035","±799","28,579","±877","20.8%","±0.5","49,733","±2,503","11,744","±341","76.1%","±1.2","36,005","±3,194","9,253","±490","9.6%","±0.5","47,255","±6,203","37,694","±803","52.0%","±0.7","39,854","±1,531"
"        White alone, not Hispanic or Latino","1,652,733","±5,506","65.5%","±0.1","62,261","±289","5,193","±254","25.5%","±1.2","56,618","±2,942","32,192","±533","65.4%","±0.9","52,293","±2,123","29,920","±643","63.3%","±0.8","64,741","±2,570","15,550","±366","71.6%","±1.1","43,370","±2,441","6,607","±259","61.3%","±1.8","56,013","±3,955","1,633","±113","50.6%","±2.6","64,877","±3,893","6,255","±311","70.2%","±2.5","31,499","±4,954","1,004,258","±3,863","66.0%","±0.2","68,702","±445","71,681","±973","83.9%","±0.6","43,045","±1,474","18,229","±424","53.0%","±1.1","50,676","±1,642","248,398","±1,635","62.0%","±0.3","57,619","±853","95,272","±1,175","69.4%","±0.7","58,481","±1,342","3,432","±179","22.2%","±1.2","51,972","±3,985","83,093","±996","86.5%","±0.6","50,595","±1,237","31,020","±440","42.8%","±0.6","49,704","±1,565"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    15 to 24 years","109,581","±1,916","4.3%","±0.1","31,167","±617","360","±91","1.8%","±0.4","13,125","±8,577","1,977","±352","4.0%","±0.7","30,424","±5,953","4,909","±599","10.4%","±1.1","19,690","±2,471","523","±176","2.4%","±0.8","43,576","±6,492","497","±123","4.6%","±1.1","35,597","±19,139","159","±68","4.9%","±2.0","44,821","±30,365","178","±80","2.0%","±0.8","27,969","±6,286","62,447","±1,314","4.1%","±0.1","34,295","±960","2,141","±320","2.5%","±0.4","37,616","±7,664","1,184","±204","3.4%","±0.6","18,526","±5,813","25,672","±1,009","6.4%","±0.2","25,584","±2,016","2,879","±416","2.1%","±0.3","33,306","±6,102","543","±221","3.5%","±1.4","28,888","±2,958","2,392","±337","2.5%","±0.3","29,677","±7,892","3,720","±434","5.1%","±0.6","30,048","±2,043"
"    25 to 44 years","806,169","±4,157","31.9%","±0.1","60,885","±503","4,580","±297","22.5%","±1.2","36,105","±2,972","12,796","±568","26.0%","±1.0","54,614","±2,560","14,273","±426","30.2%","±0.8","64,904","±3,885","3,829","±255","17.6%","±1.0","50,424","±8,221","3,314","±257","30.7%","±1.9","54,977","±7,883","1,310","±161","40.6%","±4.1","67,868","±7,079","1,393","±211","15.6%","±1.9","30,980","±10,057","536,523","±3,076","35.3%","±0.2","64,413","±467","16,654","±639","19.5%","±0.7","50,576","±2,551","8,175","±379","23.8%","±0.9","39,553","±4,564","117,949","±1,494","29.4%","±0.3","53,364","±1,036","40,612","±1,053","29.6%","±0.6","61,711","±2,035","4,196","±301","27.2%","±1.7","37,894","±4,014","17,082","±755","17.8%","±0.7","55,866","±2,166","23,483","±650","32.4%","±0.8","51,023","±2,984"
"    45 to 64 years","912,922","±3,590","36.2%","±0.1","66,961","±536","9,080","±246","44.5%","±1.1","37,037","±2,714","17,183","±488","34.9%","±1.0","54,672","±3,263","17,872","±401","37.8%","±0.8","66,079","±3,327","7,991","±286","36.8%","±1.2","44,565","±3,760","3,996","±232","37.1%","±1.9","61,725","±6,894","1,039","±125","32.2%","±3.7","67,837","±6,478","2,639","±237","29.6%","±2.2","37,177","±7,142","558,963","±2,760","36.8%","±0.2","75,058","±741","30,298","±676","35.4%","±0.7","46,055","±2,539","13,710","±418","39.8%","±1.1","43,939","±3,258","139,191","±1,225","34.7%","±0.3","61,397","±1,084","47,402","±987","34.5%","±0.7","61,987","±1,817","6,043","±269","39.2%","±1.6","51,817","±2,737","34,566","±673","36.0%","±0.7","57,290","±2,003","22,949","±521","31.7%","±0.7","51,872","±2,260"
"    65 years and over","695,628","±3,481","27.6%","±0.1","45,223","±421","6,375","±229","31.3%","±1.1","29,150","±2,310","17,294","±404","35.1%","±0.8","41,139","±2,567","10,222","±286","21.6%","±0.6","53,281","±3,995","9,365","±302","43.1%","±1.4","36,765","±2,070","2,975","±174","27.6%","±1.6","41,273","±3,575","717","±83","22.2%","±2.5","40,272","±10,487","4,702","±259","52.8%","±2.5","32,282","±8,640","362,834","±2,288","23.9%","±0.1","47,821","±549","36,392","±668","42.6%","±0.7","39,818","±1,408","11,338","±352","33.0%","±1.0","38,253","±2,677","118,095","±1,146","29.5%","±0.3","46,053","±822","46,393","±733","33.8%","±0.5","45,684","±1,250","4,648","±233","30.1%","±1.5","32,452","±3,061","41,967","±737","43.7%","±0.7","43,843","±1,512","22,311","±412","30.8%","±0.5","36,108","±1,486"
"FAMILIES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Families","1,648,126","±7,057","1,648,126","±7,057","66,988","±381","13,759","±407","13,759","±407","41,903","±1,913","32,319","±824","32,319","±824","58,635","±2,101","29,278","±780","29,278","±780","72,655","±2,995","13,715","±578","13,715","±578","49,902","±2,253","7,604","±326","7,604","±326","61,351","±3,294","2,379","±182","2,379","±182","63,609","±3,868","5,303","±479","5,303","±479","44,701","±5,261","996,345","±5,318","996,345","±5,318","73,240","±470","54,107","±1,168","54,107","±1,168","52,427","±1,529","23,917","±687","23,917","±687","48,932","±1,708","246,861","±2,115","246,861","±2,115","63,576","±691","95,847","±1,619","95,847","±1,619","63,833","±1,199","11,626","±374","11,626","±374","45,074","±3,812","60,712","±1,284","60,712","±1,284","60,692","±1,302","54,354","±1,155","54,354","±1,155","49,050","±1,401"
"        With own children of householder under 18 years","683,743","±5,378","41.5%","±0.2","61,784","±625","4,656","±302","33.8%","±1.8","34,024","±3,542","12,129","±595","37.5%","±1.5","52,330","±2,479","10,709","±555","36.6%","±1.6","67,252","±6,964","4,180","±344","30.5%","±2.0","44,645","±4,461","3,545","±267","46.6%","±2.3","60,435","±6,442","1,041","±136","43.8%","±4.9","64,493","±7,532","1,304","±203","24.6%","±3.1","42,500","±8,558","443,004","±4,121","44.5%","±0.3","67,269","±991","15,142","±754","28.0%","±1.2","48,476","±2,658","8,952","±437","37.4%","±1.3","40,790","±5,188","97,019","±1,411","39.3%","±0.5","55,004","±1,507","36,132","±1,147","37.7%","±1.0","61,701","±1,714","5,263","±369","45.3%","±2.8","37,676","±4,621","16,306","±737","26.9%","±1.1","58,928","±2,927","24,361","±836","44.8%","±1.1","44,508","±3,454"
"        With no own children of householder under 18 years","964,383","±5,232","58.5%","±0.2","70,182","±412","9,103","±322","66.2%","±1.8","47,383","±2,994","20,190","±676","62.5%","±1.5","62,788","±3,004","18,569","±682","63.4%","±1.6","74,307","±2,764","9,535","±448","69.5%","±2.0","51,888","±2,920","4,059","±206","53.4%","±2.3","62,309","±5,749","1,338","±161","56.2%","±4.9","62,849","±5,509","3,999","±396","75.4%","±3.1","45,071","±6,752","553,341","±3,948","55.5%","±0.3","77,122","±569","38,965","±973","72.0%","±1.2","53,707","±1,419","14,965","±505","62.6%","±1.3","51,413","±1,869","149,842","±1,711","60.7%","±0.5","68,232","±866","59,715","±1,402","62.3%","±1.0","65,003","±1,581","6,363","±390","54.7%","±2.8","50,634","±3,179","44,406","±1,158","73.1%","±1.1","61,516","±1,815","29,993","±841","55.2%","±1.1","51,099","±1,893"
"        Married-couple families","1,200,133","±8,008","72.8%","±0.3","79,677","±480","8,096","±344","58.8%","±1.7","55,971","±3,960","24,337","±766","75.3%","±1.9","70,024","±2,173","20,881","±761","71.3%","±2.0","85,512","±2,649","9,990","±549","72.8%","±2.1","57,699","±5,406","5,558","±308","73.1%","±2.7","71,836","±2,900","1,670","±145","70.2%","±5.3","71,528","±12,516","4,010","±405","75.6%","±3.5","49,686","±5,697","722,647","±5,642","72.5%","±0.4","87,543","±683","40,709","±1,135","75.2%","±1.6","58,756","±1,635","15,945","±636","66.7%","±1.6","60,537","±2,337","174,763","±2,019","70.8%","±0.6","77,969","±1,023","73,557","±1,501","76.7%","±1.0","71,523","±1,655","8,003","±450","68.8%","±3.2","51,125","±2,351","49,386","±1,030","81.3%","±1.0","66,102","±1,590","40,581","±1,051","74.7%","±1.2","56,339","±1,758"
"            With own children under 18 years","450,094","±5,020","27.3%","±0.3","84,238","±677","2,433","±224","17.7%","±1.5","51,675","±5,628","7,949","±504","24.6%","±1.5","71,226","±3,231","7,177","±555","24.5%","±1.7","86,802","±5,080","2,436","±313","17.8%","±2.0","61,744","±18,467","2,390","±231","31.4%","±2.6","74,083","±4,654","689","±106","29.0%","±4.5","71,319","±20,178","670","±144","12.6%","±2.5","70,268","±9,246","296,874","±3,553","29.8%","±0.3","90,725","±1,002","8,598","±588","15.9%","±1.0","66,327","±5,746","5,293","±346","22.1%","±1.3","64,243","±3,746","59,517","±1,177","24.1%","±0.5","79,905","±1,912","24,731","±939","25.8%","±0.9","75,574","±2,571","3,287","±353","28.3%","±2.9","50,209","±2,943","11,239","±546","18.5%","±0.9","71,038","±4,645","16,811","±749","30.9%","±1.2","60,291","±2,937"
"        Female householder, no husband present","309,739","±3,967","18.8%","±0.2","36,654","±533","4,170","±222","30.3%","±1.4","25,115","±2,361","5,693","±507","17.6%","±1.5","26,155","±2,863","5,810","±525","19.8%","±1.7","37,389","±4,333","2,595","±260","18.9%","±1.9","29,397","±7,920","1,510","±197","19.9%","±2.5","27,941","±8,208","340","±102","14.3%","±4.0","42,000","±7,740","859","±186","16.2%","±3.1","28,060","±8,386","187,345","±2,961","18.8%","±0.3","39,689","±644","9,017","±663","16.7%","±1.2","34,351","±2,284","6,046","±387","25.3%","±1.5","22,732","±2,293","51,290","±1,444","20.8%","±0.6","33,295","±1,410","15,017","±964","15.7%","±1.0","35,090","±3,169","2,542","±348","21.9%","±2.9","33,438","±5,193","7,898","±533","13.0%","±0.8","35,444","±2,958","9,607","±627","17.7%","±1.1","25,601","±2,608"
