"Label (Grouping)","Arizona!!Number!!Estimate","Arizona!!Number!!Margin of Error","Arizona!!Percent Distribution!!Estimate","Arizona!!Percent Distribution!!Margin of Error","Arizona!!Median income (dollars)!!Estimate","Arizona!!Median income (dollars)!!Margin of Error","Apache County, Arizona!!Number!!Estimate","Apache County, Arizona!!Number!!Margin of Error","Apache County, Arizona!!Percent Distribution!!Estimate","Apache County, Arizona!!Percent Distribution!!Margin of Error","Apache County, Arizona!!Median income (dollars)!!Estimate","Apache County, Arizona!!Median income (dollars)!!Margin of Error","Cochise County, Arizona!!Number!!Estimate","Cochise County, Arizona!!Number!!Margin of Error","Cochise County, Arizona!!Percent Distribution!!Estimate","Cochise County, Arizona!!Percent Distribution!!Margin of Error","Cochise County, Arizona!!Median income (dollars)!!Estimate","Cochise County, Arizona!!Median income (dollars)!!Margin of Error","Coconino County, Arizona!!Number!!Estimate","Coconino County, Arizona!!Number!!Margin of Error","Coconino County, Arizona!!Percent Distribution!!Estimate","Coconino County, Arizona!!Percent Distribution!!Margin of Error","Coconino County, Arizona!!Median income (dollars)!!Estimate","Coconino County, Arizona!!Median income (dollars)!!Margin of Error","Gila County, Arizona!!Number!!Estimate","Gila County, Arizona!!Number!!Margin of Error","Gila County, Arizona!!Percent Distribution!!Estimate","Gila County, Arizona!!Percent Distribution!!Margin of Error","Gila County, Arizona!!Median income (dollars)!!Estimate","Gila County, Arizona!!Median income (dollars)!!Margin of Error","Graham County, Arizona!!Number!!Estimate","Graham County, Arizona!!Number!!Margin of Error","Graham County, Arizona!!Percent Distribution!!Estimate","Graham County, Arizona!!Percent Distribution!!Margin of Error","Graham County, Arizona!!Median income (dollars)!!Estimate","Graham County, Arizona!!Median income (dollars)!!Margin of Error","Greenlee County, Arizona!!Number!!Estimate","Greenlee County, Arizona!!Number!!Margin of Error","Greenlee County, Arizona!!Percent Distribution!!Estimate","Greenlee County, Arizona!!Percent Distribution!!Margin of Error","Greenlee County, Arizona!!Median income (dollars)!!Estimate","Greenlee County, Arizona!!Median income (dollars)!!Margin of Error","La Paz County, Arizona!!Number!!Estimate","La Paz County, Arizona!!Number!!Margin of Error","La Paz County, Arizona!!Percent Distribution!!Estimate","La Paz County, Arizona!!Percent Distribution!!Margin of Error","La Paz County, Arizona!!Median income (dollars)!!Estimate","La Paz County, Arizona!!Median income (dollars)!!Margin of Error","Maricopa County, Arizona!!Number!!Estimate","Maricopa County, Arizona!!Number!!Margin of Error","Maricopa County, Arizona!!Percent Distribution!!Estimate","Maricopa County, Arizona!!Percent Distribution!!Margin of Error","Maricopa County, Arizona!!Median income (dollars)!!Estimate","Maricopa County, Arizona!!Median income (dollars)!!Margin of Error","Mohave County, Arizona!!Number!!Estimate","Mohave County, Arizona!!Number!!Margin of Error","Mohave County, Arizona!!Percent Distribution!!Estimate","Mohave County, Arizona!!Percent Distribution!!Margin of Error","Mohave County, Arizona!!Median income (dollars)!!Estimate","Mohave County, Arizona!!Median income (dollars)!!Margin of Error","Navajo County, Arizona!!Number!!Estimate","Navajo County, Arizona!!Number!!Margin of Error","Navajo County, Arizona!!Percent Distribution!!Estimate","Navajo County, Arizona!!Percent Distribution!!Margin of Error","Navajo County, Arizona!!Median income (dollars)!!Estimate","Navajo County, Arizona!!Median income (dollars)!!Margin of Error","Pima County, Arizona!!Number!!Estimate","Pima County, Arizona!!Number!!Margin of Error","Pima County, Arizona!!Percent Distribution!!Estimate","Pima County, Arizona!!Percent Distribution!!Margin of Error","Pima County, Arizona!!Median income (dollars)!!Estimate","Pima County, Arizona!!Median income (dollars)!!Margin of Error","Pinal County, Arizona!!Number!!Estimate","Pinal County, Arizona!!Number!!Margin of Error","Pinal County, Arizona!!Percent Distribution!!Estimate","Pinal County, Arizona!!Percent Distribution!!Margin of Error","Pinal County, Arizona!!Median income (dollars)!!Estimate","Pinal County, Arizona!!Median income (dollars)!!Margin of Error","Santa Cruz County, Arizona!!Number!!Estimate","Santa Cruz County, Arizona!!Number!!Margin of Error","Santa Cruz County, Arizona!!Percent Distribution!!Estimate","Santa Cruz County, Arizona!!Percent Distribution!!Margin of Error","Santa Cruz County, Arizona!!Median income (dollars)!!Estimate","Santa Cruz County, Arizona!!Median income (dollars)!!Margin of Error","Yavapai County, Arizona!!Number!!Estimate","Yavapai County, Arizona!!Number!!Margin of Error","Yavapai County, Arizona!!Percent Distribution!!Estimate","Yavapai County, Arizona!!Percent Distribution!!Margin of Error","Yavapai County, Arizona!!Median income (dollars)!!Estimate","Yavapai County, Arizona!!Median income (dollars)!!Margin of Error","Yuma County, Arizona!!Number!!Estimate","Yuma County, Arizona!!Number!!Margin of Error","Yuma County, Arizona!!Percent Distribution!!Estimate","Yuma County, Arizona!!Percent Distribution!!Margin of Error","Yuma County, Arizona!!Median income (dollars)!!Estimate","Yuma County, Arizona!!Median income (dollars)!!Margin of Error"
"        Hispanic or Latino origin (of any race)","616,001","±4,086","23.3%","±0.1","52,399","±538","1,102","±125","5.1%","±0.6","43,654","±14,824","14,519","±568","28.5%","±1.0","43,008","±3,330","5,403","±539","11.0%","±1.1","54,243","±6,007","3,581","±254","15.9%","±1.0","50,027","±3,679","3,152","±230","27.8%","±1.9","49,534","±4,327","1,491","±169","45.3%","±3.7","65,542","±3,864","1,900","±238","19.1%","±2.0","38,199","±7,759","358,104","±3,635","22.4%","±0.2","55,169","±816","10,279","±613","11.4%","±0.6","53,220","±3,434","3,361","±315","9.2%","±0.8","37,832","±8,277","120,394","±1,560","29.3%","±0.3","47,472","±1,331","31,266","±927","21.1%","±0.6","56,511","±2,963","12,364","±346","77.0%","±1.1","37,000","±4,495","9,967","±571","9.8%","±0.5","51,668","±3,465","39,118","±867","52.4%","±0.8","46,700","±2,339"
"        White alone, not Hispanic or Latino","1,702,280","±4,850","64.4%","±0.1","66,973","±409","5,091","±221","23.7%","±1.1","59,371","±3,131","32,357","±735","63.5%","±1.1","54,193","±2,661","31,005","±653","63.3%","±1.1","65,995","±2,574","16,203","±422","71.9%","±1.3","48,118","±3,364","6,728","±283","59.3%","±1.9","60,485","±3,694","1,645","±132","49.9%","±3.6","66,992","±4,671","6,753","±290","68.0%","±2.7","34,449","±8,801","1,034,770","±3,569","64.8%","±0.2","74,856","±534","74,710","±958","82.6%","±0.7","46,724","±1,567","18,943","±497","52.0%","±1.1","50,813","±3,102","250,575","±1,786","61.0%","±0.4","61,329","±1,124","101,352","±1,272","68.3%","±0.7","63,189","±1,384","3,455","±177","21.5%","±1.1","51,999","±5,278","86,736","±974","85.7%","±0.6","53,885","±1,838","31,957","±703","42.8%","±0.8","51,107","±1,716"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    15 to 24 years","109,419","±2,565","4.1%","±0.1","36,852","±1,080","250","±66","1.2%","±0.3","20,536","±16,177","1,646","±297","3.2%","±0.6","34,627","±9,447","4,236","±551","8.6%","±1.0","24,358","±5,635","577","±202","2.6%","±0.9","53,625","±19,054","627","±138","5.5%","±1.2","42,212","±24,031","191","±94","5.8%","±2.7","68,072","±6,594","206","±94","2.1%","±0.9","25,938","±8,199","63,245","±2,072","4.0%","±0.1","41,333","±1,480","2,062","±404","2.3%","±0.4","38,976","±8,147","1,028","±234","2.8%","±0.6","21,944","±6,113","25,283","±1,194","6.2%","±0.3","29,903","±1,852","3,369","±597","2.3%","±0.4","38,346","±3,713","632","±283","3.9%","±1.8","28,321","±2,933","1,976","±304","2.0%","±0.3","32,434","±10,922","4,091","±519","5.5%","±0.7","38,664","±3,781"
"    25 to 44 years","835,343","±5,082","31.6%","±0.2","67,184","±617","4,770","±327","22.2%","±1.3","36,307","±4,178","13,352","±538","26.2%","±0.9","54,925","±4,400","15,655","±553","31.9%","±1.1","64,802","±4,158","3,864","±328","17.2%","±1.3","58,276","±13,617","3,664","±253","32.3%","±1.8","64,962","±6,338","1,289","±143","39.1%","±3.7","66,903","±4,617","1,754","±294","17.7%","±2.6","41,318","±12,521","556,720","±3,844","34.9%","±0.2","71,786","±765","17,748","±759","19.6%","±0.8","56,317","±2,599","8,613","±428","23.7%","±0.9","46,360","±5,018","119,523","±1,746","29.1%","±0.4","58,134","±1,664","42,950","±1,201","28.9%","±0.7","70,768","±3,348","4,300","±320","26.8%","±1.8","42,188","±8,038","17,681","±778","17.5%","±0.7","59,524","±5,237","23,460","±881","31.4%","±1.1","56,752","±3,313"
"    45 to 64 years","932,570","±4,286","35.3%","±0.2","73,647","±782","9,534","±284","44.3%","±1.1","35,985","±3,259","17,087","±547","33.6%","±0.9","61,651","±4,100","17,858","±542","36.4%","±1.0","68,032","±4,311","8,082","±397","35.9%","±1.4","50,480","±4,968","3,951","±218","34.8%","±1.8","56,445","±7,688","1,077","±114","32.7%","±3.4","72,986","±6,778","2,477","±268","24.9%","±2.1","41,645","±11,925","579,047","±3,317","36.3%","±0.2","82,036","±967","29,906","±918","33.1%","±0.9","53,262","±2,572","14,440","±474","39.7%","±1.0","45,042","±2,826","137,162","±1,470","33.4%","±0.3","66,131","±1,386","48,719","±1,179","32.8%","±0.7","68,369","±3,108","6,140","±280","38.3%","±1.7","52,672","±4,751","34,515","±823","34.1%","±0.7","60,215","±2,405","22,575","±589","30.3%","±0.8","57,586","±4,263"
"    65 years and over","766,098","±3,499","29.0%","±0.1","48,964","±518","6,951","±249","32.3%","±1.2","30,578","±4,261","18,832","±472","37.0%","±0.9","43,782","±2,914","11,267","±387","23.0%","±0.8","54,764","±2,612","10,000","±282","44.4%","±1.4","40,931","±3,171","3,106","±180","27.4%","±1.5","44,969","±7,284","738","±81","22.4%","±2.1","38,750","±14,625","5,491","±223","55.3%","±2.8","30,757","±8,068","397,772","±2,810","24.9%","±0.2","52,323","±731","40,697","±694","45.0%","±0.8","42,011","±1,506","12,325","±322","33.9%","±0.9","41,042","±3,281","128,974","±1,211","31.4%","±0.3","50,152","±1,142","53,397","±891","36.0%","±0.6","49,314","±1,751","4,977","±272","31.0%","±1.6","32,542","±4,435","47,073","±729","46.5%","±0.8","46,798","±2,498","24,498","±723","32.8%","±0.9","36,161","±1,694"
"FAMILIES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Families","1,720,736","±8,674","1,720,736","±8,674","73,456","±391","14,395","±483","14,395","±483","41,575","±1,956","31,657","±852","31,657","±852","64,128","±2,019","29,108","±966","29,108","±966","74,357","±3,260","14,072","±669","14,072","±669","53,981","±2,733","8,058","±430","8,058","±430","62,004","±3,153","2,379","±197","2,379","±197","66,543","±2,595","6,066","±495","6,066","±495","45,110","±4,164","1,047,899","±6,554","1,047,899","±6,554","80,161","±621","56,530","±1,643","56,530","±1,643","57,058","±1,336","25,548","±807","25,548","±807","50,254","±2,436","250,845","±2,516","250,845","±2,516","69,466","±1,218","105,986","±1,807","105,986","±1,807","69,494","±1,820","11,762","±538","11,762","±538","50,578","±2,089","62,119","±1,538","62,119","±1,538","66,999","±1,895","54,312","±1,160","54,312","±1,160","54,897","±1,983"
"        With own children of householder under 18 years","702,307","±6,489","40.8%","±0.3","69,758","±968","4,895","±358","34.0%","±1.9","34,141","±3,975","12,282","±704","38.8%","±2.0","56,096","±5,133","10,826","±777","37.2%","±2.3","67,210","±3,486","4,287","±458","30.5%","±2.4","51,828","±2,702","3,747","±351","46.5%","±3.3","64,069","±7,400","1,026","±182","43.1%","±7.3","71,408","±13,397","1,684","±288","27.8%","±3.9","42,639","±8,714","457,317","±4,853","43.6%","±0.4","75,166","±1,195","15,333","±844","27.1%","±1.2","56,015","±3,879","9,523","±546","37.3%","±1.7","46,613","±4,999","97,357","±1,883","38.8%","±0.6","62,641","±1,910","40,079","±1,610","37.8%","±1.3","68,906","±3,236","5,045","±439","42.9%","±3.1","44,375","±9,608","15,566","±899","25.1%","±1.2","64,569","±4,842","23,340","±1,015","43.0%","±1.6","51,799","±2,876"
"        With no own children of householder under 18 years","1,018,429","±6,567","59.2%","±0.3","75,633","±478","9,500","±361","66.0%","±1.9","46,588","±3,138","19,375","±808","61.2%","±2.0","67,671","±2,772","18,282","±854","62.8%","±2.3","78,633","±4,663","9,785","±471","69.5%","±2.4","56,670","±4,596","4,311","±326","53.5%","±3.3","61,234","±3,350","1,353","±222","56.9%","±7.3","65,076","±10,778","4,382","±402","72.2%","±3.9","46,563","±8,044","590,582","±5,095","56.4%","±0.4","83,175","±692","41,197","±1,307","72.9%","±1.2","57,372","±1,466","16,025","±631","62.7%","±1.7","52,064","±2,994","153,488","±2,020","61.2%","±0.6","73,123","±1,260","65,907","±1,678","62.2%","±1.3","69,859","±2,182","6,717","±476","57.1%","±3.1","53,797","±4,948","46,553","±1,226","74.9%","±1.2","67,480","±1,989","30,972","±1,111","57.0%","±1.6","56,998","±2,195"
"        Married-couple families","1,256,731","±9,162","73.0%","±0.3","86,678","±469","8,248","±450","57.3%","±2.3","53,368","±1,872","24,123","±789","76.2%","±1.6","74,869","±2,329","20,557","±939","70.6%","±2.3","88,014","±4,060","10,302","±536","73.2%","±2.3","66,460","±5,669","5,642","±397","70.0%","±3.6","73,555","±4,230","1,708","±203","71.8%","±6.1","70,217","±6,369","4,427","±441","73.0%","±4.8","49,712","±9,141","763,885","±7,164","72.9%","±0.4","95,130","±793","42,424","±1,478","75.0%","±1.6","63,526","±1,645","16,739","±749","65.5%","±1.8","65,298","±3,141","177,538","±2,553","70.8%","±0.7","85,187","±1,451","82,665","±1,879","78.0%","±1.1","77,757","±1,937","8,365","±610","71.1%","±3.3","59,069","±7,065","50,390","±1,551","81.1%","±1.6","72,196","±1,999","39,718","±1,244","73.1%","±1.7","61,605","±1,931"
"            With own children under 18 years","463,729","±6,206","26.9%","±0.3","93,074","±1,025","2,443","±257","17.0%","±1.6","53,433","±6,324","8,124","±670","25.7%","±2.0","79,344","±5,276","7,024","±646","24.1%","±2.1","89,016","±6,706","2,648","±332","18.8%","±2.1","78,636","±8,569","2,531","±307","31.4%","±3.4","80,448","±8,335","651","±135","27.4%","±5.9","86,336","±16,536","694","±181","11.4%","±2.9","71,250","±15,120","307,830","±4,780","29.4%","±0.4","99,448","±1,409","8,803","±585","15.6%","±1.0","77,426","±5,486","5,592","±437","21.9%","±1.6","71,636","±4,502","60,239","±1,702","24.0%","±0.6","90,904","±2,361","28,104","±1,446","26.5%","±1.3","86,438","±4,406","3,344","±405","28.4%","±2.9","55,473","±7,894","10,709","±713","17.2%","±1.0","80,880","±4,599","14,993","±908","27.6%","±1.6","69,724","±5,715"
"        Female householder, no spouse present","319,500","±4,305","18.6%","±0.2","40,843","±522","4,743","±353","32.9%","±2.2","26,493","±2,038","5,183","±453","16.4%","±1.3","31,301","±2,688","5,860","±523","20.1%","±1.7","43,348","±4,284","2,687","±320","19.1%","±2.1","29,731","±6,239","1,658","±244","20.6%","±2.9","32,658","±5,402","289","±98","12.1%","±4.2","63,006","±19,186","973","±229","16.0%","±3.5","30,536","±7,767","194,668","±3,671","18.6%","±0.3","44,213","±820","9,028","±839","16.0%","±1.4","39,246","±2,715","6,851","±455","26.8%","±1.7","28,285","±2,151","50,888","±1,484","20.3%","±0.6","37,936","±1,247","15,891","±1,133","15.0%","±1.0","39,478","±2,380","2,300","±360","19.6%","±3.3","33,522","±3,573","7,960","±716","12.8%","±1.1","36,788","±1,972","10,521","±768","19.4%","±1.4","29,022","±2,723"
