"Label (Grouping)","Arizona!!Number!!Estimate","Arizona!!Number!!Margin of Error","Arizona!!Percent Distribution!!Estimate","Arizona!!Percent Distribution!!Margin of Error","Arizona!!Median income (dollars)!!Estimate","Arizona!!Median income (dollars)!!Margin of Error","Apache County, Arizona!!Number!!Estimate","Apache County, Arizona!!Number!!Margin of Error","Apache County, Arizona!!Percent Distribution!!Estimate","Apache County, Arizona!!Percent Distribution!!Margin of Error","Apache County, Arizona!!Median income (dollars)!!Estimate","Apache County, Arizona!!Median income (dollars)!!Margin of Error","Cochise County, Arizona!!Number!!Estimate","Cochise County, Arizona!!Number!!Margin of Error","Cochise County, Arizona!!Percent Distribution!!Estimate","Cochise County, Arizona!!Percent Distribution!!Margin of Error","Cochise County, Arizona!!Median income (dollars)!!Estimate","Cochise County, Arizona!!Median income (dollars)!!Margin of Error","Coconino County, Arizona!!Number!!Estimate","Coconino County, Arizona!!Number!!Margin of Error","Coconino County, Arizona!!Percent Distribution!!Estimate","Coconino County, Arizona!!Percent Distribution!!Margin of Error","Coconino County, Arizona!!Median income (dollars)!!Estimate","Coconino County, Arizona!!Median income (dollars)!!Margin of Error","Gila County, Arizona!!Number!!Estimate","Gila County, Arizona!!Number!!Margin of Error","Gila County, Arizona!!Percent Distribution!!Estimate","Gila County, Arizona!!Percent Distribution!!Margin of Error","Gila County, Arizona!!Median income (dollars)!!Estimate","Gila County, Arizona!!Median income (dollars)!!Margin of Error","Graham County, Arizona!!Number!!Estimate","Graham County, Arizona!!Number!!Margin of Error","Graham County, Arizona!!Percent Distribution!!Estimate","Graham County, Arizona!!Percent Distribution!!Margin of Error","Graham County, Arizona!!Median income (dollars)!!Estimate","Graham County, Arizona!!Median income (dollars)!!Margin of Error","Greenlee County, Arizona!!Number!!Estimate","Greenlee County, Arizona!!Number!!Margin of Error","Greenlee County, Arizona!!Percent Distribution!!Estimate","Greenlee County, Arizona!!Percent Distribution!!Margin of Error","Greenlee County, Arizona!!Median income (dollars)!!Estimate","Greenlee County, Arizona!!Median income (dollars)!!Margin of Error","La Paz County, Arizona!!Number!!Estimate","La Paz County, Arizona!!Number!!Margin of Error","La Paz County, Arizona!!Percent Distribution!!Estimate","La Paz County, Arizona!!Percent Distribution!!Margin of Error","La Paz County, Arizona!!Median income (dollars)!!Estimate","La Paz County, Arizona!!Median income (dollars)!!Margin of Error","Maricopa County, Arizona!!Number!!Estimate","Maricopa County, Arizona!!Number!!Margin of Error","Maricopa County, Arizona!!Percent Distribution!!Estimate","Maricopa County, Arizona!!Percent Distribution!!Margin of Error","Maricopa County, Arizona!!Median income (dollars)!!Estimate","Maricopa County, Arizona!!Median income (dollars)!!Margin of Error","Mohave County, Arizona!!Number!!Estimate","Mohave County, Arizona!!Number!!Margin of Error","Mohave County, Arizona!!Percent Distribution!!Estimate","Mohave County, Arizona!!Percent Distribution!!Margin of Error","Mohave County, Arizona!!Median income (dollars)!!Estimate","Mohave County, Arizona!!Median income (dollars)!!Margin of Error","Navajo County, Arizona!!Number!!Estimate","Navajo County, Arizona!!Number!!Margin of Error","Navajo County, Arizona!!Percent Distribution!!Estimate","Navajo County, Arizona!!Percent Distribution!!Margin of Error","Navajo County, Arizona!!Median income (dollars)!!Estimate","Navajo County, Arizona!!Median income (dollars)!!Margin of Error","Pima County, Arizona!!Number!!Estimate","Pima County, Arizona!!Number!!Margin of Error","Pima County, Arizona!!Percent Distribution!!Estimate","Pima County, Arizona!!Percent Distribution!!Margin of Error","Pima County, Arizona!!Median income (dollars)!!Estimate","Pima County, Arizona!!Median income (dollars)!!Margin of Error","Pinal County, Arizona!!Number!!Estimate","Pinal County, Arizona!!Number!!Margin of Error","Pinal County, Arizona!!Percent Distribution!!Estimate","Pinal County, Arizona!!Percent Distribution!!Margin of Error","Pinal County, Arizona!!Median income (dollars)!!Estimate","Pinal County, Arizona!!Median income (dollars)!!Margin of Error","Santa Cruz County, Arizona!!Number!!Estimate","Santa Cruz County, Arizona!!Number!!Margin of Error","Santa Cruz County, Arizona!!Percent Distribution!!Estimate","Santa Cruz County, Arizona!!Percent Distribution!!Margin of Error","Santa Cruz County, Arizona!!Median income (dollars)!!Estimate","Santa Cruz County, Arizona!!Median income (dollars)!!Margin of Error","Yavapai County, Arizona!!Number!!Estimate","Yavapai County, Arizona!!Number!!Margin of Error","Yavapai County, Arizona!!Percent Distribution!!Estimate","Yavapai County, Arizona!!Percent Distribution!!Margin of Error","Yavapai County, Arizona!!Median income (dollars)!!Estimate","Yavapai County, Arizona!!Median income (dollars)!!Margin of Error","Yuma County, Arizona!!Number!!Estimate","Yuma County, Arizona!!Number!!Margin of Error","Yuma County, Arizona!!Percent Distribution!!Estimate","Yuma County, Arizona!!Percent Distribution!!Margin of Error","Yuma County, Arizona!!Median income (dollars)!!Estimate","Yuma County, Arizona!!Median income (dollars)!!Margin of Error"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Households","2,643,430","±6,290","2,643,430","±6,290","61,529","±286","21,505","±420","21,505","±420","33,967","±2,108","50,917","±825","50,917","±825","51,505","±1,147","49,016","±859","49,016","±859","59,000","±1,900","22,523","±597","22,523","±597","46,907","±3,169","11,348","±319","11,348","±319","55,693","±3,071","3,295","±200","3,295","±200","66,368","±2,017","9,928","±443","9,928","±443","34,956","±5,708","1,596,784","±3,938","1,596,784","±3,938","67,799","±444","90,413","±1,147","90,413","±1,147","47,686","±1,355","36,406","±822","36,406","±822","43,140","±2,357","410,942","±1,914","410,942","±1,914","55,023","±785","148,435","±1,525","148,435","±1,525","60,968","±1,223","16,049","±355","16,049","±355","41,424","±2,990","101,245","±988","101,245","±988","53,329","±1,470","74,624","±1,047","74,624","±1,047","48,790","±1,981"
"        One race--","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            White","2,094,982","±6,817","79.3%","±0.2","63,694","±345","5,840","±236","27.2%","±1.2","57,500","±4,359","43,359","±908","85.2%","±1.1","51,288","±1,394","34,598","±733","70.6%","±1.0","64,580","±1,968","18,621","±522","82.7%","±1.5","48,149","±2,867","9,438","±314","83.2%","±1.7","57,430","±3,680","2,912","±217","88.4%","±4.8","66,753","±3,427","8,068","±356","81.3%","±2.3","35,874","±8,645","1,260,234","±4,689","78.9%","±0.2","70,451","±453","81,953","±1,054","90.6%","±0.6","47,177","±1,421","20,814","±592","57.2%","±1.2","50,123","±3,059","323,644","±2,451","78.8%","±0.5","58,156","±932","123,301","±1,582","83.1%","±0.7","61,914","±1,203","13,167","±491","82.0%","±2.2","41,871","±3,454","92,837","±1,109","91.7%","±0.7","53,626","±1,693","56,196","±998","75.3%","±1.1","47,954","±1,876"
"            Black or African American","110,292","±1,884","4.2%","±0.1","49,418","±1,488","181","±128","0.8%","±0.6","-","**","1,734","±278","3.4%","±0.5","54,850","±14,487","467","±147","1.0%","±0.3","45,011","±20,827","146","±63","0.6%","±0.3","12,571","±4,178","146","±93","1.3%","±0.8","15,776","±7,907","76","±33","2.3%","±1.0","68,702","±617","124","±68","1.2%","±0.7","60,000","±17,068","85,991","±1,703","5.4%","±0.1","50,006","±1,503","744","±220","0.8%","±0.2","43,165","±9,966","221","±91","0.6%","±0.2","43,147","±12,862","13,069","±635","3.2%","±0.2","44,575","±3,220","5,328","±508","3.6%","±0.3","57,808","±7,995","91","±84","0.6%","±0.5","-","**","628","±178","0.6%","±0.2","44,808","±9,705","1,346","±244","1.8%","±0.3","49,306","±7,170"
"            American Indian and Alaska Native","87,128","±1,457","3.3%","±0.1","39,969","±956","14,825","±471","68.9%","±1.3","25,319","±1,425","424","±107","0.8%","±0.2","53,148","±14,296","10,201","±470","20.8%","±0.8","43,492","±3,193","2,214","±226","9.8%","±0.9","35,818","±7,426","1,111","±121","9.8%","±1.0","34,359","±5,960","75","±29","2.3%","±0.9","74,583","±24,957","1,169","±199","11.8%","±1.8","31,977","±15,643","23,992","±870","1.5%","±0.1","52,505","±2,813","1,501","±194","1.7%","±0.2","42,618","±7,392","13,262","±559","36.4%","±1.2","32,418","±2,118","10,831","±540","2.6%","±0.1","40,607","±2,260","5,756","±434","3.9%","±0.3","38,372","±4,530","155","±101","1.0%","±0.6","-","**","848","±164","0.8%","±0.2","49,844","±10,723","764","±133","1.0%","±0.2","35,300","±9,195"
"            Asian","80,691","±1,537","3.1%","±0.1","81,932","±2,586","144","±59","0.7%","±0.3","51,711","±13,017","749","±146","1.5%","±0.3","67,250","±31,917","884","±189","1.8%","±0.4","60,250","±26,516","142","±59","0.6%","±0.3","50,450","±20,007","96","±98","0.8%","±0.9","79,308","±34,128","0","±19","0.0%","±1.2","-","**","57","±33","0.6%","±0.3","-","**","61,733","±1,310","3.9%","±0.1","88,484","±2,578","1,092","±244","1.2%","±0.3","90,588","±42,139","223","±54","0.6%","±0.1","26,845","±1,639","11,631","±588","2.8%","±0.1","60,061","±6,527","2,129","±295","1.4%","±0.2","73,208","±15,286","52","±54","0.3%","±0.3","-","**","764","±139","0.8%","±0.1","67,188","±22,574","995","±141","1.3%","±0.2","59,069","±12,096"
"            Native Hawaiian and Other Pacific Islander","3,861","±389","0.1%","±0.1","66,579","±5,839","18","±7","0.1%","±0.1","-","**","99","±53","0.2%","±0.1","69,063","±29,370","83","±64","0.2%","±0.1","-","**","32","±41","0.1%","±0.2","-","**","0","±28","0.0%","±0.4","-","**","0","±19","0.0%","±1.2","-","**","4","±10","0.0%","±0.1","-","**","2,807","±359","0.2%","±0.1","70,057","±7,175","129","±69","0.1%","±0.1","250,000+","***","34","±20","0.1%","±0.1","35,938","±11,974","450","±147","0.1%","±0.1","36,806","±30,749","154","±115","0.1%","±0.1","73,158","±53,234","0","±28","0.0%","±0.2","-","**","0","±31","0.0%","±0.1","-","**","51","±38","0.1%","±0.1","30,179","±5,800"
"            Some other race","131,499","±4,128","5.0%","±0.2","49,176","±1,744","240","±93","1.1%","±0.4","52,206","±30,269","1,047","±265","2.1%","±0.5","41,453","±16,408","1,084","±250","2.2%","±0.5","60,625","±14,245","602","±211","2.7%","±0.9","50,719","±7,140","182","±75","1.6%","±0.7","43,750","±12,614","26","±18","0.8%","±0.5","54,038","±36,214","240","±103","2.4%","±1.0","34,492","±2,546","80,081","±3,503","5.0%","±0.2","52,986","±2,290","1,781","±386","2.0%","±0.4","54,471","±5,291","1,027","±191","2.8%","±0.5","33,858","±6,951","27,532","±1,352","6.7%","±0.3","41,232","±1,265","5,754","±835","3.9%","±0.6","46,227","±8,574","1,202","±308","7.5%","±1.9","49,655","±13,613","2,430","±499","2.4%","±0.5","47,443","±9,795","8,271","±811","11.1%","±1.0","45,403","±4,302"
"        Two or more races","134,977","±3,804","5.1%","±0.1","60,831","±2,035","257","±107","1.2%","±0.5","60,625","±22,988","3,505","±478","6.9%","±0.9","52,203","±6,343","1,699","±355","3.5%","±0.7","48,647","±5,772","766","±250","3.4%","±1.1","52,467","±19,317","375","±124","3.3%","±1.1","73,750","±26,151","206","±158","6.3%","±4.7","-","**","266","±94","2.7%","±0.9","33,603","±7,803","81,946","±3,526","5.1%","±0.2","65,150","±2,591","3,213","±429","3.6%","±0.5","51,195","±4,856","825","±170","2.3%","±0.5","39,583","±12,796","23,785","±1,784","5.8%","±0.4","54,510","±2,554","6,013","±690","4.1%","±0.5","73,312","±12,939","1,382","±319","8.6%","±2.0","31,311","±12,109","3,738","±527","3.7%","±0.5","52,066","±15,915","7,001","±649","9.4%","±0.9","58,467","±10,886"
