"Label (Grouping)","Arizona!!Total!!Estimate","Arizona!!Total!!Margin of Error","Arizona!!Median income (dollars)!!Estimate","Arizona!!Median income (dollars)!!Margin of Error","Apache County, Arizona!!Total!!Estimate","Apache County, Arizona!!Total!!Margin of Error","Apache County, Arizona!!Median income (dollars)!!Estimate","Apache County, Arizona!!Median income (dollars)!!Margin of Error","Cochise County, Arizona!!Total!!Estimate","Cochise County, Arizona!!Total!!Margin of Error","Cochise County, Arizona!!Median income (dollars)!!Estimate","Cochise County, Arizona!!Median income (dollars)!!Margin of Error","Coconino County, Arizona!!Total!!Estimate","Coconino County, Arizona!!Total!!Margin of Error","Coconino County, Arizona!!Median income (dollars)!!Estimate","Coconino County, Arizona!!Median income (dollars)!!Margin of Error","Gila County, Arizona!!Total!!Estimate","Gila County, Arizona!!Total!!Margin of Error","Gila County, Arizona!!Median income (dollars)!!Estimate","Gila County, Arizona!!Median income (dollars)!!Margin of Error","Graham County, Arizona!!Total!!Estimate","Graham County, Arizona!!Total!!Margin of Error","Graham County, Arizona!!Median income (dollars)!!Estimate","Graham County, Arizona!!Median income (dollars)!!Margin of Error","Greenlee County, Arizona!!Total!!Estimate","Greenlee County, Arizona!!Total!!Margin of Error","Greenlee County, Arizona!!Median income (dollars)!!Estimate","Greenlee County, Arizona!!Median income (dollars)!!Margin of Error","La Paz County, Arizona!!Total!!Estimate","La Paz County, Arizona!!Total!!Margin of Error","La Paz County, Arizona!!Median income (dollars)!!Estimate","La Paz County, Arizona!!Median income (dollars)!!Margin of Error","Maricopa County, Arizona!!Total!!Estimate","Maricopa County, Arizona!!Total!!Margin of Error","Maricopa County, Arizona!!Median income (dollars)!!Estimate","Maricopa County, Arizona!!Median income (dollars)!!Margin of Error","Mohave County, Arizona!!Total!!Estimate","Mohave County, Arizona!!Total!!Margin of Error","Mohave County, Arizona!!Median income (dollars)!!Estimate","Mohave County, Arizona!!Median income (dollars)!!Margin of Error","Navajo County, Arizona!!Total!!Estimate","Navajo County, Arizona!!Total!!Margin of Error","Navajo County, Arizona!!Median income (dollars)!!Estimate","Navajo County, Arizona!!Median income (dollars)!!Margin of Error","Pima County, Arizona!!Total!!Estimate","Pima County, Arizona!!Total!!Margin of Error","Pima County, Arizona!!Median income (dollars)!!Estimate","Pima County, Arizona!!Median income (dollars)!!Margin of Error","Pinal County, Arizona!!Total!!Estimate","Pinal County, Arizona!!Total!!Margin of Error","Pinal County, Arizona!!Median income (dollars)!!Estimate","Pinal County, Arizona!!Median income (dollars)!!Margin of Error","Santa Cruz County, Arizona!!Total!!Estimate","Santa Cruz County, Arizona!!Total!!Margin of Error","Santa Cruz County, Arizona!!Median income (dollars)!!Estimate","Santa Cruz County, Arizona!!Median income (dollars)!!Margin of Error","Yavapai County, Arizona!!Total!!Estimate","Yavapai County, Arizona!!Total!!Margin of Error","Yavapai County, Arizona!!Median income (dollars)!!Estimate","Yavapai County, Arizona!!Median income (dollars)!!Margin of Error","Yuma County, Arizona!!Total!!Estimate","Yuma County, Arizona!!Total!!Margin of Error","Yuma County, Arizona!!Median income (dollars)!!Estimate","Yuma County, Arizona!!Median income (dollars)!!Margin of Error"
"Hispanic or Latino origin (of any race)","22.1%","±0.1","39,020","±528","5.6%","±0.7","34,178","±7,412","26.3%","±1.0","35,446","±2,825","11.7%","±0.6","46,345","±3,792","14.9%","±1.0","40,048","±7,933","26.6%","±1.8","46,223","±6,202","43.7%","±2.9","46,000","±9,015","16.4%","±1.6","36,610","±2,891","21.3%","±0.2","40,294","±544","10.0%","±0.6","32,186","±4,848","9.2%","±0.7","33,107","±5,195","27.0%","±0.3","36,745","±1,107","20.2%","±0.6","43,213","±1,912","74.0%","±1.3","34,613","±3,384","8.7%","±0.5","36,870","±2,434","51.3%","±0.7","35,293","±1,454"
"White alone, not Hispanic or Latino","66.9%","±0.1","55,800","±326","26.3%","±1.4","47,235","±6,711","66.3%","±1.1","48,688","±1,693","63.8%","±0.9","56,873","±2,110","73.8%","±1.4","40,872","±1,654","62.5%","±2.0","47,980","±2,438","51.7%","±3.0","52,665","±7,450","70.5%","±2.6","34,883","±6,841","67.6%","±0.2","61,487","±424","85.5%","±0.7","39,068","±1,134","53.5%","±0.9","46,445","±2,312","63.9%","±0.3","52,205","±661","70.5%","±0.7","51,990","±910","24.2%","±1.2","50,518","±4,285","87.5%","±0.5","45,781","±1,469","43.9%","±0.6","48,459","±2,023"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    15 to 24 years","4.6%","±0.1","25,660","±611","1.8%","±0.5","12,750","±8,396","4.4%","±0.7","23,964","±7,624","10.8%","±1.0","17,295","±2,296","2.5%","±0.8","40,927","±18,624","6.5%","±1.3","20,526","±10,120","4.0%","±1.6","53,571","±16,642","3.3%","±1.5","30,347","±9,014","4.4%","±0.1","28,460","±1,132","2.7%","±0.4","25,647","±6,443","3.4%","±0.6","17,500","±3,510","6.4%","±0.2","20,112","±1,196","2.2%","±0.3","33,946","±2,900","3.5%","±1.3","24,917","±12,946","2.6%","±0.4","25,139","±3,522","5.8%","±0.7","27,760","±2,769"
"    25 to 44 years","32.9%","±0.1","53,913","±488","23.0%","±1.4","34,246","±2,832","25.7%","±1.1","54,978","±3,108","31.6%","±0.8","55,225","±3,213","18.3%","±1.3","44,392","±3,559","29.6%","±2.0","51,317","±4,539","39.2%","±2.7","60,859","±7,553","15.3%","±2.5","35,286","±4,073","36.4%","±0.2","56,766","±540","19.8%","±0.8","44,772","±2,891","24.7%","±1.0","36,882","±3,570","29.8%","±0.3","48,938","±1,118","32.5%","±0.8","54,629","±2,667","28.5%","±1.7","44,071","±6,479","18.7%","±0.5","50,199","±3,118","32.6%","±0.6","46,860","±2,717"
"    45 to 64 years","36.9%","±0.1","59,446","±532","46.3%","±1.4","34,247","±1,522","38.0%","±1.0","52,284","±2,490","39.0%","±0.8","60,722","±3,965","38.9%","±1.5","41,383","±3,956","37.8%","±1.7","57,254","±9,489","34.2%","±2.6","57,754","±6,440","33.8%","±2.0","33,106","±4,070","36.8%","±0.2","66,005","±643","37.7%","±0.9","41,166","±1,473","42.3%","±1.0","40,819","±2,806","36.4%","±0.3","56,124","±986","35.1%","±0.7","53,927","±2,155","40.8%","±1.8","47,448","±6,165","38.8%","±0.7","48,852","±2,048","32.2%","±0.7","47,891","±1,676"
"    65 years and over","25.6%","±0.1","40,550","±343","28.9%","±1.2","27,081","±2,317","32.0%","±0.9","34,611","±2,177","18.6%","±0.6","45,226","±3,346","40.3%","±1.3","36,543","±2,084","26.1%","±1.6","32,031","±3,966","22.6%","±1.7","28,359","±6,232","47.5%","±3.6","37,581","±9,195","22.3%","±0.1","42,589","±435","39.8%","±0.8","35,603","±1,095","29.6%","±0.8","32,071","±2,413","27.3%","±0.2","41,007","±701","30.1%","±0.6","40,960","±1,182","27.2%","±1.5","28,059","±3,433","39.8%","±0.7","41,084","±1,421","29.4%","±0.7","33,654","±2,115"
"FAMILIES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Families","1,581,380","±7,010","59,480","±381","13,236","±440","37,674","±1,955","32,200","±836","55,471","±1,841","29,887","±662","61,083","±2,522","13,802","±606","47,335","±2,845","7,765","±356","54,424","±4,310","2,316","±162","57,574","±6,027","5,670","±617","41,530","±5,806","945,115","±5,237","64,751","±468","51,465","±1,478","46,268","±1,051","24,289","±638","42,673","±1,485","239,972","±2,230","57,457","±718","91,302","±1,538","55,362","±969","11,568","±488","44,257","±3,771","58,562","±1,307","54,475","±1,262","54,231","±1,206","44,088","±1,330"
"        With own children of householder under 18 years","42.8%","±0.3","53,937","±553","38.7%","±2.0","32,243","±2,155","37.0%","±1.5","51,630","±3,281","40.2%","±1.4","57,803","±4,724","28.8%","±1.9","42,670","±4,372","45.3%","±2.7","49,753","±4,136","43.5%","±3.5","57,660","±14,672","25.0%","±3.2","34,620","±3,083","45.7%","±0.3","58,234","±829","29.2%","±1.2","39,314","±3,529","38.3%","±1.3","34,949","±3,858","40.6%","±0.6","50,628","±852","41.0%","±1.0","51,288","±1,242","49.3%","±2.7","41,136","±6,670","27.7%","±1.0","49,328","±4,191","46.3%","±1.2","40,326","±2,049"
"        With no own children of householder under 18 years","57.2%","±0.3","62,959","±399","61.3%","±2.0","41,184","±1,828","63.0%","±1.5","57,882","±3,043","59.8%","±1.4","63,707","±3,897","71.2%","±1.9","48,379","±2,936","54.7%","±2.7","60,146","±6,686","56.5%","±3.5","57,500","±5,652","75.0%","±3.2","45,074","±6,114","54.3%","±0.3","69,416","±622","70.8%","±1.2","48,018","±1,823","61.7%","±1.3","46,009","±2,079","59.4%","±0.6","61,638","±893","59.0%","±1.0","57,752","±1,436","50.7%","±2.7","47,050","±4,692","72.3%","±1.0","55,892","±1,426","53.7%","±1.2","46,854","±1,781"
"        Married-couple families","72.3%","±0.3","71,490","±350","58.2%","±2.1","50,543","±2,649","75.3%","±1.7","65,190","±2,238","70.0%","±1.7","79,367","±3,502","73.0%","±2.9","51,897","±3,194","73.9%","±2.7","66,710","±4,418","67.7%","±5.5","65,582","±5,524","76.9%","±3.7","46,611","±5,812","71.8%","±0.3","79,072","±583","76.1%","±1.6","51,891","±1,172","65.9%","±1.7","52,956","±2,021","70.7%","±0.7","70,857","±873","75.8%","±0.9","63,811","±1,662","71.3%","±2.7","50,785","±3,220","80.0%","±1.2","60,192","±1,462","75.2%","±1.5","50,948","±1,789"
"        Female householder, no husband present","19.4%","±0.3","32,147","±394","31.4%","±1.9","24,797","±1,419","18.2%","±1.3","27,181","±3,595","20.3%","±1.6","30,424","±2,351","18.5%","±2.3","26,965","±3,903","17.3%","±2.4","29,421","±6,007","20.0%","±3.8","26,224","±3,333","15.4%","±3.3","24,537","±3,799","19.6%","±0.3","35,449","±584","16.9%","±1.3","29,046","±1,968","25.8%","±1.4","20,909","±2,182","20.8%","±0.6","29,085","±952","16.6%","±0.8","30,751","±2,284","21.3%","±2.4","26,717","±2,935","14.8%","±1.2","32,923","±2,960","16.9%","±1.2","23,168","±3,106"
"        Male householder, no wife present","8.3%","±0.1","41,512","±811","10.3%","±1.2","18,487","±5,068","6.5%","±1.1","40,167","±5,570","9.7%","±1.2","40,724","±9,863","8.5%","±1.7","34,886","±12,485","8.8%","±2.0","45,780","±3,784","12.3%","±3.4","55,156","±15,329","7.7%","±2.2","24,397","±2,148","8.6%","±0.2","44,722","±1,325","7.0%","±1.0","32,266","±2,156","8.3%","±1.0","38,773","±4,782","8.6%","±0.4","40,261","±1,435","7.7%","±0.7","38,986","±4,171","7.5%","±1.9","33,141","±12,710","5.3%","±0.7","34,978","±4,354","8.0%","±1.0","31,453","±3,138"
"NONFAMILY HOUSEHOLDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Nonfamily households","830,832","±4,718","32,283","±223","6,036","±358","16,129","±1,652","16,625","±675","26,870","±1,403","16,732","±834","31,366","±2,625","7,107","±566","23,137","±1,922","3,194","±268","24,517","±4,150","903","±130","37,132","±10,571","3,695","±446","19,781","±4,024","497,403","±3,585","36,106","±330","29,367","±1,313","24,563","±1,018","9,840","±622","21,948","±1,893","149,686","±2,304","29,440","±683","36,297","±1,176","30,564","±1,152","3,791","±365","20,007","±2,451","33,748","±1,250","27,189","±1,479","16,408","±821","26,634","±1,664"
"        Female householder","51.3%","±0.4","29,608","±438","45.8%","±2.7","15,280","±1,697","53.5%","±2.3","23,532","±2,266","47.6%","±2.6","29,144","±2,127","50.9%","±3.2","20,912","±1,841","55.9%","±5.4","(X)","(X)","29.9%","±5.7","24,524","±6,234","43.7%","±5.7","(X)","(X)","51.3%","±0.5","32,465","±423","49.6%","±1.7","23,012","±1,129","49.4%","±2.7","20,740","±2,625","52.3%","±0.8","27,077","±765","50.4%","±1.8","26,282","±1,223","51.5%","±5.0","(X)","(X)","54.8%","±2.0","25,088","±1,691","48.3%","±2.7","21,987","±1,933"
"            Living alone","42.2%","±0.4","26,191","±322","40.7%","±2.7","14,121","±1,721","46.4%","±2.5","21,031","±1,507","32.2%","±2.5","27,635","±1,996","43.4%","±3.0","20,069","±2,282","49.4%","±5.2","(X)","(X)","28.6%","±5.8","23,810","±4,337","38.9%","±6.0","(X)","(X)","41.8%","±0.5","29,053","±554","39.0%","±1.7","20,050","±1,155","43.6%","±2.8","18,477","±2,678","43.2%","±0.8","24,956","±647","42.8%","±1.9","24,074","±1,203","45.6%","±5.2","(X)","(X)","46.7%","±2.0","23,154","±1,321","42.2%","±2.6","19,231","±1,701"
"            Not living alone","9.2%","±0.2","51,721","±1,292","5.2%","±1.5","22,750","±15,558","7.1%","±1.7","40,489","±7,219","15.4%","±1.8","38,598","±6,877","7.5%","±2.6","33,616","±14,702","6.5%","±2.8","(X)","(X)","1.3%","±1.4","-","**","4.8%","±2.4","(X)","(X)","9.5%","±0.2","58,543","±1,981","10.5%","±1.3","40,693","±3,699","5.9%","±1.3","32,400","±9,694","9.1%","±0.5","43,506","±2,931","7.6%","±1.1","43,542","±10,132","5.9%","±2.5","(X)","(X)","8.1%","±1.3","54,639","±9,123","6.1%","±1.1","47,045","±9,969"
"        Male householder","48.7%","±0.4","36,179","±426","54.2%","±2.7","17,452","±3,190","46.5%","±2.3","30,950","±3,156","52.4%","±2.6","33,831","±2,755","49.1%","±3.2","27,048","±5,157","44.1%","±5.4","(X)","(X)","70.1%","±5.7","43,661","±9,575","56.3%","±5.7","(X)","(X)","48.7%","±0.5","40,312","±497","50.4%","±1.7","26,729","±1,423","50.6%","±2.7","23,189","±2,248","47.7%","±0.8","32,109","±889","49.6%","±1.8","35,168","±2,049","48.5%","±5.0","(X)","(X)","45.2%","±2.0","29,698","±2,415","51.7%","±2.7","31,861","±2,254"
"            Living alone","37.2%","±0.4","31,257","±339","47.2%","±2.8","14,795","±2,454","38.5%","±2.3","27,885","±2,504","33.8%","±2.6","26,358","±2,996","41.8%","±3.6","24,583","±3,980","38.4%","±4.6","(X)","(X)","51.5%","±8.7","27,083","±17,452","45.5%","±6.0","(X)","(X)","36.7%","±0.5","34,293","±725","38.7%","±1.7","23,426","±1,754","43.6%","±2.6","21,164","±3,156","36.8%","±0.8","28,492","±1,214","40.1%","±1.9","30,452","±2,351","40.2%","±5.9","(X)","(X)","35.6%","±1.8","26,483","±2,588","39.6%","±2.8","28,012","±3,102"
"            Not living alone","11.5%","±0.3","58,357","±1,427","7.0%","±1.9","48,611","±37,205","7.9%","±1.5","54,135","±20,701","18.5%","±2.3","46,699","±5,166","7.3%","±2.3","45,896","±9,454","5.7%","±2.8","(X)","(X)","18.6%","±7.0","67,083","±10,631","10.8%","±4.5","(X)","(X)","12.0%","±0.3","64,003","±1,806","11.8%","±1.4","44,348","±4,608","7.0%","±1.6","31,344","±3,133","10.9%","±0.6","50,411","±2,888","9.5%","±1.1","61,089","±6,833","8.3%","±3.1","(X)","(X)","9.6%","±1.4","42,630","±4,341","12.0%","±1.9","55,054","±11,678"
"PERCENT IMPUTED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Household income in the past 12 months","32.2%","(X)","(X)","(X)","42.8%","(X)","(X)","(X)","30.9%","(X)","(X)","(X)","34.4%","(X)","(X)","(X)","34.0%","(X)","(X)","(X)","40.9%","(X)","(X)","(X)","41.8%","(X)","(X)","(X)","26.6%","(X)","(X)","(X)","32.8%","(X)","(X)","(X)","33.5%","(X)","(X)","(X)","37.8%","(X)","(X)","(X)","27.7%","(X)","(X)","(X)","32.6%","(X)","(X)","(X)","34.4%","(X)","(X)","(X)","35.7%","(X)","(X)","(X)","29.6%","(X)","(X)","(X)"
"    Family income in the past 12 months","32.7%","(X)","(X)","(X)","45.8%","(X)","(X)","(X)","31.9%","(X)","(X)","(X)","33.9%","(X)","(X)","(X)","35.2%","(X)","(X)","(X)","41.9%","(X)","(X)","(X)","42.0%","(X)","(X)","(X)","32.6%","(X)","(X)","(X)","33.1%","(X)","(X)","(X)","34.2%","(X)","(X)","(X)","40.4%","(X)","(X)","(X)","28.6%","(X)","(X)","(X)","32.0%","(X)","(X)","(X)","36.1%","(X)","(X)","(X)","36.3%","(X)","(X)","(X)","29.5%","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","29.5%","(X)","(X)","(X)","33.3%","(X)","(X)","(X)","28.3%","(X)","(X)","(X)","31.4%","(X)","(X)","(X)","29.3%","(X)","(X)","(X)","36.3%","(X)","(X)","(X)","37.5%","(X)","(X)","(X)","16.6%","(X)","(X)","(X)","30.4%","(X)","(X)","(X)","30.7%","(X)","(X)","(X)","28.9%","(X)","(X)","(X)","25.0%","(X)","(X)","(X)","31.3%","(X)","(X)","(X)","27.2%","(X)","(X)","(X)","33.5%","(X)","(X)","(X)","28.6%","(X)","(X)","(X)"
