"Label (Grouping)","Arizona!!Total!!Estimate","Arizona!!Total!!Margin of Error","Arizona!!Median income (dollars)!!Estimate","Arizona!!Median income (dollars)!!Margin of Error","Apache County, Arizona!!Total!!Estimate","Apache County, Arizona!!Total!!Margin of Error","Apache County, Arizona!!Median income (dollars)!!Estimate","Apache County, Arizona!!Median income (dollars)!!Margin of Error","Cochise County, Arizona!!Total!!Estimate","Cochise County, Arizona!!Total!!Margin of Error","Cochise County, Arizona!!Median income (dollars)!!Estimate","Cochise County, Arizona!!Median income (dollars)!!Margin of Error","Coconino County, Arizona!!Total!!Estimate","Coconino County, Arizona!!Total!!Margin of Error","Coconino County, Arizona!!Median income (dollars)!!Estimate","Coconino County, Arizona!!Median income (dollars)!!Margin of Error","Gila County, Arizona!!Total!!Estimate","Gila County, Arizona!!Total!!Margin of Error","Gila County, Arizona!!Median income (dollars)!!Estimate","Gila County, Arizona!!Median income (dollars)!!Margin of Error","Graham County, Arizona!!Total!!Estimate","Graham County, Arizona!!Total!!Margin of Error","Graham County, Arizona!!Median income (dollars)!!Estimate","Graham County, Arizona!!Median income (dollars)!!Margin of Error","Greenlee County, Arizona!!Total!!Estimate","Greenlee County, Arizona!!Total!!Margin of Error","Greenlee County, Arizona!!Median income (dollars)!!Estimate","Greenlee County, Arizona!!Median income (dollars)!!Margin of Error","La Paz County, Arizona!!Total!!Estimate","La Paz County, Arizona!!Total!!Margin of Error","La Paz County, Arizona!!Median income (dollars)!!Estimate","La Paz County, Arizona!!Median income (dollars)!!Margin of Error","Maricopa County, Arizona!!Total!!Estimate","Maricopa County, Arizona!!Total!!Margin of Error","Maricopa County, Arizona!!Median income (dollars)!!Estimate","Maricopa County, Arizona!!Median income (dollars)!!Margin of Error","Mohave County, Arizona!!Total!!Estimate","Mohave County, Arizona!!Total!!Margin of Error","Mohave County, Arizona!!Median income (dollars)!!Estimate","Mohave County, Arizona!!Median income (dollars)!!Margin of Error","Navajo County, Arizona!!Total!!Estimate","Navajo County, Arizona!!Total!!Margin of Error","Navajo County, Arizona!!Median income (dollars)!!Estimate","Navajo County, Arizona!!Median income (dollars)!!Margin of Error","Pima County, Arizona!!Total!!Estimate","Pima County, Arizona!!Total!!Margin of Error","Pima County, Arizona!!Median income (dollars)!!Estimate","Pima County, Arizona!!Median income (dollars)!!Margin of Error","Pinal County, Arizona!!Total!!Estimate","Pinal County, Arizona!!Total!!Margin of Error","Pinal County, Arizona!!Median income (dollars)!!Estimate","Pinal County, Arizona!!Median income (dollars)!!Margin of Error","Santa Cruz County, Arizona!!Total!!Estimate","Santa Cruz County, Arizona!!Total!!Margin of Error","Santa Cruz County, Arizona!!Median income (dollars)!!Estimate","Santa Cruz County, Arizona!!Median income (dollars)!!Margin of Error","Yavapai County, Arizona!!Total!!Estimate","Yavapai County, Arizona!!Total!!Margin of Error","Yavapai County, Arizona!!Median income (dollars)!!Estimate","Yavapai County, Arizona!!Median income (dollars)!!Margin of Error","Yuma County, Arizona!!Total!!Estimate","Yuma County, Arizona!!Total!!Margin of Error","Yuma County, Arizona!!Median income (dollars)!!Estimate","Yuma County, Arizona!!Median income (dollars)!!Margin of Error"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Households","2,412,212","±7,194","50,255","±211","19,272","±376","31,757","±1,377","48,825","±843","45,075","±1,485","46,619","±803","50,234","±1,876","20,909","±611","39,751","±1,776","10,959","±313","45,964","±2,599","3,219","±147","51,628","±5,310","9,365","±517","34,466","±4,358","1,442,518","±4,990","54,229","±365","80,832","±1,325","38,488","±1,064","34,129","±626","35,921","±1,585","389,658","±2,028","46,162","±620","127,599","±1,647","49,477","±1,077","15,359","±392","40,140","±2,637","92,310","±1,092","44,748","±1,150","70,639","±1,083","40,743","±1,111"
"    One race--","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        White","83.2%","±0.1","52,015","±232","30.3%","±1.5","42,488","±5,502","84.9%","±0.9","46,090","±1,452","71.2%","±1.1","55,850","±1,888","86.6%","±1.0","40,745","±1,729","84.5%","±1.7","47,676","±2,716","91.4%","±2.6","48,375","±6,376","80.1%","±2.2","35,247","±5,507","83.7%","±0.2","56,337","±405","92.6%","±0.5","38,500","±1,090","58.8%","±1.0","45,641","±2,188","82.5%","±0.3","48,801","±739","85.7%","±0.6","50,501","±826","81.7%","±2.7","41,819","±2,665","94.0%","±0.5","45,086","±1,345","80.6%","±1.0","41,798","±1,274"
"        Black or African American","4.0%","±0.1","39,483","±1,249","0.5%","±0.2","31,761","±6,837","3.0%","±0.4","66,734","±17,957","1.4%","±0.3","29,613","±20,049","0.5%","±0.4","(X)","(X)","0.7%","±0.7","(X)","(X)","0.8%","±0.5","100,682","±28,324","0.0%","±0.1","-","**","5.2%","±0.1","39,059","±1,369","0.8%","±0.2","30,859","±20,119","0.4%","±0.2","(X)","(X)","3.3%","±0.2","36,278","±4,587","3.6%","±0.3","52,107","±7,831","0.4%","±0.3","101,563","±37,874","0.5%","±0.1","50,781","±9,471","2.0%","±0.3","44,348","±10,714"
"        American Indian and Alaska Native","3.2%","±0.1","31,593","±735","65.9%","±1.4","25,600","±1,300","1.0%","±0.3","(X)","(X)","20.3%","±0.7","37,171","±1,970","8.8%","±0.7","26,274","±2,660","9.0%","±0.9","27,984","±8,552","3.1%","±1.6","90,446","±47,877","11.9%","±1.4","30,083","±4,964","1.5%","±0.1","41,137","±1,521","1.5%","±0.2","36,111","±8,766","35.4%","±0.9","24,805","±1,335","2.5%","±0.1","29,877","±2,963","4.1%","±0.3","26,310","±5,727","0.4%","±0.2","(X)","(X)","1.3%","±0.2","37,228","±10,811","1.0%","±0.2","26,896","±4,756"
"        Asian","2.7%","±0.1","66,274","±1,727","0.5%","±0.2","59,632","±23,650","1.8%","±0.3","61,761","±22,927","1.5%","±0.3","34,792","±14,238","0.5%","±0.2","82,847","±10,716","0.4%","±0.3","69,010","±4,865","0.2%","±0.5","-","**","1.0%","±0.4","(X)","(X)","3.4%","±0.1","70,947","±1,627","0.9%","±0.2","56,756","±21,995","0.5%","±0.2","42,396","±20,042","2.6%","±0.1","45,337","±3,407","1.1%","±0.2","66,494","±12,943","0.9%","±0.3","73,472","±35,919","0.8%","±0.2","71,563","±20,890","1.2%","±0.2","69,716","±26,858"
"        Native Hawaiian and Other Pacific Islander","0.1%","±0.1","47,056","±7,968","0.0%","±0.1","48,250","±14,594","0.1%","±0.1","27,650","±19,064","0.2%","±0.1","(X)","(X)","0.0%","±0.2","-","**","0.1%","±0.2","-","**","0.0%","±1.1","-","**","0.5%","±0.4","2,500-","***","0.1%","±0.1","51,585","±6,940","0.1%","±0.1","(X)","(X)","0.1%","±0.1","38,250","±21,610","0.1%","±0.1","(X)","(X)","0.1%","±0.1","27,719","±14,827","0.2%","±0.2","-","**","0.0%","±0.1","-","**","0.1%","±0.1","53,162","±33,559"
"        Some other race","4.8%","±0.1","36,669","±740","1.2%","±0.5","29,907","±18,984","6.1%","±0.8","33,996","±4,587","3.4%","±0.6","49,012","±11,859","1.7%","±0.5","47,880","±21,535","3.7%","±1.2","35,086","±15,305","4.2%","±1.9","56,563","±28,936","5.5%","±1.3","35,519","±8,594","4.4%","±0.1","38,778","±1,499","1.6%","±0.3","33,831","±10,864","3.0%","±0.5","26,563","±11,122","6.8%","±0.3","32,209","±1,597","4.1%","±0.4","44,436","±2,375","15.3%","±2.6","25,197","±10,713","1.6%","±0.4","35,493","±4,253","13.5%","±0.9","35,460","±2,511"
"    Two or more races","1.9%","±0.1","46,092","±1,489","1.7%","±0.6","21,875","±21,587","3.0%","±0.5","41,858","±14,417","2.0%","±0.5","29,196","±16,488","1.9%","±0.6","38,551","±7,493","1.4%","±0.7","71,923","±16,111","0.2%","±0.3","(X)","(X)","1.1%","±0.5","59,286","±20,840","1.8%","±0.1","49,954","±2,063","2.5%","±0.3","42,102","±10,649","1.9%","±0.5","46,979","±14,769","2.2%","±0.2","42,429","±4,530","1.4%","±0.3","56,845","±14,117","1.1%","±0.6","58,750","±49,308","1.8%","±0.3","35,132","±5,524","1.7%","±0.3","39,817","±3,573"
