"Label (Grouping)","Arizona!!Total!!Estimate","Arizona!!Total!!Margin of Error","Arizona!!Median income (dollars)!!Estimate","Arizona!!Median income (dollars)!!Margin of Error","Apache County, Arizona!!Total!!Estimate","Apache County, Arizona!!Total!!Margin of Error","Apache County, Arizona!!Median income (dollars)!!Estimate","Apache County, Arizona!!Median income (dollars)!!Margin of Error","Cochise County, Arizona!!Total!!Estimate","Cochise County, Arizona!!Total!!Margin of Error","Cochise County, Arizona!!Median income (dollars)!!Estimate","Cochise County, Arizona!!Median income (dollars)!!Margin of Error","Coconino County, Arizona!!Total!!Estimate","Coconino County, Arizona!!Total!!Margin of Error","Coconino County, Arizona!!Median income (dollars)!!Estimate","Coconino County, Arizona!!Median income (dollars)!!Margin of Error","Gila County, Arizona!!Total!!Estimate","Gila County, Arizona!!Total!!Margin of Error","Gila County, Arizona!!Median income (dollars)!!Estimate","Gila County, Arizona!!Median income (dollars)!!Margin of Error","Graham County, Arizona!!Total!!Estimate","Graham County, Arizona!!Total!!Margin of Error","Graham County, Arizona!!Median income (dollars)!!Estimate","Graham County, Arizona!!Median income (dollars)!!Margin of Error","Greenlee County, Arizona!!Total!!Estimate","Greenlee County, Arizona!!Total!!Margin of Error","Greenlee County, Arizona!!Median income (dollars)!!Estimate","Greenlee County, Arizona!!Median income (dollars)!!Margin of Error","La Paz County, Arizona!!Total!!Estimate","La Paz County, Arizona!!Total!!Margin of Error","La Paz County, Arizona!!Median income (dollars)!!Estimate","La Paz County, Arizona!!Median income (dollars)!!Margin of Error","Maricopa County, Arizona!!Total!!Estimate","Maricopa County, Arizona!!Total!!Margin of Error","Maricopa County, Arizona!!Median income (dollars)!!Estimate","Maricopa County, Arizona!!Median income (dollars)!!Margin of Error","Mohave County, Arizona!!Total!!Estimate","Mohave County, Arizona!!Total!!Margin of Error","Mohave County, Arizona!!Median income (dollars)!!Estimate","Mohave County, Arizona!!Median income (dollars)!!Margin of Error","Navajo County, Arizona!!Total!!Estimate","Navajo County, Arizona!!Total!!Margin of Error","Navajo County, Arizona!!Median income (dollars)!!Estimate","Navajo County, Arizona!!Median income (dollars)!!Margin of Error","Pima County, Arizona!!Total!!Estimate","Pima County, Arizona!!Total!!Margin of Error","Pima County, Arizona!!Median income (dollars)!!Estimate","Pima County, Arizona!!Median income (dollars)!!Margin of Error","Pinal County, Arizona!!Total!!Estimate","Pinal County, Arizona!!Total!!Margin of Error","Pinal County, Arizona!!Median income (dollars)!!Estimate","Pinal County, Arizona!!Median income (dollars)!!Margin of Error","Santa Cruz County, Arizona!!Total!!Estimate","Santa Cruz County, Arizona!!Total!!Margin of Error","Santa Cruz County, Arizona!!Median income (dollars)!!Estimate","Santa Cruz County, Arizona!!Median income (dollars)!!Margin of Error","Yavapai County, Arizona!!Total!!Estimate","Yavapai County, Arizona!!Total!!Margin of Error","Yavapai County, Arizona!!Median income (dollars)!!Estimate","Yavapai County, Arizona!!Median income (dollars)!!Margin of Error","Yuma County, Arizona!!Total!!Estimate","Yuma County, Arizona!!Total!!Margin of Error","Yuma County, Arizona!!Median income (dollars)!!Estimate","Yuma County, Arizona!!Median income (dollars)!!Margin of Error"
"Hispanic or Latino origin (of any race)","20.8%","±0.1","39,076","±422","4.8%","±0.9","32,697","±4,441","23.9%","±0.8","33,550","±2,570","10.4%","±0.7","43,326","±8,195","13.7%","±1.2","29,980","±4,588","24.7%","±1.9","46,793","±5,723","43.6%","±2.5","43,870","±8,281","16.2%","±1.4","27,221","±3,516","20.2%","±0.1","41,052","±480","10.0%","±0.5","37,887","±3,590","8.5%","±0.6","38,825","±6,524","25.2%","±0.3","35,852","±842","20.0%","±0.5","42,740","±2,065","69.0%","±2.1","30,789","±2,569","8.0%","±0.5","39,087","±2,309","48.4%","±0.6","34,120","±1,340"
"White alone, not Hispanic or Latino","69.0%","±0.1","55,627","±308","28.9%","±1.7","47,259","±5,053","68.2%","±0.9","49,094","±1,883","66.5%","±0.9","55,617","±1,900","78.5%","±1.6","40,284","±2,281","62.5%","±2.1","42,352","±4,058","52.3%","±2.6","49,919","±2,657","71.0%","±2.0","34,412","±4,008","70.0%","±0.2","61,389","±409","85.7%","±0.6","40,221","±976","54.3%","±1.1","48,212","±3,616","66.0%","±0.3","51,106","±730","70.1%","±0.6","54,850","±1,146","29.5%","±2.0","59,981","±6,714","88.9%","±0.6","43,894","±882","47.2%","±0.7","45,932","±1,974"
"HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    15 to 24 years","5.6%","±0.1","28,751","±765","2.1%","±0.6","25,833","±12,844","4.1%","±0.6","30,097","±5,589","9.8%","±1.1","20,828","±1,809","2.7%","±0.9","30,558","±8,261","6.3%","±1.5","22,682","±7,637","5.7%","±2.5","52,026","±14,100","4.0%","±1.9","24,212","±10,215","5.9%","±0.1","30,906","±764","3.2%","±0.4","33,994","±4,366","3.5%","±0.8","26,345","±12,690","6.5%","±0.3","22,412","±1,370","4.1%","±0.5","33,986","±5,113","1.4%","±0.8","21,167","±10,538","3.4%","±0.5","36,530","±4,632","6.3%","±0.8","28,103","±3,195"
"    25 to 44 years","35.7%","±0.1","54,942","±477","24.5%","±1.7","34,518","±3,431","29.2%","±0.9","51,699","±2,444","33.6%","±1.0","53,927","±3,188","18.4%","±1.3","35,309","±3,558","32.9%","±2.0","49,838","±3,891","35.1%","±3.4","52,309","±4,564","20.8%","±2.5","32,494","±6,806","39.4%","±0.2","59,524","±671","23.0%","±0.7","44,005","±2,731","28.9%","±1.2","38,514","±3,577","31.9%","±0.3","47,008","±1,023","36.3%","±0.6","59,492","±1,680","30.4%","±2.8","36,532","±5,961","21.2%","±0.7","45,816","±2,611","34.7%","±0.7","43,259","±2,135"
"    45 to 64 years","36.7%","±0.1","60,747","±408","47.9%","±2.0","35,346","±3,385","39.2%","±0.8","52,417","±2,503","41.2%","±1.1","57,536","±3,358","43.1%","±1.5","48,352","±2,274","37.4%","±1.9","47,168","±4,656","38.2%","±2.9","53,203","±5,477","35.2%","±2.3","33,992","±8,330","35.5%","±0.2","67,396","±611","40.6%","±0.7","45,017","±2,199","43.0%","±1.1","49,917","±3,271","37.7%","±0.3","56,394","±1,041","35.6%","±0.7","55,046","±2,125","44.9%","±2.9","38,584","±4,466","41.3%","±0.7","52,201","±2,167","32.7%","±0.7","46,078","±2,154"
"    65 years and over","22.0%","±0.1","37,268","±338","25.5%","±1.4","19,291","±2,354","27.6%","±0.9","32,744","±1,803","15.4%","±0.6","41,986","±2,876","35.9%","±1.4","30,471","±2,057","23.4%","±1.3","28,575","±3,339","20.9%","±1.5","19,570","±2,663","40.0%","±2.3","30,991","±4,683","19.2%","±0.1","39,043","±457","33.2%","±0.6","33,107","±1,077","24.6%","±0.9","30,603","±1,726","23.9%","±0.3","38,189","±796","24.0%","±0.4","38,264","±1,528","23.3%","±2.2","32,907","±5,518","34.1%","±0.8","36,193","±1,542","26.4%","±0.6","34,496","±1,235"
"FAMILIES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Families","1,542,305","±8,700","59,840","±323","13,259","±520","36,915","±2,044","33,545","±833","53,077","±1,703","29,748","±866","58,841","±2,723","12,841","±638","46,292","±2,901","8,141","±394","48,005","±4,102","2,353","±192","51,729","±2,271","6,469","±557","37,721","±5,243","913,798","±5,795","65,438","±352","53,407","±1,068","47,530","±1,218","26,005","±837","45,906","±2,924","237,380","±2,335","57,377","±774","86,265","±1,455","56,299","±1,182","9,303","±525","40,933","±2,699","56,321","±1,410","53,499","±1,844","53,470","±1,116","42,718","±1,054"
"        With own children under 18 years","45.4%","±0.3","55,078","±596","39.3%","±2.1","35,296","±2,565","41.0%","±1.6","50,160","±2,364","43.6%","±1.9","54,646","±2,951","29.9%","±2.6","39,630","±5,294","47.1%","±2.4","49,645","±5,921","48.7%","±5.0","51,670","±5,615","33.9%","±4.0","29,076","±5,178","48.4%","±0.3","60,572","±606","31.9%","±1.3","43,398","±1,973","42.7%","±1.8","43,600","±2,448","42.3%","±0.6","50,502","±1,030","43.6%","±1.1","53,578","±1,944","46.9%","±3.3","34,413","±4,493","31.5%","±1.2","49,408","±3,826","49.5%","±1.2","38,904","±1,974"
