"Label (Grouping)","Arizona!!Number!!Estimate","Arizona!!Number!!Margin of Error","Arizona!!Percent Distribution!!Estimate","Arizona!!Percent Distribution!!Margin of Error","Arizona!!Median income (dollars)!!Estimate","Arizona!!Median income (dollars)!!Margin of Error","Apache County, Arizona!!Number!!Estimate","Apache County, Arizona!!Number!!Margin of Error","Apache County, Arizona!!Percent Distribution!!Estimate","Apache County, Arizona!!Percent Distribution!!Margin of Error","Apache County, Arizona!!Median income (dollars)!!Estimate","Apache County, Arizona!!Median income (dollars)!!Margin of Error","Cochise County, Arizona!!Number!!Estimate","Cochise County, Arizona!!Number!!Margin of Error","Cochise County, Arizona!!Percent Distribution!!Estimate","Cochise County, Arizona!!Percent Distribution!!Margin of Error","Cochise County, Arizona!!Median income (dollars)!!Estimate","Cochise County, Arizona!!Median income (dollars)!!Margin of Error","Coconino County, Arizona!!Number!!Estimate","Coconino County, Arizona!!Number!!Margin of Error","Coconino County, Arizona!!Percent Distribution!!Estimate","Coconino County, Arizona!!Percent Distribution!!Margin of Error","Coconino County, Arizona!!Median income (dollars)!!Estimate","Coconino County, Arizona!!Median income (dollars)!!Margin of Error","Gila County, Arizona!!Number!!Estimate","Gila County, Arizona!!Number!!Margin of Error","Gila County, Arizona!!Percent Distribution!!Estimate","Gila County, Arizona!!Percent Distribution!!Margin of Error","Gila County, Arizona!!Median income (dollars)!!Estimate","Gila County, Arizona!!Median income (dollars)!!Margin of Error","Graham County, Arizona!!Number!!Estimate","Graham County, Arizona!!Number!!Margin of Error","Graham County, Arizona!!Percent Distribution!!Estimate","Graham County, Arizona!!Percent Distribution!!Margin of Error","Graham County, Arizona!!Median income (dollars)!!Estimate","Graham County, Arizona!!Median income (dollars)!!Margin of Error","Greenlee County, Arizona!!Number!!Estimate","Greenlee County, Arizona!!Number!!Margin of Error","Greenlee County, Arizona!!Percent Distribution!!Estimate","Greenlee County, Arizona!!Percent Distribution!!Margin of Error","Greenlee County, Arizona!!Median income (dollars)!!Estimate","Greenlee County, Arizona!!Median income (dollars)!!Margin of Error","La Paz County, Arizona!!Number!!Estimate","La Paz County, Arizona!!Number!!Margin of Error","La Paz County, Arizona!!Percent Distribution!!Estimate","La Paz County, Arizona!!Percent Distribution!!Margin of Error","La Paz County, Arizona!!Median income (dollars)!!Estimate","La Paz County, Arizona!!Median income (dollars)!!Margin of Error","Maricopa County, Arizona!!Number!!Estimate","Maricopa County, Arizona!!Number!!Margin of Error","Maricopa County, Arizona!!Percent Distribution!!Estimate","Maricopa County, Arizona!!Percent Distribution!!Margin of Error","Maricopa County, Arizona!!Median income (dollars)!!Estimate","Maricopa County, Arizona!!Median income (dollars)!!Margin of Error","Mohave County, Arizona!!Number!!Estimate","Mohave County, Arizona!!Number!!Margin of Error","Mohave County, Arizona!!Percent Distribution!!Estimate","Mohave County, Arizona!!Percent Distribution!!Margin of Error","Mohave County, Arizona!!Median income (dollars)!!Estimate","Mohave County, Arizona!!Median income (dollars)!!Margin of Error","Navajo County, Arizona!!Number!!Estimate","Navajo County, Arizona!!Number!!Margin of Error","Navajo County, Arizona!!Percent Distribution!!Estimate","Navajo County, Arizona!!Percent Distribution!!Margin of Error","Navajo County, Arizona!!Median income (dollars)!!Estimate","Navajo County, Arizona!!Median income (dollars)!!Margin of Error","Pima County, Arizona!!Number!!Estimate","Pima County, Arizona!!Number!!Margin of Error","Pima County, Arizona!!Percent Distribution!!Estimate","Pima County, Arizona!!Percent Distribution!!Margin of Error","Pima County, Arizona!!Median income (dollars)!!Estimate","Pima County, Arizona!!Median income (dollars)!!Margin of Error","Pinal County, Arizona!!Number!!Estimate","Pinal County, Arizona!!Number!!Margin of Error","Pinal County, Arizona!!Percent Distribution!!Estimate","Pinal County, Arizona!!Percent Distribution!!Margin of Error","Pinal County, Arizona!!Median income (dollars)!!Estimate","Pinal County, Arizona!!Median income (dollars)!!Margin of Error","Santa Cruz County, Arizona!!Number!!Estimate","Santa Cruz County, Arizona!!Number!!Margin of Error","Santa Cruz County, Arizona!!Percent Distribution!!Estimate","Santa Cruz County, Arizona!!Percent Distribution!!Margin of Error","Santa Cruz County, Arizona!!Median income (dollars)!!Estimate","Santa Cruz County, Arizona!!Median income (dollars)!!Margin of Error","Yavapai County, Arizona!!Number!!Estimate","Yavapai County, Arizona!!Number!!Margin of Error","Yavapai County, Arizona!!Percent Distribution!!Estimate","Yavapai County, Arizona!!Percent Distribution!!Margin of Error","Yavapai County, Arizona!!Median income (dollars)!!Estimate","Yavapai County, Arizona!!Median income (dollars)!!Margin of Error","Yuma County, Arizona!!Number!!Estimate","Yuma County, Arizona!!Number!!Margin of Error","Yuma County, Arizona!!Percent Distribution!!Estimate","Yuma County, Arizona!!Percent Distribution!!Margin of Error","Yuma County, Arizona!!Median income (dollars)!!Estimate","Yuma County, Arizona!!Median income (dollars)!!Margin of Error"
"            With own children under 18 years","477,026","±6,083","26.0%","±0.3","121,930","±913","2,593","±285","18.1%","±1.7","86,027","±15,989","7,350","±499","23.6%","±1.4","105,127","±11,193","7,566","±507","23.8%","±1.6","133,366","±5,616","2,651","±403","18.4%","±2.5","100,664","±5,612","2,591","±293","28.9%","±3.1","105,400","±12,867","733","±193","32.0%","±7.8","69,452","±15,911","600","±151","11.1%","±2.6","84,375","±29,601","314,621","±4,934","28.0%","±0.4","130,995","±1,457","10,228","±748","16.4%","±1.1","99,700","±5,169","6,100","±440","21.9%","±1.4","85,718","±5,908","62,559","±1,894","24.0%","±0.6","116,515","±2,269","29,759","±1,218","25.6%","±1.0","109,482","±5,062","3,171","±378","25.8%","±2.9","79,858","±24,128","11,080","±707","16.0%","±1.1","102,785","±8,230","15,424","±742","27.2%","±1.3","90,179","±6,764"
"        Female householder, no spouse present","340,045","±4,057","18.5%","±0.2","54,754","±949","4,890","±319","34.2%","±2.4","34,512","±3,268","5,821","±576","18.7%","±1.8","39,996","±4,936","6,423","±495","20.2%","±1.5","46,953","±4,352","2,156","±374","15.0%","±2.6","46,645","±5,705","2,093","±246","23.3%","±2.9","39,035","±6,526","453","±155","19.8%","±6.4","78,510","±14,213","1,227","±228","22.7%","±4.4","38,470","±8,822","207,417","±3,747","18.5%","±0.3","60,152","±1,367","10,719","±907","17.2%","±1.3","44,282","±2,705","6,526","±473","23.4%","±1.5","33,650","±2,510","50,679","±1,537","19.5%","±0.6","49,214","±2,239","17,913","±1,064","15.4%","±0.9","61,218","±4,258","3,001","±389","24.4%","±3.0","39,779","±5,331","8,914","±808","12.9%","±1.1","52,276","±5,817","11,813","±993","20.8%","±1.6","42,726","±2,612"
"            With own children under 18 years","168,300","±3,641","9.2%","±0.2","44,093","±1,024","2,022","±252","14.2%","±1.7","32,173","±3,221","2,948","±383","9.4%","±1.2","30,449","±4,057","3,208","±464","10.1%","±1.5","41,642","±6,293","901","±270","6.3%","±1.9","50,472","±18,120","803","±174","8.9%","±2.0","29,267","±8,963","259","±109","11.3%","±4.7","93,075","±639","649","±168","12.0%","±3.0","35,923","±10,439","106,184","±3,013","9.5%","±0.3","48,380","±1,344","4,418","±491","7.1%","±0.8","30,565","±5,403","2,552","±343","9.2%","±1.1","21,649","±12,584","24,179","±1,206","9.3%","±0.5","37,993","±2,329","8,263","±833","7.1%","±0.7","48,125","±4,088","1,414","±275","11.5%","±2.1","29,184","±13,864","3,743","±556","5.4%","±0.8","40,048","±7,984","6,757","±740","11.9%","±1.2","37,669","±2,931"
"        Male householder, no spouse present","160,874","±3,567","8.8%","±0.2","70,504","±1,668","1,364","±235","9.5%","±1.6","33,703","±6,557","2,563","±402","8.2%","±1.3","57,914","±5,538","2,770","±411","8.7%","±1.2","53,276","±12,299","1,301","±251","9.1%","±1.7","58,990","±15,327","949","±216","10.6%","±2.3","80,899","±22,810","196","±117","8.6%","±4.9","133,080","±61,725","567","±157","10.5%","±2.6","73,493","±12,187","100,098","±2,954","8.9%","±0.3","77,143","±2,037","5,464","±671","8.7%","±1.1","53,808","±6,189","2,607","±378","9.4%","±1.2","44,812","±6,916","23,688","±1,296","9.1%","±0.5","63,741","±4,326","9,868","±875","8.5%","±0.7","69,656","±6,242","981","±219","8.0%","±1.8","56,467","±7,082","4,301","±642","6.2%","±0.9","65,443","±3,906","4,157","±546","7.3%","±0.9","52,758","±6,495"
"            With own children under 18 years","73,790","±2,579","4.0%","±0.1","60,300","±1,761","452","±183","3.2%","±1.3","-","**","1,161","±304","3.7%","±1.0","50,903","±10,274","1,354","±340","4.3%","±1.0","43,384","±5,781","469","±168","3.3%","±1.1","49,037","±6,929","523","±171","5.8%","±1.8","65,727","±9,149","124","±111","5.4%","±4.8","132,754","±89,204","181","±78","3.4%","±1.4","95,221","±24,491","44,855","±2,178","4.0%","±0.2","66,925","±3,673","2,429","±444","3.9%","±0.7","46,223","±6,549","1,082","±294","3.9%","±1.0","45,743","±10,978","11,086","±896","4.3%","±0.3","56,406","±4,738","5,627","±736","4.8%","±0.6","65,018","±9,431","647","±221","5.3%","±1.8","57,156","±7,421","1,818","±401","2.6%","±0.6","50,976","±2,274","1,982","±463","3.5%","±0.8","36,703","±17,393"
"FAMILY INCOME BY FAMILY SIZE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2-person families","888,693","±6,326","48.4%","±0.3","86,394","±732","5,698","±383","39.9%","±2.5","43,125","±6,728","17,136","±829","54.9%","±1.8","72,327","±3,908","15,835","±780","49.9%","±1.9","85,632","±5,520","8,520","±641","59.3%","±3.4","70,760","±3,879","3,468","±347","38.6%","±3.1","64,707","±9,230","739","±181","32.2%","±6.8","78,858","±2,652","3,601","±373","66.7%","±3.8","61,134","±9,329","514,860","±5,057","45.9%","±0.3","94,368","±995","38,627","±1,239","61.9%","±1.2","66,865","±2,691","12,808","±647","46.0%","±2.0","67,660","±4,921","133,749","±2,423","51.4%","±0.8","83,361","±1,593","57,715","±1,536","49.7%","±1.0","81,566","±2,472","5,076","±382","41.3%","±2.7","56,582","±3,974","45,151","±1,613","65.3%","±1.4","81,414","±2,309","25,710","±1,097","45.3%","±1.6","63,735","±3,326"
"    3-person families","374,912","±5,254","20.4%","±0.3","100,187","±1,472","3,025","±302","21.2%","±2.0","47,725","±7,363","5,391","±521","17.3%","±1.7","74,788","±11,367","6,407","±559","20.2%","±1.8","101,058","±7,130","2,296","±482","16.0%","±3.3","81,833","±16,242","1,808","±295","20.1%","±3.2","69,718","±13,343","660","±191","28.8%","±7.4","68,512","±13,369","906","±190","16.8%","±3.1","54,717","±8,989","239,561","±3,909","21.3%","±0.3","110,184","±2,044","10,723","±806","17.2%","±1.3","75,584","±2,798","5,307","±572","19.1%","±1.9","57,811","±4,283","52,553","±2,211","20.2%","±0.8","90,426","±3,847","21,606","±1,151","18.6%","±1.0","89,412","±5,139","2,697","±335","21.9%","±2.6","62,297","±11,822","11,613","±895","16.8%","±1.3","94,830","±9,967","10,359","±840","18.3%","±1.5","72,845","±5,624"
"    4-person families","304,867","±5,432","16.6%","±0.3","112,946","±1,422","2,190","±270","15.3%","±1.8","51,250","±10,522","5,025","±518","16.1%","±1.6","98,254","±10,223","4,951","±505","15.6%","±1.6","108,792","±13,360","1,804","±420","12.5%","±2.8","80,273","±14,774","1,337","±254","14.9%","±2.8","115,274","±28,552","406","±166","17.7%","±6.6","67,372","±27,522","382","±102","7.1%","±1.8","37,750","±21,986","198,042","±4,027","17.6%","±0.3","122,928","±2,170","7,313","±753","11.7%","±1.2","86,461","±7,699","4,233","±494","15.2%","±1.7","56,676","±8,014","42,540","±1,504","16.3%","±0.6","108,631","±3,502","17,156","±1,108","14.8%","±0.9","99,950","±5,838","2,262","±382","18.4%","±3.0","61,961","±14,783","7,117","±596","10.3%","±0.8","97,654","±10,811","10,109","±969","17.8%","±1.6","70,425","±8,309"
"    5-person families","153,375","±3,488","8.4%","±0.2","106,713","±2,086","1,523","±237","10.7%","±1.6","53,287","±12,568","2,305","±379","7.4%","±1.2","83,563","±9,784","2,237","±342","7.0%","±1.1","96,493","±27,986","987","±253","6.9%","±1.8","96,769","±12,022","936","±181","10.4%","±2.0","83,571","±16,676","213","±148","9.3%","±6.5","118,773","±91,392","230","±85","4.3%","±1.6","83,611","±47,342","97,935","±2,710","8.7%","±0.2","114,264","±3,209","2,888","±388","4.6%","±0.6","86,694","±9,590","2,625","±329","9.4%","±1.2","79,458","±11,336","19,299","±1,252","7.4%","±0.5","99,886","±10,379","11,054","±937","9.5%","±0.8","112,669","±6,251","1,264","±297","10.3%","±2.4","76,875","±36,148","3,413","±457","4.9%","±0.7","114,013","±17,379","6,466","±690","11.4%","±1.2","82,083","±7,915"
"    6-person families","68,680","±2,442","3.7%","±0.1","107,756","±4,223","1,028","±232","7.2%","±1.6","71,500","±38,249","730","±204","2.3%","±0.6","86,250","±31,313","1,300","±281","4.1%","±0.9","101,605","±15,056","376","±163","2.6%","±1.1","79,919","±47,713","1,052","±242","11.7%","±2.6","95,833","±25,702","224","±61","9.8%","±2.8","93,420","±501","175","±83","3.2%","±1.5","85,417","±32,466","44,125","±1,863","3.9%","±0.2","115,020","±4,264","1,595","±380","2.6%","±0.6","68,603","±29,502","1,474","±335","5.3%","±1.2","71,842","±19,713","7,706","±707","3.0%","±0.3","110,492","±14,695","4,739","±662","4.1%","±0.6","99,257","±15,268","732","±235","6.0%","±1.9","93,177","±23,962","1,086","±221","1.6%","±0.3","115,154","±20,904","2,338","±480","4.1%","±0.9","83,950","±8,481"
"    7-or-more person families","45,165","±2,089","2.5%","±0.1","112,816","±7,657","824","±182","5.8%","±1.3","57,237","±28,107","623","±142","2.0%","±0.5","69,583","±17,605","1,019","±194","3.2%","±0.6","125,129","±25,285","392","±143","2.7%","±1.0","80,052","±19,185","375","±100","4.2%","±1.1","97,841","±15,051","50","±39","2.2%","±1.7","68,667","±36,694","103","±53","1.9%","±1.0","124,671","±38,958","27,822","±1,540","2.5%","±0.1","119,838","±10,087","1,301","±348","2.1%","±0.5","123,250","±41,427","1,403","±268","5.0%","±0.9","56,875","±26,730","4,563","±570","1.8%","±0.2","100,148","±16,882","3,942","±594","3.4%","±0.5","125,812","±15,257","259","±123","2.1%","±1.0","44,254","±18,550","726","±202","1.1%","±0.3","118,861","±2,109","1,763","±357","3.1%","±0.6","109,453","±12,974"
"FAMILY INCOME BY NUMBER OF EARNERS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    No earners","343,936","±3,760","18.7%","±0.2","61,016","±801","4,305","±356","30.1%","±2.2","22,243","±2,419","8,021","±505","25.7%","±1.4","56,095","±3,080","5,089","±384","16.0%","±1.2","53,319","±9,066","4,324","±370","30.1%","±2.2","51,269","±6,112","1,737","±230","19.4%","±2.5","34,644","±6,970","400","±152","17.5%","±6.1","33,036","±20,682","2,008","±312","37.2%","±4.9","43,797","±6,264","169,100","±2,930","15.1%","±0.2","64,183","±1,223","21,866","±998","35.0%","±1.5","51,752","±3,102","8,162","±550","29.3%","±2.0","38,229","±5,489","53,769","±1,442","20.6%","±0.5","65,815","±2,655","28,036","±1,059","24.1%","±0.9","63,546","±2,116","2,228","±248","18.1%","±1.9","42,300","±9,231","22,320","±841","32.3%","±1.1","69,163","±3,583","12,571","±648","22.2%","±1.1","47,729","±3,762"
"    1 earner","580,866","±5,250","31.6%","±0.3","70,143","±910","5,796","±417","40.6%","±2.6","45,758","±2,230","11,338","±795","36.3%","±2.2","64,525","±4,376","9,732","±654","30.7%","±2.0","61,125","±3,936","4,291","±511","29.9%","±3.2","64,226","±6,587","2,696","±334","30.0%","±3.3","60,858","±4,175","1,037","±231","45.2%","±8.8","79,876","±10,604","1,622","±221","30.1%","±3.6","54,100","±4,776","345,048","±4,773","30.7%","±0.4","74,906","±1,232","20,156","±1,222","32.3%","±1.7","60,858","±3,104","9,841","±826","35.3%","±2.5","53,910","±3,938","86,300","±2,014","33.1%","±0.7","65,794","±2,172","37,062","±1,568","31.9%","±1.2","70,631","±3,896","5,024","±427","40.9%","±3.2","47,449","±3,248","21,164","±1,012","30.6%","±1.3","75,985","±4,617","19,759","±1,254","34.8%","±2.0","52,867","±3,719"
"    2 earners","701,691","±6,840","38.2%","±0.3","120,001","±892","3,169","±277","22.2%","±1.8","99,467","±7,254","9,623","±783","30.8%","±2.3","104,807","±5,622","13,670","±709","43.1%","±2.0","124,855","±6,377","4,670","±472","32.5%","±3.0","101,696","±5,164","3,611","±326","40.2%","±3.4","105,553","±8,253","680","±176","29.7%","±7.2","92,914","±14,521","1,423","±288","26.4%","±4.5","90,924","±18,990","463,547","±5,636","41.3%","±0.4","126,558","±1,179","17,114","±1,055","27.4%","±1.5","103,245","±3,512","7,838","±567","28.1%","±1.9","93,338","±5,201","95,901","±2,032","36.8%","±0.6","113,445","±2,211","37,579","±1,454","32.3%","±1.1","114,894","±3,957","4,131","±412","33.6%","±3.2","90,846","±17,589","20,488","±1,075","29.6%","±1.3","106,866","±7,560","18,247","±1,175","32.2%","±1.9","85,210","±6,221"
"    3 or more earners","209,199","±3,879","11.4%","±0.2","151,528","±2,024","1,018","±155","7.1%","±1.1","131,159","±8,771","2,228","±345","7.1%","±1.2","135,647","±12,578","3,258","±417","10.3%","±1.3","155,476","±5,887","1,090","±256","7.6%","±1.7","150,556","±36,354","932","±162","10.4%","±1.7","138,553","±22,423","175","±105","7.6%","±4.5","184,514","±125,571","344","±109","6.4%","±2.0","109,853","±53,009","144,650","±2,924","12.9%","±0.3","157,152","±2,676","3,311","±468","5.3%","±0.7","133,271","±22,021","2,009","±334","7.2%","±1.2","124,637","±12,889","24,440","±1,331","9.4%","±0.5","143,493","±5,039","13,535","±1,060","11.6%","±0.9","146,283","±5,653","907","±255","7.4%","±2.0","103,242","±9,005","5,134","±538","7.4%","±0.8","152,723","±8,251","6,168","±665","10.9%","±1.2","120,303","±4,137"
"NONFAMILY HOUSEHOLDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Nonfamily households","1,020,389","±7,300","1,020,389","±7,300","50,719","±434","6,812","±433","6,812","±433","18,818","±2,382","19,772","±949","19,772","±949","36,814","±2,700","23,369","±866","23,369","±866","47,671","±2,869","9,270","±663","9,270","±663","37,180","±4,683","3,770","±374","3,770","±374","34,191","±5,451","1,299","±280","1,299","±280","39,458","±18,817","3,562","±434","3,562","±434","33,086","±8,243","608,351","±5,839","608,351","±5,839","57,928","±671","39,526","±1,756","39,526","±1,756","34,727","±2,484","12,213","±720","12,213","±720","31,788","±2,061","177,417","±2,638","177,417","±2,638","43,746","±1,009","45,705","±1,495","45,705","±1,495","46,549","±2,469","4,676","±433","4,676","±433","32,193","±2,139","42,051","±1,351","42,051","±1,351","41,977","±1,762","22,596","±1,142","22,596","±1,142","38,270","±1,973"
"        Female householder","529,534","±5,238","51.9%","±0.4","46,226","±684","2,943","±288","43.2%","±3.1","19,469","±2,233","10,160","±639","51.4%","±2.1","32,593","±2,560","11,332","±607","48.5%","±2.6","45,980","±4,844","4,508","±505","48.6%","±3.5","32,486","±6,794","1,720","±256","45.6%","±5.0","29,861","±5,049","446","±143","34.3%","±9.1","23,709","±734","1,579","±259","44.3%","±5.9","29,837","±12,826","316,181","±4,414","52.0%","±0.5","52,381","±843","19,454","±1,087","49.2%","±1.8","32,194","±2,157","5,724","±433","46.9%","±3.0","32,000","±2,706","94,885","±1,854","53.5%","±0.9","41,178","±1,167","23,721","±1,047","51.9%","±1.8","42,228","±2,372","2,297","±328","49.1%","±5.4","29,206","±5,238","23,044","±1,127","54.8%","±1.9","38,330","±2,528","11,540","±745","51.1%","±2.4","30,860","±1,942"
"            Living alone","421,256","±4,699","41.3%","±0.4","39,706","±726","2,683","±300","39.4%","±3.4","18,353","±1,728","9,202","±632","46.5%","±2.1","30,000","±2,575","7,535","±633","32.2%","±2.5","35,787","±4,428","3,920","±469","42.3%","±3.4","28,517","±6,976","1,512","±247","40.1%","±5.3","29,363","±10,461","446","±143","34.3%","±9.1","23,709","±734","1,203","±226","33.8%","±5.2","21,629","±5,636","247,806","±3,768","40.7%","±0.5","44,475","±826","15,898","±933","40.2%","±1.8","29,313","±2,086","5,018","±425","41.1%","±3.0","28,397","±5,179","75,862","±1,746","42.8%","±0.9","36,389","±1,064","19,049","±976","41.7%","±2.1","36,486","±2,859","2,018","±310","43.2%","±5.3","26,173","±2,478","19,098","±1,140","45.4%","±2.1","34,144","±2,272","10,006","±695","44.3%","±2.3","27,522","±3,208"
"            Not living alone","108,278","±2,914","10.6%","±0.3","84,212","±2,395","260","±67","3.8%","±1.0","51,667","±9,515","958","±224","4.8%","±1.2","54,299","±7,402","3,797","±510","16.2%","±2.3","64,342","±5,751","588","±224","6.3%","±2.4","55,533","±8,476","208","±77","5.5%","±1.9","36,591","±32,782","0","±20","0.0%","±3.4","-","**","376","±165","10.6%","±4.6","77,548","±34,380","68,375","±2,257","11.2%","±0.3","93,489","±2,361","3,556","±567","9.0%","±1.3","60,000","±11,822","706","±215","5.8%","±1.7","56,139","±5,339","19,023","±1,205","10.7%","±0.7","70,106","±6,309","4,672","±709","10.2%","±1.4","88,444","±11,126","279","±101","6.0%","±2.1","72,768","±20,181","3,946","±561","9.4%","±1.3","58,642","±8,212","1,534","±259","6.8%","±1.1","72,972","±9,666"
"        Male householder","490,855","±5,077","48.1%","±0.4","56,198","±801","3,869","±317","56.8%","±3.1","17,336","±4,619","9,612","±624","48.6%","±2.1","40,544","±4,724","12,037","±865","51.5%","±2.6","48,980","±4,464","4,762","±418","51.4%","±3.5","43,838","±7,289","2,050","±277","54.4%","±5.0","46,684","±9,047","853","±228","65.7%","±9.1","63,613","±18,450","1,983","±345","55.7%","±5.9","34,670","±11,825","292,170","±4,000","48.0%","±0.5","64,487","±1,385","20,072","±1,154","50.8%","±1.8","37,928","±3,548","6,489","±585","53.1%","±3.0","31,527","±4,302","82,532","±2,126","46.5%","±0.9","47,230","±1,504","21,984","±1,162","48.1%","±1.8","52,423","±4,838","2,379","±337","50.9%","±5.4","33,919","±9,083","19,007","±955","45.2%","±1.9","48,434","±3,211","11,056","±815","48.9%","±2.4","47,242","±3,391"
"            Living alone","364,955","±4,785","35.8%","±0.4","47,135","±844","3,510","±324","51.5%","±3.4","15,237","±3,069","8,217","±640","41.6%","±2.4","35,805","±3,739","7,884","±805","33.7%","±2.9","39,464","±6,608","3,774","±435","40.7%","±4.0","35,766","±8,228","1,572","±270","41.7%","±5.3","43,952","±10,416","689","±199","53.0%","±10.6","63,674","±28,186","1,684","±333","47.3%","±6.5","27,979","±9,758","210,666","±3,680","34.6%","±0.5","52,991","±994","16,482","±1,130","41.7%","±2.2","31,872","±2,542","5,303","±506","43.4%","±3.2","24,193","±3,197","63,826","±1,858","36.0%","±0.9","40,718","±1,728","16,390","±1,023","35.9%","±1.7","43,180","±3,017","1,982","±304","42.4%","±5.1","31,749","±2,088","14,274","±951","33.9%","±1.8","39,328","±2,930","8,702","±715","38.5%","±2.4","41,461","±5,690"
"            Not living alone","125,900","±2,868","12.3%","±0.3","93,186","±1,963","359","±138","5.3%","±2.0","105,344","±77,994","1,395","±291","7.1%","±1.5","81,476","±10,648","4,153","±551","17.8%","±2.2","70,269","±6,537","988","±308","10.7%","±3.3","71,875","±30,208","478","±141","12.7%","±3.7","49,800","±35,391","164","±124","12.6%","±8.9","-","**","299","±146","8.4%","±4.0","61,761","±54,552","81,504","±2,513","13.4%","±0.4","103,771","±2,681","3,590","±523","9.1%","±1.2","70,625","±10,262","1,186","±375","9.7%","±2.9","51,023","±15,487","18,706","±1,339","10.5%","±0.7","75,348","±3,879","5,594","±771","12.2%","±1.7","96,479","±7,828","397","±135","8.5%","±2.8","74,205","±24,505","4,733","±566","11.3%","±1.4","82,367","±8,461","2,354","±466","10.4%","±2.0","78,095","±7,677"
