"Label (Grouping)","Arizona!!Total population!!Estimate","Arizona!!Total population!!Margin of Error","Apache County, Arizona!!Total population!!Estimate","Apache County, Arizona!!Total population!!Margin of Error","Cochise County, Arizona!!Total population!!Estimate","Cochise County, Arizona!!Total population!!Margin of Error","Coconino County, Arizona!!Total population!!Estimate","Coconino County, Arizona!!Total population!!Margin of Error","Gila County, Arizona!!Total population!!Estimate","Gila County, Arizona!!Total population!!Margin of Error","Graham County, Arizona!!Total population!!Estimate","Graham County, Arizona!!Total population!!Margin of Error","Greenlee County, Arizona!!Total population!!Estimate","Greenlee County, Arizona!!Total population!!Margin of Error","La Paz County, Arizona!!Total population!!Estimate","La Paz County, Arizona!!Total population!!Margin of Error","Maricopa County, Arizona!!Total population!!Estimate","Maricopa County, Arizona!!Total population!!Margin of Error","Mohave County, Arizona!!Total population!!Estimate","Mohave County, Arizona!!Total population!!Margin of Error","Navajo County, Arizona!!Total population!!Estimate","Navajo County, Arizona!!Total population!!Margin of Error","Pima County, Arizona!!Total population!!Estimate","Pima County, Arizona!!Total population!!Margin of Error","Pinal County, Arizona!!Total population!!Estimate","Pinal County, Arizona!!Total population!!Margin of Error","Santa Cruz County, Arizona!!Total population!!Estimate","Santa Cruz County, Arizona!!Total population!!Margin of Error","Yavapai County, Arizona!!Total population!!Estimate","Yavapai County, Arizona!!Total population!!Margin of Error","Yuma County, Arizona!!Total population!!Estimate","Yuma County, Arizona!!Total population!!Margin of Error"
"Total:","1,513,861","±9,091","14,755","±347","33,186","±838","27,868","±587","15,209","±501","7,752","±313","1,493","±135","6,972","±448","875,327","±6,038","54,220","±1,075","23,882","±559","238,329","±2,286","92,151","±1,494","10,137","±401","64,499","±1,121","48,081","±1,102"
"    Housing units with a mortgage:","994,862","±7,113","3,854","±301","18,956","±834","15,655","±529","6,860","±441","4,346","±323","529","±113","1,746","±294","623,472","±4,676","28,821","±1,069","9,249","±463","152,676","±2,272","57,000","±1,480","6,820","±439","37,108","±1,217","27,770","±1,030"
"        Less than 10.0 percent","66,613","±1,692","405","±139","1,680","±301","1,221","±223","502","±173","321","±100","59","±36","143","±58","43,236","±1,455","1,734","±331","519","±121","9,768","±607","3,343","±445","342","±127","1,992","±319","1,348","±218"
"        10.0 to 14.9 percent","144,606","±2,679","621","±147","3,273","±362","2,630","±339","772","±173","599","±145","70","±41","265","±78","92,964","±1,969","3,625","±420","1,759","±263","22,025","±862","8,306","±653","760","±189","3,635","±385","3,302","±421"
"        15.0 to 19.9 percent","186,869","±3,167","628","±141","3,794","±380","2,657","±343","1,066","±232","978","±162","122","±52","248","±98","120,266","±2,462","4,617","±499","1,728","±268","28,063","±1,015","10,463","±855","1,259","±246","5,616","±546","5,364","±556"
"        20.0 to 24.9 percent","156,508","±2,921","440","±105","2,541","±323","2,419","±351","1,286","±230","707","±148","88","±46","294","±165","98,074","±2,077","4,426","±467","1,344","±242","24,335","±1,015","9,267","±751","1,289","±279","5,612","±538","4,386","±432"
"        25.0 to 29.9 percent","107,913","±2,200","359","±100","1,724","±283","1,476","±227","644","±175","525","±139","57","±46","219","±90","67,627","±1,696","3,318","±443","723","±137","16,667","±842","6,329","±612","589","±179","4,607","±486","3,049","±372"
"        30.0 to 34.9 percent","75,882","±1,642","249","±121","1,538","±260","1,251","±251","463","±149","403","±119","30","±27","124","±57","46,540","±1,452","2,235","±344","721","±199","10,882","±714","4,441","±590","464","±146","3,697","±470","2,844","±371"
"        35.0 to 39.9 percent","51,663","±1,456","243","±84","755","±169","827","±192","309","±100","193","±81","8","±9","50","±31","31,581","±1,199","2,048","±324","502","±135","8,452","±531","2,874","±423","265","±99","1,942","±294","1,614","±288"
"        40.0 to 49.9 percent","66,427","±1,921","226","±81","1,072","±199","1,151","±225","552","±190","160","±63","20","±21","94","±55","39,224","±1,478","2,354","±341","648","±164","10,506","±775","4,139","±510","587","±190","3,676","±444","2,018","±328"
"        50.0 percent or more","129,623","±2,346","633","±135","2,340","±318","1,920","±312","1,211","±272","410","±133","75","±33","306","±163","78,084","±1,746","4,219","±511","1,168","±205","20,949","±896","7,277","±696","1,257","±248","6,073","±601","3,701","±487"
"        Not computed","8,758","±774","50","±29","239","±142","103","±70","55","±37","50","±48","0","±17","3","±6","5,876","±584","245","±131","137","±87","1,029","±230","561","±207","8","±14","258","±148","144","±87"
"    Housing units without a mortgage:","518,999","±4,765","10,901","±366","14,230","±618","12,213","±524","8,349","±405","3,406","±267","964","±116","5,226","±400","251,855","±3,200","25,399","±988","14,633","±545","85,653","±1,574","35,151","±1,037","3,317","±291","27,391","±903","20,311","±715"
"        Less than 10.0 percent","244,378","±3,250","6,114","±238","6,961","±529","6,553","±415","3,482","±321","1,639","±184","607","±93","3,187","±399","119,382","±2,453","11,435","±712","7,258","±374","39,138","±1,113","15,808","±734","1,462","±242","11,837","±740","9,515","±491"
"        10.0 to 14.9 percent","94,471","±2,171","1,364","±170","2,493","±291","1,744","±230","1,869","±243","627","±116","124","±50","719","±244","44,766","±1,398","5,397","±437","2,275","±247","16,400","±732","6,446","±535","624","±174","5,923","±561","3,700","±384"
"        15.0 to 19.9 percent","54,687","±1,555","936","±168","1,465","±247","1,144","±194","883","±202","331","±97","53","±29","321","±112","26,119","±1,116","2,874","±418","1,349","±196","9,316","±478","3,836","±515","429","±129","3,356","±432","2,275","±366"
"        20.0 to 24.9 percent","33,106","±1,170","393","±70","807","±182","739","±155","762","±208","200","±69","95","±58","343","±219","16,193","±739","1,807","±264","825","±162","5,474","±498","2,183","±331","278","±104","1,815","±335","1,192","±211"
"        25.0 to 29.9 percent","20,455","±972","335","±65","540","±160","433","±126","382","±153","193","±104","18","±14","203","±122","9,742","±739","1,142","±244","569","±148","3,634","±404","1,213","±191","40","±28","977","±197","1,034","±197"
"        30.0 to 34.9 percent","13,891","±765","214","±49","424","±166","243","±103","180","±72","69","±48","2","±4","177","±104","7,081","±488","590","±186","258","±72","2,172","±297","1,008","±230","133","±79","755","±222","585","±161"
"        35.0 to 39.9 percent","9,549","±695","164","±72","351","±164","212","±83","130","±87","30","±28","12","±11","29","±21","4,477","±421","262","±100","310","±115","2,062","±296","596","±141","19","±16","512","±229","383","±157"
"        40.0 to 49.9 percent","11,276","±789","158","±48","217","±84","219","±69","132","±69","100","±49","6","±7","30","±23","5,740","±498","435","±158","271","±103","2,036","±321","930","±214","44","±44","597","±174","361","±139"
"        50.0 percent or more","26,341","±1,127","327","±69","749","±197","568","±141","411","±167","126","±58","38","±25","149","±72","13,286","±744","1,023","±200","862","±151","4,257","±449","2,188","±364","215","±85","1,297","±255","845","±179"
"        Not computed","10,845","±685","896","±92","223","±94","358","±86","118","±52","91","±58","9","±13","68","±44","5,069","±444","434","±162","656","±138","1,164","±257","943","±227","73","±46","322","±109","421","±130"
